date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,176.15,176.15,174.865,174.865,40864
2020-11-18 09:32:00-05:00,175.025,175.235,174.71,174.74,8122
2020-11-18 09:34:00-05:00,174.84,175.075,174.48,174.755,8113
2020-11-18 09:36:00-05:00,174.7299,174.76,174.29,174.425,11187
2020-11-18 09:38:00-05:00,174.425,174.47,173.82,174.12,9925
2020-11-18 09:40:00-05:00,174.42,174.8437,174.14,174.6,9428
2020-11-18 09:42:00-05:00,174.605,174.865,174.51,174.865,6758
2020-11-18 09:44:00-05:00,174.865,175.095,174.82,174.9948,6721
2020-11-18 09:46:00-05:00,174.82,174.89,174.54,174.65,5088
2020-11-18 09:48:00-05:00,174.657,174.8939,174.65,174.74,5587
2020-11-18 09:50:00-05:00,174.75,174.75,174.5,174.6,2774
2020-11-18 09:52:00-05:00,174.49,174.55,174.26,174.26,8407
2020-11-18 09:54:00-05:00,174.33,174.47,174.33,174.465,5022
2020-11-18 09:56:00-05:00,174.48,174.485,174.29,174.29,4615
2020-11-18 09:58:00-05:00,174.28,174.55,174.28,174.505,3719
2020-11-18 10:00:00-05:00,174.515,174.67,174.35,174.5967,4439
2020-11-18 10:02:00-05:00,174.59,174.66,174.45,174.64,3575
2020-11-18 10:04:00-05:00,174.605,174.605,174.56,174.56,960
2020-11-18 10:06:00-05:00,174.6,174.6,174.47,174.52,3637
2020-11-18 10:08:00-05:00,174.49,174.49,174.45,174.46,1036
2020-11-18 10:10:00-05:00,174.505,174.575,174.43,174.575,3089
2020-11-18 10:12:00-05:00,174.575,174.64,174.57,174.57,4251
2020-11-18 10:14:00-05:00,174.59,174.68,174.51,174.52,3802
2020-11-18 10:16:00-05:00,174.58,174.68,174.58,174.65,5615
2020-11-18 10:18:00-05:00,174.65,174.83,174.65,174.74,8249
2020-11-18 10:20:00-05:00,174.68,174.85,174.66,174.8,4153
2020-11-18 10:22:00-05:00,174.825,174.96,174.81,174.9,4104
2020-11-18 10:24:00-05:00,174.9,174.93,174.82,174.855,4751
2020-11-18 10:26:00-05:00,174.83,175.0,174.805,175.0,4987
2020-11-18 10:28:00-05:00,175.07,175.17,175.01,175.1,2332
2020-11-18 10:30:00-05:00,175.1063,175.19,175.02,175.19,5088
2020-11-18 10:32:00-05:00,175.2,175.26,175.16,175.165,3946
2020-11-18 10:34:00-05:00,175.25,175.25,175.05,175.05,2391
2020-11-18 10:36:00-05:00,175.05,175.05,174.63,174.63,5003
2020-11-18 10:38:00-05:00,174.69,174.9,174.69,174.89,3551
2020-11-18 10:40:00-05:00,174.9,175.01,174.885,174.97,3209
2020-11-18 10:42:00-05:00,174.975,175.07,174.955,175.035,2445
2020-11-18 10:44:00-05:00,175.035,175.035,174.9201,174.965,4460
2020-11-18 10:46:00-05:00,174.97,175.16,174.87,175.09,2897
2020-11-18 10:48:00-05:00,175.09,175.31,175.08,175.31,4975
2020-11-18 10:50:00-05:00,175.33,175.3925,175.32,175.355,2529
2020-11-18 10:52:00-05:00,175.38,175.42,175.35,175.42,3625
2020-11-18 10:54:00-05:00,175.4,175.405,175.33,175.34,3294
2020-11-18 10:56:00-05:00,175.363,175.4,175.23,175.24,4485
2020-11-18 10:58:00-05:00,175.23,175.24,175.205,175.24,2624
2020-11-18 11:00:00-05:00,175.21,175.28,175.18,175.27,6450
2020-11-18 11:02:00-05:00,175.29,175.41,175.29,175.41,2003
2020-11-18 11:04:00-05:00,175.44,175.55,175.44,175.55,1575
2020-11-18 11:06:00-05:00,175.56,175.68,175.49,175.64,7049
2020-11-18 11:08:00-05:00,175.64,175.66,175.545,175.5489,6233
2020-11-18 11:10:00-05:00,175.55,175.6,175.5,175.53,1849
2020-11-18 11:12:00-05:00,175.51,175.59,175.51,175.51,2297
2020-11-18 11:14:00-05:00,175.557,175.69,175.545,175.67,3497
2020-11-18 11:16:00-05:00,175.72,175.91,175.72,175.91,2476
2020-11-18 11:18:00-05:00,175.85,175.9,175.82,175.9,5669
2020-11-18 11:20:00-05:00,175.895,176.0595,175.85,175.86,4322
2020-11-18 11:22:00-05:00,175.85,175.8929,175.72,175.72,3265
2020-11-18 11:24:00-05:00,175.7226,175.9,175.69,175.8401,5531
2020-11-18 11:26:00-05:00,175.91,176.1,175.91,176.1,2851
2020-11-18 11:28:00-05:00,176.11,176.18,176.04,176.11,4496
2020-11-18 11:30:00-05:00,176.14,176.1775,176.07,176.07,7600
2020-11-18 11:32:00-05:00,176.01,176.02,175.97,176.01,2887
2020-11-18 11:34:00-05:00,176.02,176.0452,175.99,176.02,3487
2020-11-18 11:36:00-05:00,176.0,176.14,175.99,176.11,2518
2020-11-18 11:38:00-05:00,176.05,176.09,175.97,176.0712,2436
2020-11-18 11:40:00-05:00,176.06,176.08,176.02,176.06,3900
2020-11-18 11:42:00-05:00,176.035,176.06,175.97,175.97,2566
2020-11-18 11:44:00-05:00,175.96,175.96,175.81,175.835,2340
2020-11-18 11:46:00-05:00,175.79,175.88,175.75,175.75,3181
2020-11-18 11:48:00-05:00,175.71,175.79,175.64,175.79,2106
2020-11-18 11:50:00-05:00,175.74,175.79,175.74,175.765,2405
2020-11-18 11:52:00-05:00,175.79,175.81,175.71,175.8,2709
2020-11-18 11:54:00-05:00,175.785,175.94,175.785,175.93,2058
2020-11-18 11:56:00-05:00,175.99,175.99,175.87,175.87,2075
2020-11-18 11:58:00-05:00,175.84,175.9,175.7741,175.81,2497
2020-11-18 12:00:00-05:00,175.82,176.07,175.82,176.05,2886
2020-11-18 12:02:00-05:00,176.05,176.16,175.995,176.16,2647
2020-11-18 12:04:00-05:00,176.13,176.13,175.83,175.83,6034
2020-11-18 12:06:00-05:00,175.83,175.91,175.83,175.91,757
2020-11-18 12:08:00-05:00,175.88,175.9,175.84,175.9,1443
2020-11-18 12:10:00-05:00,175.92,175.92,175.86,175.87,3737
2020-11-18 12:12:00-05:00,175.87,175.93,175.83,175.93,3168
2020-11-18 12:14:00-05:00,175.9599,175.9599,175.79,175.79,3382
2020-11-18 12:16:00-05:00,175.835,175.85,175.77,175.77,2062
2020-11-18 12:18:00-05:00,175.8,175.9,175.8,175.82,3349
2020-11-18 12:20:00-05:00,175.855,175.855,175.73,175.73,1688
2020-11-18 12:22:00-05:00,175.75,175.84,175.75,175.84,1457
2020-11-18 12:24:00-05:00,175.81,175.91,175.78,175.78,3240
2020-11-18 12:26:00-05:00,175.75,175.77,175.635,175.635,2187
2020-11-18 12:28:00-05:00,175.67,175.81,175.67,175.81,2689
2020-11-18 12:30:00-05:00,175.74,175.74,175.57,175.57,3590
2020-11-18 12:32:00-05:00,175.64,175.68,175.59,175.67,2500
2020-11-18 12:34:00-05:00,175.74,175.74,175.64,175.64,1567
2020-11-18 12:36:00-05:00,175.67,175.755,175.65,175.755,2746
2020-11-18 12:38:00-05:00,175.735,175.765,175.67,175.72,2853
2020-11-18 12:40:00-05:00,175.67,175.71,175.59,175.59,3820
2020-11-18 12:42:00-05:00,175.59,175.63,175.59,175.615,1273
2020-11-18 12:44:00-05:00,175.63,175.63,175.445,175.445,3149
2020-11-18 12:46:00-05:00,175.42,175.43,175.38,175.43,3483
2020-11-18 12:48:00-05:00,175.43,175.43,175.37,175.37,2840
2020-11-18 12:50:00-05:00,175.3728,175.42,175.27,175.29,5673
2020-11-18 12:52:00-05:00,175.31,175.32,175.235,175.31,2484
2020-11-18 12:54:00-05:00,175.34,175.34,175.29,175.3229,2003
2020-11-18 12:56:00-05:00,175.285,175.285,175.1096,175.1096,2351
2020-11-18 12:58:00-05:00,175.13,175.23,175.13,175.23,2174
2020-11-18 13:00:00-05:00,175.23,175.27,175.21,175.22,3005
2020-11-18 13:02:00-05:00,175.23,175.24,175.16,175.21,3162
2020-11-18 13:04:00-05:00,175.22,175.29,175.18,175.26,1747
2020-11-18 13:06:00-05:00,175.25,175.26,175.14,175.14,2316
2020-11-18 13:08:00-05:00,175.14,175.235,175.1101,175.235,2390
2020-11-18 13:10:00-05:00,175.22,175.2361,175.19,175.19,2021
