date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,102.62,102.62,102.62,102.62,0
2020-11-18 09:32:00-05:00,102.41,102.41,102.41,102.41,219
2020-11-18 09:34:00-05:00,102.41,103.75,102.41,103.75,5207
2020-11-18 09:36:00-05:00,103.0,103.0,103.0,103.0,3558
2020-11-18 09:38:00-05:00,102.5295,102.5295,102.5295,102.5295,542
2020-11-18 09:40:00-05:00,102.97,103.0,102.97,103.0,665
2020-11-18 09:52:00-05:00,102.66,102.66,102.2,102.2,841
2020-11-18 09:54:00-05:00,102.45,102.45,102.45,102.45,107
2020-11-18 09:58:00-05:00,102.095,102.095,102.095,102.095,156
2020-11-18 10:02:00-05:00,102.09,102.09,101.18,101.18,1661
2020-11-18 10:08:00-05:00,100.77,100.7796,100.77,100.7796,249
2020-11-18 10:12:00-05:00,99.86,100.0,99.86,100.0,226
2020-11-18 10:14:00-05:00,100.28,100.28,100.28,100.28,534
2020-11-18 10:16:00-05:00,100.76,100.7897,100.76,100.7897,203
2020-11-18 10:18:00-05:00,100.67,100.7096,100.67,100.7096,242
2020-11-18 10:20:00-05:00,100.74,101.75,100.74,101.4608,3447
2020-11-18 10:22:00-05:00,101.64,101.64,101.64,101.64,241
2020-11-18 10:24:00-05:00,101.33,101.33,101.33,101.33,295
2020-11-18 10:36:00-05:00,101.01,101.01,101.01,101.01,134
2020-11-18 10:38:00-05:00,101.19,101.19,101.19,101.19,683
2020-11-18 10:40:00-05:00,101.44,101.44,101.44,101.44,128
2020-11-18 10:42:00-05:00,101.48,101.48,101.48,101.48,521
2020-11-18 10:48:00-05:00,101.35,101.35,101.0,101.0,921
2020-11-18 10:50:00-05:00,100.88,100.88,100.88,100.88,398
2020-11-18 10:54:00-05:00,100.85,100.85,100.57,100.7275,996
2020-11-18 10:58:00-05:00,100.505,100.505,100.25,100.39,905
2020-11-18 11:00:00-05:00,100.445,100.445,100.13,100.265,1204
2020-11-18 11:12:00-05:00,100.64,100.79,100.64,100.7,543
2020-11-18 11:14:00-05:00,100.94,100.98,100.82,100.82,458
2020-11-18 11:16:00-05:00,100.88,100.88,100.88,100.88,114
2020-11-18 11:18:00-05:00,100.93,100.93,100.93,100.93,105
2020-11-18 11:20:00-05:00,100.98,100.98,100.98,100.98,103
2020-11-18 11:22:00-05:00,100.86,100.86,100.53,100.53,1131
2020-11-18 11:26:00-05:00,100.54,100.54,100.35,100.43,817
2020-11-18 11:30:00-05:00,100.27,100.42,100.24,100.42,826
2020-11-18 11:38:00-05:00,99.96,99.96,99.77,99.92,870
2020-11-18 11:42:00-05:00,100.21,100.4,100.21,100.4,2425
2020-11-18 11:46:00-05:00,100.47,100.5,100.395,100.47,1548
2020-11-18 11:48:00-05:00,100.425,100.425,100.425,100.425,102
2020-11-18 11:50:00-05:00,100.47,100.47,100.29,100.36,423
2020-11-18 11:52:00-05:00,100.43,100.44,100.43,100.44,286
2020-11-18 11:54:00-05:00,100.47,100.5,100.47,100.49,798
2020-11-18 11:56:00-05:00,100.47,100.605,100.47,100.605,2033
2020-11-18 11:58:00-05:00,100.53,100.81,100.5,100.79,2969
2020-11-18 12:02:00-05:00,100.69,100.73,100.69,100.73,418
2020-11-18 12:04:00-05:00,100.59,100.59,100.44,100.44,574
2020-11-18 12:06:00-05:00,100.31,100.31,100.14,100.26,1639
2020-11-18 12:12:00-05:00,100.36,100.36,100.25,100.25,501
2020-11-18 12:16:00-05:00,100.43,100.43,100.43,100.43,127
2020-11-18 12:18:00-05:00,100.5,100.5,100.5,100.5,863
2020-11-18 12:26:00-05:00,100.5,100.5,100.36,100.36,932
2020-11-18 12:30:00-05:00,100.35,100.35,100.34,100.34,207
2020-11-18 12:32:00-05:00,100.35,100.48,100.34,100.45,3488
2020-11-18 12:34:00-05:00,100.58,100.58,100.58,100.58,366
2020-11-18 12:36:00-05:00,100.68,100.68,100.65,100.65,737
2020-11-18 12:38:00-05:00,100.77,100.77,100.77,100.77,564
2020-11-18 12:40:00-05:00,100.8,100.8,100.8,100.8,139
2020-11-18 12:42:00-05:00,100.8,100.8,100.69,100.69,1430
2020-11-18 12:44:00-05:00,100.72,100.72,100.72,100.72,118
2020-11-18 12:46:00-05:00,100.59,100.59,100.38,100.38,386
2020-11-18 12:48:00-05:00,100.46,100.7,100.46,100.59,860
2020-11-18 12:50:00-05:00,100.61,100.61,100.61,100.61,604
2020-11-18 12:52:00-05:00,100.49,100.56,100.49,100.56,326
2020-11-18 12:56:00-05:00,100.5,100.5,100.49,100.5,1008
