date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,16.74,16.74,16.74,16.74,0
2020-11-18 09:32:00-05:00,16.905,16.905,16.905,16.905,126
2020-11-18 09:34:00-05:00,16.8058,16.8058,16.8058,16.8058,130
2020-11-18 09:38:00-05:00,16.8999,16.8999,16.8999,16.8999,441
2020-11-18 09:44:00-05:00,16.84,16.85,16.76,16.76,1179
2020-11-18 09:46:00-05:00,16.825,16.825,16.825,16.825,347
2020-11-18 09:56:00-05:00,16.68,16.68,16.68,16.68,108
2020-11-18 10:00:00-05:00,16.735,16.735,16.735,16.735,339
2020-11-18 10:10:00-05:00,16.77,16.77,16.77,16.77,217
2020-11-18 10:14:00-05:00,16.735,16.735,16.735,16.735,507
2020-11-18 10:16:00-05:00,16.735,16.735,16.735,16.735,265
2020-11-18 10:18:00-05:00,16.765,16.765,16.765,16.765,103
2020-11-18 10:22:00-05:00,16.77,16.84,16.77,16.84,768
2020-11-18 10:34:00-05:00,16.8,16.84,16.8,16.84,572
2020-11-18 10:38:00-05:00,16.83,16.83,16.765,16.765,1068
2020-11-18 10:40:00-05:00,16.7915,16.82,16.7915,16.81,915
2020-11-18 10:44:00-05:00,16.8,16.835,16.8,16.83,1155
2020-11-18 10:48:00-05:00,16.835,16.8499,16.835,16.8499,724
2020-11-18 10:52:00-05:00,16.835,16.835,16.81,16.81,566
2020-11-18 10:56:00-05:00,16.8,16.85,16.74,16.85,1967
2020-11-18 10:58:00-05:00,16.81,16.81,16.81,16.81,522
2020-11-18 11:04:00-05:00,16.8,16.85,16.8,16.85,834
2020-11-18 11:14:00-05:00,16.84,16.84,16.84,16.84,134
2020-11-18 11:16:00-05:00,16.83,16.84,16.81,16.81,551
2020-11-18 11:18:00-05:00,16.77,16.77,16.77,16.77,250
2020-11-18 11:32:00-05:00,16.76,16.76,16.76,16.76,486
2020-11-18 11:46:00-05:00,16.81,16.88,16.8,16.81,1498
2020-11-18 11:48:00-05:00,16.7851,16.7851,16.7851,16.7851,317
2020-11-18 11:58:00-05:00,16.81,16.81,16.81,16.81,567
2020-11-18 12:02:00-05:00,16.78,16.81,16.78,16.81,927
2020-11-18 12:08:00-05:00,16.78,16.78,16.77,16.77,566
2020-11-18 12:22:00-05:00,16.83,16.84,16.8,16.8,2078
2020-11-18 12:26:00-05:00,16.83,16.9,16.82,16.9,1109
2020-11-18 12:28:00-05:00,16.82,16.845,16.82,16.845,354
2020-11-18 12:30:00-05:00,16.85,16.89,16.81,16.85,2509
2020-11-18 12:32:00-05:00,16.86,16.86,16.86,16.86,591
2020-11-18 12:42:00-05:00,16.89,17.0,16.89,17.0,1719
2020-11-18 12:44:00-05:00,17.0,17.0,17.0,17.0,415
2020-11-18 12:46:00-05:00,16.98,17.02,16.98,17.02,239
2020-11-18 12:48:00-05:00,17.0,17.0,17.0,17.0,1114
2020-11-18 12:52:00-05:00,16.95,17.03,16.95,17.03,2091
2020-11-18 12:58:00-05:00,16.9884,17.0,16.98,17.0,1019
2020-11-18 13:00:00-05:00,16.95,16.95,16.95,16.95,640
2020-11-18 13:04:00-05:00,16.91,16.91,16.91,16.91,200
2020-11-18 13:08:00-05:00,16.97,16.97,16.94,16.94,461
2020-11-18 13:10:00-05:00,16.97,16.97,16.97,16.97,135
2020-11-18 13:22:00-05:00,16.99,17.05,16.99,17.05,1570
2020-11-18 13:24:00-05:00,17.0267,17.0462,17.01,17.01,853
2020-11-18 13:26:00-05:00,17.02,17.02,17.02,17.02,108
2020-11-18 13:28:00-05:00,17.0,17.02,16.99,16.99,808
2020-11-18 13:36:00-05:00,16.9889,16.9889,16.9889,16.9889,177
2020-11-18 13:40:00-05:00,16.98,16.98,16.97,16.97,834
2020-11-18 13:42:00-05:00,17.0001,17.0036,16.95,16.985,2166
2020-11-18 13:52:00-05:00,16.95,16.95,16.95,16.95,414
2020-11-18 13:54:00-05:00,16.95,16.98,16.95,16.95,940
2020-11-18 13:58:00-05:00,16.95,16.97,16.95,16.95,742
2020-11-18 14:00:00-05:00,16.955,16.97,16.955,16.96,816
2020-11-18 14:02:00-05:00,16.955,16.97,16.95,16.97,1430
2020-11-18 14:18:00-05:00,16.965,16.965,16.965,16.965,190
2020-11-18 14:20:00-05:00,16.96,16.99,16.94,16.965,5010
2020-11-18 14:22:00-05:00,16.96,16.96,16.94,16.94,1656
2020-11-18 14:24:00-05:00,16.925,16.925,16.925,16.925,374
2020-11-18 14:34:00-05:00,16.94,16.94,16.905,16.905,1351
2020-11-18 14:36:00-05:00,16.91,16.91,16.91,16.91,849
2020-11-18 14:40:00-05:00,16.94,16.99,16.94,16.99,623
2020-11-18 14:46:00-05:00,16.99,16.99,16.99,16.99,100
2020-11-18 14:48:00-05:00,16.955,16.955,16.955,16.955,248
2020-11-18 14:54:00-05:00,16.94,16.98,16.92,16.98,1132
2020-11-18 14:56:00-05:00,16.98,17.05,16.98,17.0,2160
2020-11-18 14:58:00-05:00,17.0,17.0,16.975,16.975,905
2020-11-18 15:00:00-05:00,17.0,17.04,17.0,17.04,470
2020-11-18 15:02:00-05:00,16.97,16.98,16.97,16.98,317
2020-11-18 15:06:00-05:00,17.005,17.005,17.005,17.005,505
2020-11-18 15:08:00-05:00,17.04,17.04,16.97,17.03,536
2020-11-18 15:10:00-05:00,17.01,17.02,17.0,17.0,510
2020-11-18 15:12:00-05:00,17.04,17.04,17.02,17.02,410
2020-11-18 15:14:00-05:00,17.0,17.05,17.0,17.05,2027
2020-11-18 15:20:00-05:00,17.08,17.11,17.07,17.07,673
2020-11-18 15:22:00-05:00,17.03,17.03,17.03,17.03,1522
2020-11-18 15:24:00-05:00,17.0475,17.1,17.0475,17.1,1249
2020-11-18 15:26:00-05:00,17.06,17.06,17.06,17.06,237
2020-11-18 15:28:00-05:00,17.08,17.08,17.08,17.08,245
2020-11-18 15:32:00-05:00,17.11,17.11,17.1,17.1,240
2020-11-18 15:34:00-05:00,17.1,17.1,17.1,17.1,304
2020-11-18 15:36:00-05:00,17.05,17.1,17.05,17.1,953
2020-11-18 15:38:00-05:00,17.1,17.1,17.1,17.1,106
2020-11-18 15:40:00-05:00,17.075,17.075,17.06,17.06,834
2020-11-18 15:42:00-05:00,17.06,17.08,17.06,17.08,639
2020-11-18 15:44:00-05:00,17.065,17.08,17.065,17.07,1494
2020-11-18 15:46:00-05:00,17.1,17.1,17.085,17.1,606
2020-11-18 15:48:00-05:00,17.07,17.1,17.07,17.08,2896
2020-11-18 15:50:00-05:00,17.09,17.1,17.07,17.075,3183
2020-11-18 15:52:00-05:00,17.09,17.09,17.05,17.05,2479
2020-11-18 15:54:00-05:00,17.04,17.04,16.98,17.005,1848
2020-11-18 15:56:00-05:00,16.98,17.0,16.97,16.985,1459
2020-11-18 15:58:00-05:00,16.97,17.01,16.96,16.97,4667
2020-11-19 09:30:00-05:00,16.9,16.9,16.4595,16.76,0
2020-11-19 09:32:00-05:00,16.39,16.39,16.39,16.39,415
2020-11-19 09:44:00-05:00,16.9,16.9,16.79,16.79,407
2020-11-19 09:46:00-05:00,16.79,16.79,16.79,16.79,523
2020-11-19 09:48:00-05:00,16.78,16.78,16.66,16.66,254
2020-11-19 09:52:00-05:00,16.7,16.7,16.7,16.7,100
2020-11-19 09:58:00-05:00,16.69,16.7,16.69,16.69,612
2020-11-19 10:04:00-05:00,16.71,16.71,16.71,16.71,418
2020-11-19 10:10:00-05:00,16.71,16.71,16.71,16.71,200
2020-11-19 10:14:00-05:00,16.71,16.71,16.71,16.71,257
2020-11-19 10:18:00-05:00,16.68,16.68,16.67,16.67,251
2020-11-19 10:22:00-05:00,16.73,16.74,16.68,16.68,1028
2020-11-19 10:26:00-05:00,16.67,16.7,16.67,16.7,616
2020-11-19 10:28:00-05:00,16.67,16.67,16.67,16.67,462
2020-11-19 10:38:00-05:00,16.67,16.67,16.67,16.67,128
2020-11-19 10:42:00-05:00,16.67,16.67,16.67,16.67,108
2020-11-19 10:44:00-05:00,16.73,16.73,16.67,16.7,1148
2020-11-19 10:46:00-05:00,16.71,16.74,16.67,16.725,4454
2020-11-19 10:48:00-05:00,16.705,16.74,16.7,16.71,1078
2020-11-19 10:50:00-05:00,16.73,16.73,16.73,16.73,100
2020-11-19 10:52:00-05:00,16.73,16.73,16.7,16.7,1206
2020-11-19 10:54:00-05:00,16.66,16.69,16.6,16.65,1128
2020-11-19 10:56:00-05:00,16.61,16.61,16.61,16.61,221
2020-11-19 11:00:00-05:00,16.62,16.62,16.62,16.62,304
2020-11-19 11:02:00-05:00,16.64,16.64,16.64,16.64,110
2020-11-19 11:04:00-05:00,16.6,16.6,16.6,16.6,572
2020-11-19 11:06:00-05:00,16.6,16.6,16.6,16.6,260
2020-11-19 11:08:00-05:00,16.58,16.58,16.58,16.58,152
2020-11-19 11:10:00-05:00,16.58,16.58,16.58,16.58,200
2020-11-19 11:12:00-05:00,16.58,16.58,16.57,16.57,210
2020-11-19 11:16:00-05:00,16.52,16.52,16.52,16.52,270
2020-11-19 11:18:00-05:00,16.56,16.56,16.55,16.55,415
2020-11-19 11:28:00-05:00,16.575,16.575,16.575,16.575,101
2020-11-19 11:30:00-05:00,16.53,16.53,16.53,16.53,530
2020-11-19 11:36:00-05:00,16.52,16.52,16.52,16.52,100
2020-11-19 11:44:00-05:00,16.52,16.52,16.51,16.51,658
2020-11-19 11:48:00-05:00,16.51,16.51,16.51,16.51,366
2020-11-19 11:52:00-05:00,16.52,16.52,16.52,16.52,100
2020-11-19 11:54:00-05:00,16.51,16.51,16.51,16.51,205
2020-11-19 12:00:00-05:00,16.545,16.575,16.545,16.575,607
2020-11-19 12:02:00-05:00,16.545,16.545,16.52,16.545,600
2020-11-19 12:04:00-05:00,16.545,16.545,16.545,16.545,205
2020-11-19 12:06:00-05:00,16.51,16.51,16.51,16.51,159
2020-11-19 12:14:00-05:00,16.57,16.595,16.57,16.585,1627
2020-11-19 12:20:00-05:00,16.6017,16.635,16.6017,16.63,816
2020-11-19 12:22:00-05:00,16.585,16.585,16.585,16.585,100
2020-11-19 12:24:00-05:00,16.585,16.585,16.585,16.585,120
2020-11-19 12:26:00-05:00,16.585,16.585,16.585,16.585,222
2020-11-19 12:28:00-05:00,16.585,16.585,16.585,16.585,106
2020-11-19 12:34:00-05:00,16.59,16.59,16.59,16.59,220
2020-11-19 12:36:00-05:00,16.59,16.63,16.56,16.63,5806
2020-11-19 12:38:00-05:00,16.69,16.69,16.69,16.69,276
2020-11-19 12:42:00-05:00,16.6,16.6,16.6,16.6,100
2020-11-19 12:44:00-05:00,16.64,16.64,16.59,16.59,429
2020-11-19 12:46:00-05:00,16.58,16.59,16.58,16.59,626
2020-11-19 12:50:00-05:00,16.6,16.65,16.56,16.56,935
2020-11-19 12:52:00-05:00,16.61,16.61,16.56,16.605,1730
2020-11-19 12:54:00-05:00,16.56,16.56,16.56,16.56,105
2020-11-19 12:58:00-05:00,16.56,16.65,16.56,16.57,601
2020-11-19 13:00:00-05:00,16.61,16.65,16.61,16.65,1719
2020-11-19 13:04:00-05:00,16.66,16.66,16.66,16.66,107
2020-11-19 13:06:00-05:00,16.69,16.7,16.69,16.7,407
2020-11-19 13:10:00-05:00,16.66,16.66,16.66,16.66,213
2020-11-19 13:14:00-05:00,16.66,16.66,16.66,16.66,110
2020-11-19 13:16:00-05:00,16.66,16.66,16.66,16.66,205
2020-11-19 13:18:00-05:00,16.715,16.775,16.65,16.65,1075
2020-11-19 13:22:00-05:00,16.66,16.66,16.66,16.66,144
2020-11-19 13:24:00-05:00,16.65,16.65,16.65,16.65,139
2020-11-19 13:26:00-05:00,16.66,16.66,16.66,16.66,426
2020-11-19 13:30:00-05:00,16.685,16.685,16.65,16.65,840
2020-11-19 13:34:00-05:00,16.64,16.64,16.64,16.64,263
2020-11-19 13:38:00-05:00,16.67,16.67,16.645,16.645,520
2020-11-19 13:40:00-05:00,16.66,16.67,16.66,16.66,1347
2020-11-19 13:44:00-05:00,16.7026,16.7026,16.675,16.69,1165
2020-11-19 13:46:00-05:00,16.695,16.6996,16.695,16.695,1161
2020-11-19 13:50:00-05:00,16.695,16.695,16.66,16.66,411
2020-11-19 13:54:00-05:00,16.69,16.69,16.66,16.66,234
2020-11-19 13:56:00-05:00,16.67,16.67,16.66,16.66,200
2020-11-19 13:58:00-05:00,16.69,16.69,16.66,16.66,240
2020-11-19 14:00:00-05:00,16.69,16.69,16.66,16.66,492
2020-11-19 14:04:00-05:00,16.675,16.71,16.675,16.7,1145
2020-11-19 14:06:00-05:00,16.7,16.7,16.7,16.7,105
2020-11-19 14:10:00-05:00,16.725,16.74,16.725,16.74,678
2020-11-19 14:12:00-05:00,16.78,16.78,16.78,16.78,365
2020-11-19 14:18:00-05:00,16.71,16.71,16.71,16.71,883
2020-11-19 14:20:00-05:00,16.72,16.785,16.72,16.785,1842
2020-11-19 14:30:00-05:00,16.76,16.775,16.75,16.775,813
2020-11-19 14:32:00-05:00,16.78,16.78,16.78,16.78,614
2020-11-19 14:36:00-05:00,16.785,16.785,16.785,16.785,206
2020-11-19 14:38:00-05:00,16.76,16.785,16.76,16.785,570
2020-11-19 14:40:00-05:00,16.76,16.76,16.76,16.76,104
2020-11-19 14:42:00-05:00,16.78,16.82,16.78,16.785,585
2020-11-19 14:44:00-05:00,16.77,16.8,16.77,16.8,213
2020-11-19 14:46:00-05:00,16.77,16.77,16.77,16.77,100
2020-11-19 14:48:00-05:00,16.76,16.7734,16.76,16.7734,701
2020-11-19 14:50:00-05:00,16.8,16.84,16.77,16.77,977
2020-11-19 14:52:00-05:00,16.8,16.8,16.8,16.8,236
2020-11-19 14:54:00-05:00,16.76,16.76,16.76,16.76,796
2020-11-19 14:56:00-05:00,16.795,16.795,16.76,16.76,1009
2020-11-19 14:58:00-05:00,16.76,16.76,16.76,16.76,200
2020-11-19 15:00:00-05:00,16.76,16.76,16.75,16.76,304
2020-11-19 15:02:00-05:00,16.76,16.76,16.75,16.75,922
2020-11-19 15:06:00-05:00,16.8,16.8,16.77,16.78,679
