date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,2.94,2.94,2.94,2.94,10790
2020-11-18 09:32:00-05:00,2.9354,2.96,2.9306,2.95,4883
2020-11-18 09:34:00-05:00,2.95,3.01,2.95,3.0,17669
2020-11-18 09:36:00-05:00,3.0,3.0,2.995,3.0,9469
2020-11-18 09:38:00-05:00,2.9957,2.9957,2.98,2.98,1235
2020-11-18 09:40:00-05:00,2.99,2.99,2.985,2.985,7000
2020-11-18 09:42:00-05:00,2.985,2.985,2.985,2.985,322
2020-11-18 09:44:00-05:00,2.985,2.985,2.985,2.985,100
2020-11-18 09:46:00-05:00,2.985,2.985,2.97,2.97,4392
2020-11-18 09:48:00-05:00,2.97,2.97,2.97,2.97,182
2020-11-18 09:50:00-05:00,2.97,2.975,2.97,2.97,717
2020-11-18 09:52:00-05:00,2.97,2.97,2.95,2.95,7166
2020-11-18 09:54:00-05:00,2.95,2.95,2.95,2.95,592
2020-11-18 09:56:00-05:00,2.94,2.95,2.94,2.95,6823
2020-11-18 09:58:00-05:00,2.9499,2.96,2.9499,2.96,17498
2020-11-18 10:00:00-05:00,2.96,2.96,2.955,2.955,7041
2020-11-18 10:02:00-05:00,2.96,2.96,2.96,2.96,1136
2020-11-18 10:04:00-05:00,2.9652,2.9652,2.9652,2.9652,223
2020-11-18 10:06:00-05:00,2.96,2.97,2.96,2.96,5936
2020-11-18 10:12:00-05:00,2.965,2.965,2.965,2.965,745
2020-11-18 10:14:00-05:00,2.965,2.965,2.965,2.965,201
2020-11-18 10:18:00-05:00,2.96,2.965,2.96,2.965,433
2020-11-18 10:20:00-05:00,2.9633,2.9633,2.9633,2.9633,693
2020-11-18 10:24:00-05:00,2.965,2.965,2.965,2.965,603
2020-11-18 10:26:00-05:00,2.97,2.97,2.965,2.965,200
2020-11-18 10:28:00-05:00,2.96,2.97,2.96,2.96,4203
2020-11-18 10:30:00-05:00,2.96,2.965,2.96,2.96,4701
2020-11-18 10:32:00-05:00,2.96,2.96,2.96,2.96,503
2020-11-18 10:36:00-05:00,2.97,2.97,2.965,2.965,776
2020-11-18 10:38:00-05:00,2.965,2.97,2.965,2.965,477
2020-11-18 10:42:00-05:00,2.969,2.969,2.965,2.965,751
2020-11-18 10:44:00-05:00,2.97,2.97,2.965,2.965,955
2020-11-18 10:46:00-05:00,2.9676,2.9676,2.9676,2.9676,251
2020-11-18 10:48:00-05:00,2.97,2.97,2.97,2.97,105
2020-11-18 10:50:00-05:00,2.97,2.975,2.97,2.975,3166
2020-11-18 10:52:00-05:00,2.9705,2.9705,2.97,2.97,1216
2020-11-18 10:54:00-05:00,2.97,2.975,2.97,2.975,1645
