date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,7.03,7.03,7.03,7.03,0
2020-11-18 09:32:00-05:00,6.96,7.0796,6.8887,7.0796,1582
2020-11-18 09:34:00-05:00,7.08,7.15,7.08,7.1471,13278
2020-11-18 09:36:00-05:00,7.15,7.15,7.15,7.15,2863
2020-11-18 09:40:00-05:00,7.07,7.095,7.02,7.04,2720
2020-11-18 09:42:00-05:00,7.04,7.04,7.04,7.04,122
2020-11-18 09:44:00-05:00,7.04,7.04,7.04,7.04,568
2020-11-18 09:46:00-05:00,7.05,7.05,7.05,7.05,253
2020-11-18 09:56:00-05:00,7.0,7.04,7.0,7.01,822
2020-11-18 10:00:00-05:00,7.0207,7.0207,6.96,6.9725,497
2020-11-18 10:02:00-05:00,6.995,6.995,6.96,6.97,1003
2020-11-18 10:08:00-05:00,7.01,7.01,6.99,6.99,704
2020-11-18 10:10:00-05:00,7.0,7.015,6.95,6.9614,7316
2020-11-18 10:12:00-05:00,6.955,6.98,6.92,6.92,2950
2020-11-18 10:14:00-05:00,6.97,6.97,6.91,6.94,3853
2020-11-18 10:16:00-05:00,6.92,6.92,6.92,6.92,721
2020-11-18 10:18:00-05:00,6.9,6.9335,6.84,6.84,2899
2020-11-18 10:20:00-05:00,6.86,6.91,6.85,6.85,1936
2020-11-18 10:22:00-05:00,6.88,6.88,6.88,6.88,480
2020-11-18 10:24:00-05:00,6.8999,6.9,6.86,6.8818,2069
2020-11-18 10:26:00-05:00,6.87,6.88,6.85,6.87,3552
2020-11-18 10:28:00-05:00,6.8624,6.88,6.86,6.86,1605
2020-11-18 10:30:00-05:00,6.86,6.86,6.83,6.86,6510
2020-11-18 10:32:00-05:00,6.845,6.845,6.83,6.84,2519
2020-11-18 10:34:00-05:00,6.835,6.885,6.835,6.885,1403
2020-11-18 10:36:00-05:00,6.9001,6.9001,6.87,6.88,1671
2020-11-18 10:38:00-05:00,6.88,6.92,6.88,6.92,3522
2020-11-18 10:40:00-05:00,6.9,6.92,6.88,6.9,2493
2020-11-18 10:42:00-05:00,6.88,6.91,6.88,6.89,4362
2020-11-18 10:44:00-05:00,6.89,6.91,6.88,6.88,4865
2020-11-18 10:46:00-05:00,6.88,6.88,6.85,6.85,2381
2020-11-18 10:48:00-05:00,6.87,6.87,6.85,6.85,656
2020-11-18 10:50:00-05:00,6.85,6.865,6.85,6.865,563
2020-11-18 10:52:00-05:00,6.8503,6.8503,6.83,6.85,6127
2020-11-18 10:54:00-05:00,6.83,6.84,6.83,6.84,883
2020-11-18 10:56:00-05:00,6.83,6.84,6.83,6.83,1708
