date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,12.82,12.82,12.5,12.51,2671
2020-11-18 09:32:00-05:00,12.585,12.585,12.27,12.27,1541
2020-11-18 09:34:00-05:00,12.51,12.77,12.51,12.77,1764
2020-11-18 09:38:00-05:00,12.7,12.71,12.7,12.71,570
2020-11-18 09:42:00-05:00,12.805,12.805,12.805,12.805,443
2020-11-18 09:46:00-05:00,12.8,12.8,12.76,12.76,1096
2020-11-18 09:48:00-05:00,12.83,12.87,12.82,12.87,837
2020-11-18 09:50:00-05:00,12.83,12.83,12.83,12.83,184
2020-11-18 09:52:00-05:00,12.82,12.84,12.75,12.76,1140
2020-11-18 09:54:00-05:00,12.68,12.69,12.68,12.68,502
2020-11-18 09:56:00-05:00,12.71,12.76,12.71,12.71,725
2020-11-18 10:00:00-05:00,12.76,12.78,12.76,12.78,1442
2020-11-18 10:02:00-05:00,12.8,12.8,12.8,12.8,730
2020-11-18 10:04:00-05:00,12.76,12.76,12.76,12.76,172
2020-11-18 10:06:00-05:00,12.76,12.76,12.76,12.76,565
2020-11-18 10:10:00-05:00,12.69,12.69,12.69,12.69,527
2020-11-18 10:12:00-05:00,12.65,12.65,12.65,12.65,113
2020-11-18 10:16:00-05:00,12.66,12.66,12.64,12.64,924
2020-11-18 10:18:00-05:00,12.66,12.685,12.66,12.685,1088
2020-11-18 10:22:00-05:00,12.66,12.66,12.66,12.66,424
2020-11-18 10:24:00-05:00,12.71,12.71,12.69,12.69,202
2020-11-18 10:28:00-05:00,12.74,12.74,12.74,12.74,388
2020-11-18 10:30:00-05:00,12.7,12.7,12.7,12.7,185
2020-11-18 10:32:00-05:00,12.68,12.68,12.68,12.68,260
2020-11-18 10:36:00-05:00,12.69,12.69,12.64,12.64,921
2020-11-18 10:40:00-05:00,12.64,12.64,12.64,12.64,359
2020-11-18 10:44:00-05:00,12.69,12.71,12.69,12.71,1755
2020-11-18 10:46:00-05:00,12.71,12.71,12.71,12.71,100
2020-11-18 10:48:00-05:00,12.71,12.71,12.71,12.71,118
2020-11-18 10:50:00-05:00,12.75,12.75,12.75,12.75,298
2020-11-18 10:52:00-05:00,12.725,12.74,12.725,12.73,735
2020-11-18 10:54:00-05:00,12.72,12.72,12.7,12.7,761
2020-11-18 10:56:00-05:00,12.71,12.71,12.71,12.71,376
2020-11-18 10:58:00-05:00,12.68,12.68,12.68,12.68,149
2020-11-18 11:00:00-05:00,12.71,12.71,12.68,12.68,1098
2020-11-18 11:02:00-05:00,12.68,12.68,12.68,12.68,379
2020-11-18 11:04:00-05:00,12.71,12.73,12.71,12.71,1676
2020-11-18 11:06:00-05:00,12.71,12.71,12.71,12.71,201
2020-11-18 11:10:00-05:00,12.72,12.72,12.71,12.71,381
2020-11-18 11:12:00-05:00,12.72,12.76,12.72,12.76,2937
2020-11-18 11:14:00-05:00,12.77,12.77,12.755,12.755,681
2020-11-18 11:20:00-05:00,12.78,12.8,12.7799,12.8,1864
2020-11-18 11:22:00-05:00,12.82,12.82,12.81,12.81,422
2020-11-18 11:24:00-05:00,12.82,12.82,12.79,12.81,925
2020-11-18 11:26:00-05:00,12.82,12.85,12.82,12.85,1544
2020-11-18 11:28:00-05:00,12.86,12.86,12.84,12.86,570
2020-11-18 11:30:00-05:00,12.85,12.85,12.84,12.84,2567
2020-11-18 11:32:00-05:00,12.87,12.9,12.87,12.9,1783
2020-11-18 11:34:00-05:00,12.9,12.92,12.9,12.91,1299
2020-11-18 11:36:00-05:00,12.93,12.93,12.93,12.93,671
2020-11-18 11:40:00-05:00,12.94,12.94,12.94,12.94,619
2020-11-18 11:42:00-05:00,12.95,12.95,12.93,12.9499,300
2020-11-18 11:44:00-05:00,12.95,12.96,12.95,12.96,942
2020-11-18 11:46:00-05:00,12.95,12.96,12.95,12.96,402
2020-11-18 11:48:00-05:00,12.94,12.94,12.91,12.91,1056
2020-11-18 11:50:00-05:00,12.9,12.9,12.85,12.89,1799
2020-11-18 11:52:00-05:00,12.9,12.9,12.9,12.9,588
2020-11-18 11:56:00-05:00,12.925,12.925,12.8901,12.91,3848
2020-11-18 12:04:00-05:00,12.89,12.9,12.89,12.89,1119
2020-11-18 12:08:00-05:00,12.87,12.87,12.85,12.85,303
2020-11-18 12:10:00-05:00,12.87,12.92,12.87,12.92,2823
2020-11-18 12:12:00-05:00,12.92,12.94,12.92,12.93,1131
2020-11-18 12:16:00-05:00,12.92,12.92,12.89,12.89,583
2020-11-18 12:18:00-05:00,12.88,12.9,12.88,12.9,601
2020-11-18 12:20:00-05:00,12.88,12.9,12.88,12.885,737
2020-11-18 12:22:00-05:00,12.9,12.94,12.9,12.92,1230
2020-11-18 12:24:00-05:00,12.92,12.92,12.92,12.92,476
2020-11-18 12:26:00-05:00,12.9,12.91,12.9,12.91,201
2020-11-18 12:28:00-05:00,12.91,12.91,12.91,12.91,100
2020-11-18 12:30:00-05:00,12.9,12.95,12.9,12.95,8063
2020-11-18 12:32:00-05:00,12.94,12.94,12.94,12.94,101
2020-11-18 12:34:00-05:00,12.945,12.945,12.945,12.945,260
2020-11-18 12:38:00-05:00,12.96,12.97,12.95,12.97,1496
2020-11-18 12:40:00-05:00,12.97,12.99,12.96,12.99,2029
2020-11-18 12:42:00-05:00,13.0,13.02,12.97,12.97,7931
2020-11-18 12:46:00-05:00,12.95,12.95,12.95,12.95,302
2020-11-18 12:48:00-05:00,12.94,12.95,12.94,12.95,1275
2020-11-18 12:52:00-05:00,12.96,12.96,12.96,12.96,884
2020-11-18 12:54:00-05:00,12.97,12.97,12.97,12.97,871
2020-11-18 12:56:00-05:00,12.98,12.98,12.98,12.98,121
2020-11-18 13:02:00-05:00,12.99,12.99,12.99,12.99,744
