date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,52.0,52.0,52.0,52.0,4140
2020-11-18 09:32:00-05:00,52.03,52.37,51.84,52.215,2371
2020-11-18 09:34:00-05:00,52.1625,52.3314,52.1625,52.3314,239
2020-11-18 09:36:00-05:00,52.6295,52.6295,52.295,52.47,1536
2020-11-18 09:38:00-05:00,52.38,52.49,52.235,52.235,1692
2020-11-18 09:42:00-05:00,52.109,52.195,52.109,52.195,340
2020-11-18 09:44:00-05:00,52.0,52.0,51.69,51.8,3846
2020-11-18 09:46:00-05:00,51.64,51.67,51.315,51.315,1317
2020-11-18 09:48:00-05:00,51.42,51.6,50.69,50.735,3391
2020-11-18 09:50:00-05:00,51.025,51.0864,50.67,50.67,1113
2020-11-18 09:52:00-05:00,50.85,50.85,50.85,50.85,144
2020-11-18 09:54:00-05:00,50.7607,50.7607,50.7607,50.7607,294
2020-11-18 09:56:00-05:00,50.77,50.7923,50.5,50.7923,6432
2020-11-18 09:58:00-05:00,50.9,50.9,50.4,50.4,2000
2020-11-18 10:00:00-05:00,50.4,50.55,50.4,50.44,779
2020-11-18 10:02:00-05:00,50.6688,50.815,50.6688,50.815,938
2020-11-18 10:04:00-05:00,50.842,50.91,50.842,50.91,977
2020-11-18 10:08:00-05:00,51.1099,51.1099,50.86,51.0976,2903
2020-11-18 10:10:00-05:00,51.06,51.06,51.06,51.06,797
2020-11-18 10:12:00-05:00,51.31,51.415,51.2001,51.415,607
2020-11-18 10:14:00-05:00,51.59,51.63,51.59,51.63,403
2020-11-18 10:18:00-05:00,51.36,51.36,51.36,51.36,682
2020-11-18 10:20:00-05:00,51.56,51.84,51.54,51.84,1078
2020-11-18 10:22:00-05:00,51.95,51.95,51.95,51.95,141
2020-11-18 10:24:00-05:00,51.91,51.91,51.75,51.75,3227
2020-11-18 10:26:00-05:00,51.485,51.485,51.485,51.485,261
2020-11-18 10:28:00-05:00,51.37,51.37,51.2109,51.2109,329
2020-11-18 10:32:00-05:00,51.42,51.43,51.42,51.43,633
2020-11-18 10:34:00-05:00,51.44,51.51,51.44,51.51,1321
2020-11-18 10:38:00-05:00,51.55,51.55,51.55,51.55,265
2020-11-18 10:40:00-05:00,51.47,51.48,51.43,51.43,865
