date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,9.1,9.23,8.92,8.9299,911415
2020-11-18 09:32:00-05:00,8.92,8.92,8.5499,8.7115,490980
2020-11-18 09:34:00-05:00,8.7,8.8,8.66,8.7325,302182
2020-11-18 09:36:00-05:00,8.72,8.72,8.53,8.644,250517
2020-11-18 09:38:00-05:00,8.62,8.6396,8.4,8.44,376525
2020-11-18 09:40:00-05:00,8.425,8.4325,8.18,8.265,533427
2020-11-18 09:42:00-05:00,8.251,8.3,7.8,7.8291,549707
2020-11-18 09:44:00-05:00,7.85,8.12,7.81,8.02,509504
2020-11-18 09:46:00-05:00,8.02,8.09,8.0,8.0605,209718
2020-11-18 09:48:00-05:00,8.07,8.19,8.05,8.1801,302600
2020-11-18 09:50:00-05:00,8.18,8.19,8.0,8.04,300640
2020-11-18 09:52:00-05:00,8.0499,8.13,8.029,8.115,130142
2020-11-18 09:54:00-05:00,8.12,8.26,8.119,8.1902,157009
2020-11-18 09:56:00-05:00,8.19,8.26,8.05,8.11,163030
2020-11-18 09:58:00-05:00,8.1016,8.15,7.91,8.08,197491
2020-11-18 10:00:00-05:00,8.08,8.09,7.9263,7.9689,196520
2020-11-18 10:02:00-05:00,7.96,7.97,7.72,7.785,341510
2020-11-18 10:04:00-05:00,7.785,7.79,7.58,7.6,372948
2020-11-18 10:06:00-05:00,7.6,7.62,7.54,7.56,280838
2020-11-18 10:08:00-05:00,7.55,7.6,7.5,7.59,373313
2020-11-18 10:10:00-05:00,7.6,7.74,7.5941,7.68,291448
2020-11-18 10:12:00-05:00,7.6701,7.94,7.65,7.8229,271055
2020-11-18 10:14:00-05:00,7.83,7.87,7.7,7.756,214012
2020-11-18 10:16:00-05:00,7.74,7.92,7.7201,7.8401,133816
2020-11-18 10:18:00-05:00,7.84,7.8799,7.8,7.81,84926
2020-11-18 10:20:00-05:00,7.8101,7.85,7.8,7.8313,69239
2020-11-18 10:22:00-05:00,7.825,7.85,7.8,7.81,52503
2020-11-18 10:24:00-05:00,7.81,7.835,7.62,7.67,133082
2020-11-18 10:26:00-05:00,7.67,7.77,7.61,7.65,108206
2020-11-18 10:28:00-05:00,7.6473,7.7432,7.63,7.73,86033
2020-11-18 10:30:00-05:00,7.73,7.74,7.65,7.735,74516
2020-11-18 10:32:00-05:00,7.75,7.75,7.66,7.6806,41310
2020-11-18 10:34:00-05:00,7.685,7.7,7.6,7.6,104566
2020-11-18 10:36:00-05:00,7.615,7.66,7.61,7.6399,55533
2020-11-18 10:38:00-05:00,7.64,7.64,7.55,7.5629,157476
2020-11-18 10:40:00-05:00,7.57,7.73,7.5205,7.71,122420
2020-11-18 10:42:00-05:00,7.7,7.72,7.65,7.7,85911
2020-11-18 10:44:00-05:00,7.7,7.7399,7.67,7.73,72818
2020-11-18 10:46:00-05:00,7.74,7.9,7.74,7.8999,205839
2020-11-18 10:48:00-05:00,7.8903,7.99,7.81,7.95,266270
2020-11-18 10:50:00-05:00,7.9562,8.05,7.87,7.9654,252073
2020-11-18 10:52:00-05:00,7.955,8.04,7.87,8.03,112296
2020-11-18 10:54:00-05:00,8.0302,8.075,7.97,8.0035,143566
2020-11-18 10:56:00-05:00,8.0046,8.01,7.9301,7.97,68939
2020-11-18 10:58:00-05:00,8.0,8.0,7.9331,7.935,50853
2020-11-18 11:00:00-05:00,7.935,7.94,7.84,7.88,91453
2020-11-18 11:02:00-05:00,7.8897,7.93,7.85,7.925,35759
2020-11-18 11:04:00-05:00,7.93,7.93,7.8829,7.93,49337
2020-11-18 11:06:00-05:00,7.91,8.1,7.91,8.0499,104936
2020-11-18 11:08:00-05:00,8.035,8.05,7.98,8.02,57460
2020-11-18 11:10:00-05:00,7.98,8.01,7.96,7.9651,33464
2020-11-18 11:12:00-05:00,7.98,8.0,7.9141,7.94,31031
2020-11-18 11:14:00-05:00,7.94,7.95,7.91,7.9499,35285
2020-11-18 11:16:00-05:00,7.94,7.94,7.87,7.8738,58556
2020-11-18 11:18:00-05:00,7.8701,7.89,7.86,7.8732,71669
2020-11-18 11:20:00-05:00,7.875,7.89,7.73,7.74,137704
2020-11-18 11:22:00-05:00,7.7598,7.79,7.71,7.75,66235
2020-11-18 11:24:00-05:00,7.73,7.84,7.71,7.84,63062
2020-11-18 11:26:00-05:00,7.82,7.93,7.8,7.8769,44943
2020-11-18 11:28:00-05:00,7.87,7.94,7.86,7.94,32750
2020-11-18 11:30:00-05:00,7.92,7.94,7.9,7.93,16163
2020-11-18 11:32:00-05:00,7.925,7.95,7.8,7.9386,44160
2020-11-18 11:34:00-05:00,7.915,7.9157,7.855,7.88,28755
2020-11-18 11:36:00-05:00,7.885,7.89,7.81,7.83,39832
2020-11-18 11:38:00-05:00,7.82,7.87,7.8,7.8105,42031
2020-11-18 11:40:00-05:00,7.8298,7.85,7.81,7.8255,32224
2020-11-18 11:42:00-05:00,7.8239,7.859,7.8,7.8307,79758
2020-11-18 11:44:00-05:00,7.8408,7.87,7.8101,7.845,23843
2020-11-18 11:46:00-05:00,7.845,7.87,7.8205,7.8299,8329
2020-11-18 11:48:00-05:00,7.83,7.85,7.8,7.8315,45871
2020-11-18 11:50:00-05:00,7.82,7.8499,7.81,7.825,24266
2020-11-18 11:52:00-05:00,7.82,7.87,7.81,7.835,57083
2020-11-18 11:54:00-05:00,7.8238,7.87,7.8101,7.845,22192
2020-11-18 11:56:00-05:00,7.8487,7.86,7.81,7.8398,45379
2020-11-18 11:58:00-05:00,7.835,7.87,7.81,7.8383,21974
2020-11-18 12:00:00-05:00,7.8303,7.845,7.8,7.84,23905
2020-11-18 12:02:00-05:00,7.82,7.84,7.8,7.8118,21247
2020-11-18 12:04:00-05:00,7.82,7.857,7.8,7.8499,74066
2020-11-18 12:06:00-05:00,7.85,7.86,7.8,7.8497,31577
2020-11-18 12:08:00-05:00,7.843,7.85,7.8,7.8107,30959
2020-11-18 12:10:00-05:00,7.81,7.88,7.8,7.84,39551
2020-11-18 12:12:00-05:00,7.83,7.8399,7.81,7.825,22634
2020-11-18 12:14:00-05:00,7.82,7.82,7.75,7.75,77035
2020-11-18 12:16:00-05:00,7.755,7.76,7.64,7.6899,147169
2020-11-18 12:18:00-05:00,7.685,7.69,7.61,7.6599,54181
2020-11-18 12:20:00-05:00,7.63,7.74,7.63,7.7,51593
2020-11-18 12:22:00-05:00,7.695,7.72,7.65,7.6699,30718
2020-11-18 12:24:00-05:00,7.665,7.7,7.65,7.67,15241
2020-11-18 12:26:00-05:00,7.6654,7.7,7.62,7.6218,53802
2020-11-18 12:28:00-05:00,7.63,7.64,7.56,7.57,114304
2020-11-18 12:30:00-05:00,7.57,7.64,7.54,7.6,80559
2020-11-18 12:32:00-05:00,7.62,7.62,7.53,7.575,82050
2020-11-18 12:34:00-05:00,7.5799,7.65,7.5799,7.64,66388
2020-11-18 12:36:00-05:00,7.64,7.74,7.64,7.74,82177
2020-11-18 12:38:00-05:00,7.7296,7.75,7.61,7.66,47424
2020-11-18 12:40:00-05:00,7.6598,7.7,7.62,7.7,43067
2020-11-18 12:42:00-05:00,7.69,7.71,7.6556,7.6754,30401
2020-11-18 12:44:00-05:00,7.69,7.7301,7.65,7.72,31954
2020-11-18 12:46:00-05:00,7.73,7.75,7.71,7.7101,55307
2020-11-18 12:48:00-05:00,7.728,7.74,7.7,7.73,23417
2020-11-18 12:50:00-05:00,7.72,7.7299,7.69,7.69,23969
2020-11-18 12:52:00-05:00,7.69,7.71,7.68,7.68,16024
2020-11-18 12:54:00-05:00,7.66,7.7,7.6513,7.69,44820
2020-11-18 12:56:00-05:00,7.675,7.69,7.67,7.69,22626
2020-11-18 12:58:00-05:00,7.69,7.6998,7.64,7.64,18081
2020-11-18 13:00:00-05:00,7.6495,7.65,7.61,7.63,33756
2020-11-18 13:02:00-05:00,7.6323,7.67,7.62,7.6434,24932
2020-11-18 13:04:00-05:00,7.64,7.68,7.63,7.67,16074
2020-11-18 13:06:00-05:00,7.665,7.69,7.64,7.67,25170
2020-11-18 13:08:00-05:00,7.68,7.68,7.64,7.645,34396
2020-11-18 13:10:00-05:00,7.645,7.6487,7.56,7.59,93191
2020-11-18 13:12:00-05:00,7.58,7.6539,7.55,7.59,67423
2020-11-18 13:14:00-05:00,7.59,7.65,7.5883,7.605,44031
2020-11-18 13:16:00-05:00,7.6,7.65,7.58,7.59,45199
2020-11-18 13:18:00-05:00,7.584,7.584,7.51,7.5301,84325
2020-11-18 13:20:00-05:00,7.53,7.55,7.32,7.371,230515
2020-11-18 13:22:00-05:00,7.37,7.39,7.3,7.3301,196173
2020-11-18 13:24:00-05:00,7.339,7.3399,7.17,7.2076,194952
2020-11-18 13:26:00-05:00,7.2,7.29,7.19,7.2288,188014
2020-11-18 13:28:00-05:00,7.23,7.25,7.19,7.2001,120549
2020-11-18 13:30:00-05:00,7.2099,7.22,7.0,7.0246,342894
2020-11-18 13:32:00-05:00,7.01,7.05,6.92,6.955,325933
2020-11-18 13:34:00-05:00,6.955,7.04,6.91,7.01,307831
2020-11-18 13:36:00-05:00,7.0,7.11,6.96,7.09,227922
2020-11-18 13:38:00-05:00,7.0801,7.19,7.0,7.1102,201683
2020-11-18 13:40:00-05:00,7.125,7.17,7.06,7.165,68696
2020-11-18 13:42:00-05:00,7.17,7.2,7.09,7.0978,106481
2020-11-18 13:44:00-05:00,7.12,7.14,7.1001,7.12,37032
2020-11-18 13:46:00-05:00,7.1137,7.12,6.96,6.9864,118205
2020-11-18 13:48:00-05:00,6.985,7.02,6.9,6.9185,155555
2020-11-18 13:50:00-05:00,6.93,6.97,6.9,6.96,115445
2020-11-18 13:52:00-05:00,6.95,6.98,6.9,6.94,134127
2020-11-18 13:54:00-05:00,6.95,6.97,6.75,6.78,223061
2020-11-18 13:56:00-05:00,6.79,6.86,6.63,6.6928,236090
2020-11-18 13:58:00-05:00,6.6702,6.77,6.63,6.7297,265458
2020-11-18 14:00:00-05:00,6.73,6.87,6.7,6.8299,199841
2020-11-18 14:02:00-05:00,6.83,6.85,6.75,6.8272,109960
2020-11-18 14:04:00-05:00,6.81,6.84,6.71,6.75,96236
2020-11-18 14:06:00-05:00,6.756,6.8,6.72,6.735,59648
2020-11-18 14:08:00-05:00,6.74,6.82,6.73,6.7999,55350
2020-11-18 14:10:00-05:00,6.8,6.84,6.77,6.82,79573
2020-11-18 14:12:00-05:00,6.815,6.85,6.73,6.79,106294
2020-11-18 14:14:00-05:00,6.7748,6.79,6.72,6.77,49711
2020-11-18 14:16:00-05:00,6.77,6.81,6.73,6.75,56323
2020-11-18 14:18:00-05:00,6.7432,6.8,6.74,6.78,36379
2020-11-18 14:20:00-05:00,6.7941,6.8,6.73,6.785,40427
2020-11-18 14:22:00-05:00,6.785,6.81,6.77,6.78,58077
2020-11-18 14:24:00-05:00,6.78,6.8,6.75,6.75,81995
2020-11-18 14:26:00-05:00,6.7623,6.78,6.72,6.73,52298
2020-11-18 14:28:00-05:00,6.74,6.74,6.66,6.665,164754
2020-11-18 14:30:00-05:00,6.67,6.67,6.53,6.63,220209
2020-11-18 14:32:00-05:00,6.63,6.7,6.56,6.56,91057
2020-11-18 14:34:00-05:00,6.5702,6.65,6.55,6.56,100441
2020-11-18 14:36:00-05:00,6.58,6.63,6.58,6.59,64999
2020-11-18 14:38:00-05:00,6.5801,6.64,6.5801,6.63,58401
2020-11-18 14:40:00-05:00,6.63,6.66,6.6,6.625,52008
2020-11-18 14:42:00-05:00,6.6101,6.64,6.5,6.54,99532
2020-11-18 14:44:00-05:00,6.54,6.56,6.44,6.45,207761
2020-11-18 14:46:00-05:00,6.4501,6.51,6.44,6.4856,117800
2020-11-18 14:48:00-05:00,6.48,6.48,6.2814,6.2814,235214
2020-11-18 14:50:00-05:00,6.3,6.44,6.23,6.4001,319612
2020-11-18 14:52:00-05:00,6.38,6.6,6.32,6.56,251076
2020-11-18 14:54:00-05:00,6.56,6.6,6.5,6.52,142028
2020-11-18 14:56:00-05:00,6.525,6.55,6.495,6.4999,97356
2020-11-18 14:58:00-05:00,6.5,6.5,6.43,6.44,43124
2020-11-18 15:00:00-05:00,6.4301,6.4301,6.33,6.35,98735
2020-11-18 15:02:00-05:00,6.36,6.36,6.26,6.2928,112867
2020-11-18 15:04:00-05:00,6.305,6.3299,6.25,6.2601,97549
2020-11-18 15:06:00-05:00,6.2642,6.34,6.2623,6.32,73676
2020-11-18 15:08:00-05:00,6.32,6.44,6.31,6.388,108629
2020-11-18 15:10:00-05:00,6.38,6.41,6.34,6.38,73306
2020-11-18 15:12:00-05:00,6.39,6.4,6.3,6.315,54482
2020-11-18 15:14:00-05:00,6.315,6.34,6.3,6.3363,40962
2020-11-18 15:16:00-05:00,6.3387,6.35,6.31,6.3165,57017
2020-11-18 15:18:00-05:00,6.32,6.32,6.25,6.265,82850
2020-11-18 15:20:00-05:00,6.28,6.28,6.2,6.2372,116965
2020-11-18 15:22:00-05:00,6.23,6.3,6.2181,6.27,103568
2020-11-18 15:24:00-05:00,6.2787,6.3,6.26,6.3,42125
2020-11-18 15:26:00-05:00,6.3,6.33,6.28,6.285,80358
2020-11-18 15:28:00-05:00,6.2754,6.3,6.23,6.29,61963
2020-11-18 15:30:00-05:00,6.285,6.29,6.25,6.27,36594
2020-11-18 15:32:00-05:00,6.27,6.27,6.1901,6.2207,105792
2020-11-18 15:34:00-05:00,6.2304,6.25,6.22,6.23,36804
2020-11-18 15:36:00-05:00,6.22,6.2313,6.2,6.21,51267
2020-11-18 15:38:00-05:00,6.21,6.22,6.19,6.2,48112
2020-11-18 15:40:00-05:00,6.2,6.24,6.17,6.175,247907
2020-11-18 15:42:00-05:00,6.175,6.2,6.08,6.09,230640
2020-11-18 15:44:00-05:00,6.1,6.12,6.01,6.0917,208879
2020-11-18 15:46:00-05:00,6.085,6.1,6.02,6.06,118965
2020-11-18 15:48:00-05:00,6.07,6.165,6.06,6.15,187909
2020-11-18 15:50:00-05:00,6.18,6.27,6.15,6.23,142364
2020-11-18 15:52:00-05:00,6.25,6.25,6.2,6.245,115436
2020-11-18 15:54:00-05:00,6.25,6.35,6.2401,6.3151,212998
2020-11-18 15:56:00-05:00,6.32,6.45,6.3,6.435,346707
2020-11-18 15:58:00-05:00,6.447,6.57,6.4,6.43,413600
2020-11-19 09:30:00-05:00,7.0,7.55,6.95,7.275,1838135
2020-11-19 09:32:00-05:00,7.275,7.44,7.23,7.42,368105
2020-11-19 09:34:00-05:00,7.4349,7.68,7.42,7.68,588576
2020-11-19 09:36:00-05:00,7.6699,7.9,7.56,7.58,965977
2020-11-19 09:38:00-05:00,7.59,7.66,7.38,7.45,590822
2020-11-19 09:40:00-05:00,7.46,7.66,7.46,7.6043,453813
2020-11-19 09:42:00-05:00,7.605,7.64,7.5,7.5359,282179
2020-11-19 09:44:00-05:00,7.54,7.57,7.26,7.3302,388893
2020-11-19 09:46:00-05:00,7.345,7.45,7.3,7.3,225381
2020-11-19 09:48:00-05:00,7.3,7.43,7.22,7.43,310331
2020-11-19 09:50:00-05:00,7.44,7.44,7.3,7.318,138938
