date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,8.66,8.66,8.66,8.66,0
2020-11-18 09:34:00-05:00,8.7073,8.74,8.68,8.68,1505
2020-11-18 09:36:00-05:00,8.78,8.85,8.78,8.85,2126
2020-11-18 09:38:00-05:00,8.78,8.78,8.73,8.7472,1418
2020-11-18 09:40:00-05:00,8.77,8.8,8.77,8.79,869
2020-11-18 09:46:00-05:00,8.7816,8.809,8.7816,8.809,2001
2020-11-18 09:48:00-05:00,8.75,8.75,8.7,8.7,5090
2020-11-18 09:50:00-05:00,8.7137,8.7137,8.7137,8.7137,1001
2020-11-18 09:52:00-05:00,8.7,8.7,8.7,8.7,1033
2020-11-18 09:54:00-05:00,8.7,8.7053,8.7,8.7001,3438
2020-11-18 09:58:00-05:00,8.72,8.73,8.72,8.73,1202
2020-11-18 10:00:00-05:00,8.7,8.7,8.7,8.7,2707
2020-11-18 10:02:00-05:00,8.72,8.735,8.72,8.735,712
2020-11-18 10:04:00-05:00,8.72,8.73,8.715,8.715,528
2020-11-18 10:06:00-05:00,8.73,8.73,8.72,8.73,1127
2020-11-18 10:08:00-05:00,8.7499,8.7499,8.7499,8.7499,120
2020-11-18 10:10:00-05:00,8.7301,8.7301,8.7301,8.7301,129
2020-11-18 10:12:00-05:00,8.7399,8.7399,8.72,8.72,1112
2020-11-18 10:14:00-05:00,8.72,8.73,8.72,8.73,500
2020-11-18 10:16:00-05:00,8.73,8.73,8.73,8.73,611
2020-11-18 10:18:00-05:00,8.719,8.7314,8.719,8.7314,573
2020-11-18 10:20:00-05:00,8.73,8.73,8.72,8.72,3239
2020-11-18 10:22:00-05:00,8.71,8.71,8.71,8.71,580
2020-11-18 10:24:00-05:00,8.7,8.7,8.7,8.7,1547
2020-11-18 10:26:00-05:00,8.6893,8.6893,8.6893,8.6893,2100
2020-11-18 10:30:00-05:00,8.66,8.66,8.65,8.65,351
2020-11-18 10:32:00-05:00,8.655,8.66,8.655,8.66,4300
2020-11-18 10:34:00-05:00,8.645,8.645,8.645,8.645,120
2020-11-18 10:36:00-05:00,8.6493,8.71,8.6493,8.6976,6413
2020-11-18 10:40:00-05:00,8.705,8.7063,8.705,8.7063,1119
2020-11-18 10:42:00-05:00,8.7,8.7,8.699,8.699,300
2020-11-18 10:44:00-05:00,8.695,8.72,8.695,8.71,734
2020-11-18 10:46:00-05:00,8.7,8.7,8.7,8.7,152
2020-11-18 10:48:00-05:00,8.71,8.72,8.71,8.72,2541
2020-11-18 10:50:00-05:00,8.75,8.75,8.735,8.746,1920
2020-11-18 10:52:00-05:00,8.77,8.77,8.76,8.77,829
2020-11-18 10:54:00-05:00,8.75,8.75,8.75,8.75,291
2020-11-18 10:56:00-05:00,8.75,8.75,8.72,8.75,2726
2020-11-18 11:00:00-05:00,8.77,8.77,8.77,8.77,604
2020-11-18 11:02:00-05:00,8.7999,8.7999,8.78,8.78,2627
2020-11-18 11:06:00-05:00,8.78,8.78,8.78,8.78,134
2020-11-18 11:14:00-05:00,8.76,8.76,8.75,8.75,983
2020-11-18 11:16:00-05:00,8.71,8.71,8.71,8.71,107
2020-11-18 11:18:00-05:00,8.73,8.73,8.73,8.73,257
2020-11-18 11:20:00-05:00,8.74,8.74,8.74,8.74,298
2020-11-18 11:24:00-05:00,8.74,8.76,8.74,8.75,1516
2020-11-18 11:26:00-05:00,8.7733,8.78,8.7733,8.78,1040
2020-11-18 11:36:00-05:00,8.785,8.785,8.785,8.785,101
2020-11-18 11:38:00-05:00,8.78,8.78,8.77,8.77,301
2020-11-18 11:42:00-05:00,8.76,8.76,8.76,8.76,374
2020-11-18 11:44:00-05:00,8.7613,8.7613,8.7613,8.7613,1054
2020-11-18 11:48:00-05:00,8.765,8.77,8.76,8.77,845
2020-11-18 11:50:00-05:00,8.7701,8.7701,8.7701,8.7701,2134
2020-11-18 11:52:00-05:00,8.77,8.78,8.77,8.78,347
2020-11-18 11:54:00-05:00,8.7862,8.7862,8.74,8.74,2266
2020-11-18 12:02:00-05:00,8.75,8.75,8.75,8.75,219
2020-11-18 12:04:00-05:00,8.76,8.76,8.76,8.76,524
2020-11-18 12:10:00-05:00,8.77,8.77,8.77,8.77,102
2020-11-18 12:12:00-05:00,8.77,8.77,8.76,8.76,1085
2020-11-18 12:14:00-05:00,8.765,8.77,8.765,8.77,441
2020-11-18 12:16:00-05:00,8.78,8.78,8.78,8.78,291
2020-11-18 12:18:00-05:00,8.78,8.78,8.78,8.78,493
2020-11-18 12:20:00-05:00,8.78,8.78,8.78,8.78,134
2020-11-18 12:22:00-05:00,8.79,8.82,8.79,8.82,2849
2020-11-18 12:30:00-05:00,8.83,8.83,8.79,8.79,5068
2020-11-18 12:34:00-05:00,8.79,8.79,8.77,8.78,1375
2020-11-18 12:36:00-05:00,8.79,8.79,8.79,8.79,111
2020-11-18 12:38:00-05:00,8.81,8.81,8.81,8.81,479
2020-11-18 12:46:00-05:00,8.79,8.79,8.79,8.79,431
2020-11-18 12:48:00-05:00,8.77,8.77,8.77,8.77,276
2020-11-18 12:50:00-05:00,8.77,8.77,8.77,8.77,602
2020-11-18 12:52:00-05:00,8.77,8.77,8.77,8.77,204
2020-11-18 12:54:00-05:00,8.77,8.77,8.77,8.77,601
2020-11-18 12:56:00-05:00,8.78,8.795,8.78,8.795,743
2020-11-18 13:00:00-05:00,8.7954,8.7954,8.7954,8.7954,2000
2020-11-18 13:02:00-05:00,8.805,8.805,8.805,8.805,109
2020-11-18 13:04:00-05:00,8.8,8.8,8.79,8.8,842
2020-11-18 13:14:00-05:00,8.8,8.8,8.8,8.8,102
2020-11-18 13:16:00-05:00,8.79,8.79,8.79,8.79,100
2020-11-18 13:18:00-05:00,8.78,8.78,8.78,8.78,641
2020-11-18 13:22:00-05:00,8.79,8.81,8.79,8.81,1067
2020-11-18 13:30:00-05:00,8.8,8.8,8.78,8.78,800
2020-11-18 13:32:00-05:00,8.8,8.8,8.8,8.8,202
