date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,66.64,66.64,65.81,66.02,0
2020-11-18 09:32:00-05:00,66.33,66.33,66.035,66.035,2920
2020-11-18 09:34:00-05:00,66.05,66.39,65.7,65.88,5080
2020-11-18 09:36:00-05:00,65.98,66.48,65.945,66.46,1462
2020-11-18 09:38:00-05:00,66.21,66.21,65.97,65.97,619
2020-11-18 09:40:00-05:00,65.73,66.06,65.73,66.03,604
2020-11-18 09:44:00-05:00,65.74,66.03,65.56,65.98,2224
2020-11-18 09:46:00-05:00,66.07,66.17,65.895,66.08,3120
2020-11-18 09:48:00-05:00,66.15,66.2,65.86,66.05,6853
2020-11-18 09:50:00-05:00,66.045,66.21,66.045,66.21,256
2020-11-18 09:52:00-05:00,66.16,66.16,66.16,66.16,205
2020-11-18 09:54:00-05:00,65.99,66.045,65.99,65.99,507
2020-11-18 09:56:00-05:00,65.99,66.0294,65.95,65.99,552
2020-11-18 09:58:00-05:00,65.99,66.055,65.99,65.99,543
2020-11-18 10:00:00-05:00,65.99,65.99,65.78,65.83,2051
2020-11-18 10:02:00-05:00,65.82,65.82,65.785,65.785,581
2020-11-18 10:04:00-05:00,65.785,65.785,65.785,65.785,368
2020-11-18 10:06:00-05:00,65.785,65.785,65.785,65.785,574
2020-11-18 10:08:00-05:00,65.735,65.8,65.705,65.8,847
2020-11-18 10:10:00-05:00,65.705,65.8,65.62,65.79,1313
2020-11-18 10:12:00-05:00,65.87,65.87,65.78,65.78,1347
2020-11-18 10:14:00-05:00,65.9,65.9,65.84,65.84,774
2020-11-18 10:16:00-05:00,65.92,65.92,65.91,65.91,325
2020-11-18 10:18:00-05:00,65.79,65.95,65.79,65.95,611
2020-11-18 10:20:00-05:00,65.95,66.0,65.87,65.87,1012
2020-11-18 10:22:00-05:00,65.98,65.98,65.98,65.98,435
2020-11-18 10:24:00-05:00,65.83,65.88,65.83,65.88,720
2020-11-18 10:26:00-05:00,65.89,65.89,65.89,65.89,366
2020-11-18 10:28:00-05:00,65.89,65.89,65.89,65.89,127
2020-11-18 10:30:00-05:00,65.87,65.93,65.87,65.92,2609
2020-11-18 10:34:00-05:00,65.99,65.99,65.99,65.99,306
2020-11-18 10:36:00-05:00,65.95,65.95,65.95,65.95,163
2020-11-18 10:38:00-05:00,65.89,65.945,65.8475,65.8475,2025
2020-11-18 10:40:00-05:00,65.98,66.02,65.91,65.93,1094
2020-11-18 10:42:00-05:00,65.98,65.98,65.98,65.98,309
2020-11-18 10:44:00-05:00,65.89,65.96,65.89,65.96,1228
2020-11-18 10:46:00-05:00,65.99,66.0,65.91,66.0,2132
2020-11-18 10:48:00-05:00,66.01,66.01,66.01,66.01,118
2020-11-18 10:50:00-05:00,66.06,66.07,66.03,66.065,1230
