date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,69.59,69.59,69.59,69.59,0
2020-11-18 09:32:00-05:00,69.67,69.68,69.47,69.68,512
2020-11-18 09:34:00-05:00,69.68,70.56,69.68,70.1,5859
2020-11-18 09:36:00-05:00,69.685,70.02,69.665,70.02,1863
2020-11-18 09:42:00-05:00,69.625,69.625,69.625,69.625,281
2020-11-18 09:48:00-05:00,69.605,69.93,69.605,69.93,348
2020-11-18 09:56:00-05:00,69.575,69.575,69.575,69.575,201
2020-11-18 10:04:00-05:00,69.61,69.735,69.6,69.735,691
2020-11-18 10:06:00-05:00,69.6496,69.6496,69.6496,69.6496,204
2020-11-18 10:10:00-05:00,69.47,69.47,69.47,69.47,280
2020-11-18 10:14:00-05:00,69.45,69.45,69.45,69.45,462
2020-11-18 10:18:00-05:00,69.25,69.25,68.9741,68.9741,1897
2020-11-18 10:26:00-05:00,69.25,69.25,69.25,69.25,190
2020-11-18 10:30:00-05:00,69.0,69.0,69.0,69.0,129
2020-11-18 10:34:00-05:00,69.09,69.09,69.09,69.09,108
2020-11-18 10:38:00-05:00,69.12,69.12,68.85,68.85,1765
2020-11-18 10:42:00-05:00,68.77,68.86,68.77,68.86,2455
2020-11-18 10:48:00-05:00,68.77,68.77,68.77,68.77,104
2020-11-18 10:52:00-05:00,68.86,68.9552,68.86,68.9552,973
2020-11-18 10:54:00-05:00,68.99,68.99,68.99,68.99,101
2020-11-18 10:58:00-05:00,68.91,68.91,68.91,68.91,257
2020-11-18 11:02:00-05:00,68.99,69.0,68.96,68.96,1178
2020-11-18 11:04:00-05:00,69.01,69.01,69.01,69.01,185
2020-11-18 11:12:00-05:00,68.99,69.0768,68.95,69.0768,3385
2020-11-18 11:14:00-05:00,68.95,68.95,68.92,68.92,499
2020-11-18 11:18:00-05:00,68.92,68.92,68.77,68.77,582
2020-11-18 11:22:00-05:00,68.76,68.76,68.76,68.76,197
2020-11-18 11:24:00-05:00,68.62,68.75,68.62,68.75,886
2020-11-18 11:26:00-05:00,68.78,68.78,68.78,68.78,336
2020-11-18 11:34:00-05:00,68.85,68.935,68.85,68.935,1016
2020-11-18 11:36:00-05:00,68.95,68.95,68.95,68.95,176
2020-11-18 11:38:00-05:00,68.93,68.93,68.69,68.7218,777
2020-11-18 11:42:00-05:00,68.63,68.74,68.63,68.74,638
