date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,2.67,2.695,2.6316,2.68,7672
2020-11-18 09:32:00-05:00,2.67,2.69,2.67,2.69,1338
2020-11-18 09:34:00-05:00,2.69,2.75,2.69,2.72,8274
2020-11-18 09:36:00-05:00,2.7,2.715,2.7,2.7,1833
2020-11-18 09:38:00-05:00,2.7,2.71,2.69,2.71,1765
2020-11-18 09:40:00-05:00,2.71,2.71,2.692,2.71,4020
2020-11-18 09:42:00-05:00,2.71,2.71,2.65,2.67,22101
2020-11-18 09:44:00-05:00,2.685,2.685,2.67,2.6759,817
2020-11-18 09:46:00-05:00,2.6823,2.6823,2.68,2.68,761
2020-11-18 09:50:00-05:00,2.7,2.7,2.675,2.69,5899
2020-11-18 09:52:00-05:00,2.69,2.69,2.68,2.68,5446
2020-11-18 09:54:00-05:00,2.69,2.7,2.69,2.7,6421
2020-11-18 09:56:00-05:00,2.7,2.71,2.7,2.71,3609
2020-11-18 09:58:00-05:00,2.71,2.72,2.71,2.72,1755
2020-11-18 10:00:00-05:00,2.7001,2.75,2.7001,2.735,20825
2020-11-18 10:02:00-05:00,2.74,2.76,2.73,2.76,36688
2020-11-18 10:04:00-05:00,2.76,2.7798,2.755,2.755,8552
2020-11-18 10:06:00-05:00,2.76,2.76,2.72,2.7233,12961
2020-11-18 10:10:00-05:00,2.725,2.7368,2.725,2.725,1455
2020-11-18 10:12:00-05:00,2.74,2.78,2.74,2.78,10102
2020-11-18 10:14:00-05:00,2.78,2.79,2.77,2.77,3002
2020-11-18 10:16:00-05:00,2.78,2.8,2.78,2.7824,8941
2020-11-18 10:18:00-05:00,2.8,2.8,2.7807,2.7807,3489
2020-11-18 10:20:00-05:00,2.7801,2.81,2.7801,2.81,15195
2020-11-18 10:22:00-05:00,2.81,2.82,2.8087,2.8199,12169
2020-11-18 10:24:00-05:00,2.82,2.8269,2.8,2.81,11744
2020-11-18 10:26:00-05:00,2.81,2.81,2.7821,2.7821,7760
2020-11-18 10:28:00-05:00,2.7965,2.8,2.78,2.79,14898
2020-11-18 10:30:00-05:00,2.8,2.8,2.77,2.77,4781
2020-11-18 10:32:00-05:00,2.77,2.77,2.77,2.77,927
2020-11-18 10:34:00-05:00,2.76,2.7765,2.76,2.77,795
2020-11-18 10:36:00-05:00,2.76,2.7765,2.76,2.7765,981
2020-11-18 10:38:00-05:00,2.77,2.77,2.77,2.77,210
2020-11-18 10:40:00-05:00,2.77,2.78,2.76,2.77,2074
2020-11-18 10:42:00-05:00,2.77,2.775,2.76,2.775,6118
2020-11-18 10:44:00-05:00,2.775,2.785,2.775,2.785,5000
2020-11-18 10:46:00-05:00,2.7857,2.81,2.7857,2.8041,7618
2020-11-18 10:48:00-05:00,2.805,2.81,2.8,2.8,3644
2020-11-18 10:52:00-05:00,2.805,2.805,2.8,2.805,1298
2020-11-18 10:54:00-05:00,2.7933,2.7933,2.7933,2.7933,12818
2020-11-18 10:56:00-05:00,2.7942,2.7942,2.79,2.79,1405
2020-11-18 10:58:00-05:00,2.79,2.79,2.79,2.79,100
2020-11-18 11:00:00-05:00,2.795,2.83,2.7915,2.83,11431
2020-11-18 11:02:00-05:00,2.8291,2.8399,2.8201,2.8201,7418
2020-11-18 11:04:00-05:00,2.82,2.83,2.82,2.82,749
2020-11-18 11:06:00-05:00,2.82,2.82,2.815,2.815,1720
2020-11-18 11:08:00-05:00,2.81,2.81,2.81,2.81,509
2020-11-18 11:10:00-05:00,2.82,2.835,2.8199,2.8313,5587
2020-11-18 11:12:00-05:00,2.83,2.83,2.83,2.83,315
2020-11-18 11:14:00-05:00,2.83,2.8309,2.81,2.82,20985
2020-11-18 11:16:00-05:00,2.815,2.82,2.8138,2.8138,4872
2020-11-18 11:18:00-05:00,2.815,2.82,2.81,2.81,2355
2020-11-18 11:20:00-05:00,2.8101,2.8141,2.81,2.81,2883
2020-11-18 11:22:00-05:00,2.8,2.8,2.8,2.8,4155
2020-11-18 11:24:00-05:00,2.8,2.8,2.79,2.7982,19162
2020-11-18 11:26:00-05:00,2.8,2.805,2.7948,2.8,8590
2020-11-18 11:28:00-05:00,2.7999,2.8,2.7909,2.8,6260
2020-11-18 11:30:00-05:00,2.7907,2.796,2.79,2.79,2336
2020-11-18 11:32:00-05:00,2.795,2.8,2.795,2.8,9229
2020-11-18 11:34:00-05:00,2.8,2.83,2.8,2.82,5219
2020-11-18 11:38:00-05:00,2.819,2.819,2.81,2.81,1821
2020-11-18 11:40:00-05:00,2.81,2.8193,2.81,2.8193,2079
2020-11-18 11:42:00-05:00,2.81,2.81,2.8,2.8,2308
2020-11-18 11:44:00-05:00,2.8,2.82,2.795,2.82,12149
2020-11-18 11:46:00-05:00,2.82,2.8224,2.82,2.82,1336
2020-11-18 11:48:00-05:00,2.8101,2.8101,2.8101,2.8101,1620
2020-11-18 11:50:00-05:00,2.82,2.82,2.815,2.82,2787
2020-11-18 11:52:00-05:00,2.825,2.825,2.8206,2.8206,321
2020-11-18 11:54:00-05:00,2.82,2.82,2.8152,2.8199,1878
2020-11-18 11:56:00-05:00,2.82,2.835,2.82,2.835,3799
2020-11-18 11:58:00-05:00,2.83,2.835,2.83,2.835,2171
2020-11-18 12:00:00-05:00,2.8399,2.8399,2.835,2.835,766
2020-11-18 12:02:00-05:00,2.83,2.83,2.83,2.83,377
2020-11-18 12:04:00-05:00,2.835,2.87,2.83,2.8656,26782
2020-11-18 12:06:00-05:00,2.865,2.8662,2.8601,2.8662,2257
2020-11-18 12:08:00-05:00,2.8641,2.8641,2.8641,2.8641,357
2020-11-18 12:10:00-05:00,2.86,2.865,2.86,2.86,1382
2020-11-18 12:12:00-05:00,2.865,2.875,2.86,2.875,33461
2020-11-18 12:14:00-05:00,2.875,2.875,2.86,2.86,3355
2020-11-18 12:16:00-05:00,2.8639,2.8639,2.8639,2.8639,167
2020-11-18 12:18:00-05:00,2.86,2.86,2.84,2.84,9649
2020-11-18 12:20:00-05:00,2.84,2.85,2.84,2.85,13589
2020-11-18 12:22:00-05:00,2.85,2.85,2.85,2.85,709
2020-11-18 12:24:00-05:00,2.85,2.86,2.85,2.86,3640
2020-11-18 12:26:00-05:00,2.855,2.855,2.855,2.855,288
