date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,20.87,20.87,20.73,20.73,100
2020-11-18 09:32:00-05:00,20.865,20.865,20.865,20.865,187
2020-11-18 09:34:00-05:00,20.87,21.61,20.83,21.6,4372
2020-11-18 09:40:00-05:00,21.1925,21.28,21.1925,21.28,460
2020-11-18 09:46:00-05:00,21.23,21.23,21.23,21.23,108
2020-11-18 09:54:00-05:00,21.13,21.13,21.13,21.13,126
2020-11-18 09:58:00-05:00,21.13,21.13,20.96,20.96,641
2020-11-18 10:02:00-05:00,21.06,21.06,21.05,21.05,551
2020-11-18 10:08:00-05:00,20.94,20.94,20.94,20.94,254
2020-11-18 10:10:00-05:00,20.93,20.93,20.93,20.93,329
2020-11-18 10:14:00-05:00,20.9158,20.9158,20.9158,20.9158,1009
2020-11-18 10:22:00-05:00,20.99,21.02,20.99,21.02,700
2020-11-18 10:28:00-05:00,20.99,20.99,20.98,20.98,793
2020-11-18 10:36:00-05:00,20.9,20.9,20.9,20.9,305
2020-11-18 10:38:00-05:00,20.94,20.94,20.94,20.94,255
2020-11-18 10:40:00-05:00,20.82,20.82,20.82,20.82,105
2020-11-18 10:42:00-05:00,20.8431,20.8431,20.8431,20.8431,588
2020-11-18 11:04:00-05:00,20.845,20.845,20.845,20.845,139
2020-11-18 11:08:00-05:00,20.75,20.75,20.75,20.75,101
2020-11-18 11:10:00-05:00,20.8582,20.8582,20.75,20.75,803
2020-11-18 11:30:00-05:00,20.67,20.78,20.645,20.645,414
2020-11-18 11:32:00-05:00,20.62,20.62,20.53,20.6,417
2020-11-18 11:36:00-05:00,20.67,20.67,20.67,20.67,190
2020-11-18 11:40:00-05:00,20.55,20.55,20.55,20.55,100
2020-11-18 11:42:00-05:00,20.55,20.55,20.55,20.55,254
2020-11-18 11:54:00-05:00,20.76,20.76,20.76,20.76,250
2020-11-18 12:02:00-05:00,20.59,20.59,20.59,20.59,100
2020-11-18 12:16:00-05:00,20.61,20.61,20.61,20.61,300
2020-11-18 12:18:00-05:00,20.54,20.54,20.54,20.54,200
2020-11-18 12:20:00-05:00,20.44,20.45,20.44,20.45,208
2020-11-18 12:24:00-05:00,20.44,20.44,20.44,20.44,422
2020-11-18 12:26:00-05:00,20.395,20.395,20.395,20.395,728
2020-11-18 12:28:00-05:00,20.44,20.44,20.35,20.35,437
2020-11-18 12:32:00-05:00,20.5345,20.5345,20.5345,20.5345,499
2020-11-18 12:44:00-05:00,20.595,20.595,20.43,20.43,1066
2020-11-18 12:46:00-05:00,20.4507,20.4507,20.4507,20.4507,1027
2020-11-18 12:48:00-05:00,20.43,20.43,20.43,20.43,114
2020-11-18 12:52:00-05:00,20.46,20.51,20.43,20.44,451
2020-11-18 12:54:00-05:00,20.43,20.43,20.43,20.43,104
2020-11-18 12:58:00-05:00,20.5499,20.5499,20.43,20.43,872
2020-11-18 13:00:00-05:00,20.45,20.45,20.45,20.45,186
2020-11-18 13:10:00-05:00,20.49,20.51,20.42,20.42,677
2020-11-18 13:14:00-05:00,20.43,20.43,20.42,20.42,317
2020-11-18 13:30:00-05:00,20.5,20.56,20.43,20.43,300
2020-11-18 13:34:00-05:00,20.5,20.5,20.5,20.5,134
2020-11-18 13:38:00-05:00,20.5146,20.5146,20.44,20.44,901
2020-11-18 13:44:00-05:00,20.4,20.41,20.37,20.38,1044
2020-11-18 13:46:00-05:00,20.35,20.35,20.35,20.35,127
2020-11-18 13:48:00-05:00,20.35,20.35,20.35,20.35,693
2020-11-18 13:50:00-05:00,20.35,20.35,20.35,20.35,200
2020-11-18 13:52:00-05:00,20.33,20.33,20.33,20.33,207
2020-11-18 13:54:00-05:00,20.3,20.3,20.3,20.3,125
2020-11-18 13:58:00-05:00,20.28,20.28,20.28,20.28,307
2020-11-18 14:00:00-05:00,20.36,20.385,20.36,20.385,832
2020-11-18 14:04:00-05:00,20.395,20.395,20.395,20.395,291
2020-11-18 14:12:00-05:00,20.34,20.34,20.33,20.33,331
2020-11-18 14:14:00-05:00,20.4,20.43,20.36,20.36,756
2020-11-18 14:38:00-05:00,20.26,20.26,20.19,20.19,655
2020-11-18 14:40:00-05:00,20.29,20.29,20.29,20.29,100
2020-11-18 14:42:00-05:00,20.19,20.19,20.19,20.19,406
2020-11-18 14:44:00-05:00,20.235,20.235,20.235,20.235,586
2020-11-18 14:46:00-05:00,20.19,20.2,20.13,20.13,746
2020-11-18 14:48:00-05:00,20.2,20.2,20.2,20.2,525
2020-11-18 14:50:00-05:00,20.14,20.14,20.14,20.14,207
2020-11-18 14:54:00-05:00,20.14,20.1971,20.14,20.1971,721
2020-11-18 14:56:00-05:00,20.18,20.18,20.18,20.18,101
2020-11-18 14:58:00-05:00,20.16,20.19,20.16,20.19,492
2020-11-18 15:00:00-05:00,20.12,20.12,20.12,20.12,201
2020-11-18 15:02:00-05:00,20.12,20.15,20.11,20.11,1968
2020-11-18 15:08:00-05:00,20.16,20.16,20.15,20.15,333
2020-11-18 15:10:00-05:00,20.15,20.15,20.15,20.15,112
2020-11-18 15:12:00-05:00,20.16,20.16,20.15,20.15,446
2020-11-18 15:16:00-05:00,20.2,20.2,20.2,20.2,873
2020-11-18 15:30:00-05:00,20.11,20.11,20.11,20.11,346
2020-11-18 15:34:00-05:00,20.02,20.14,20.02,20.14,871
2020-11-18 15:38:00-05:00,20.16,20.16,20.16,20.16,272
2020-11-18 15:40:00-05:00,20.08,20.08,20.08,20.08,196
2020-11-18 15:42:00-05:00,20.05,20.095,20.05,20.095,319
2020-11-18 15:44:00-05:00,20.02,20.1,20.02,20.1,251
2020-11-18 15:48:00-05:00,20.06,20.06,20.06,20.06,413
2020-11-18 15:50:00-05:00,20.05,20.05,20.05,20.05,309
2020-11-18 15:52:00-05:00,20.07,20.07,20.04,20.04,564
2020-11-18 15:56:00-05:00,19.99,20.01,19.98,19.98,982
2020-11-18 15:58:00-05:00,19.95,19.99,19.9,19.93,4470
2020-11-19 09:30:00-05:00,19.83,19.83,19.83,19.83,0
2020-11-19 09:34:00-05:00,19.93,19.93,19.92,19.92,449
2020-11-19 09:42:00-05:00,19.9337,19.9337,19.9337,19.9337,505
2020-11-19 09:48:00-05:00,19.984,19.984,19.984,19.984,1028
2020-11-19 09:50:00-05:00,19.99,20.05,19.99,20.05,301
2020-11-19 09:52:00-05:00,19.99,19.99,19.99,19.99,500
2020-11-19 09:54:00-05:00,20.11,20.11,20.11,20.11,119
2020-11-19 09:56:00-05:00,19.99,19.99,19.97,19.97,1451
2020-11-19 09:58:00-05:00,19.97,19.97,19.97,19.97,700
2020-11-19 10:00:00-05:00,19.97,19.97,19.97,19.97,108
2020-11-19 10:02:00-05:00,19.88,19.9,19.82,19.82,923
2020-11-19 10:04:00-05:00,19.87,19.87,19.87,19.87,165
