date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,5.99,6.1,5.99,6.0013,22118
2020-11-18 09:32:00-05:00,6.05,6.25,6.05,6.23,28577
2020-11-18 09:34:00-05:00,6.24,6.3,6.1886,6.2342,19695
2020-11-18 09:36:00-05:00,6.23,6.26,6.23,6.2522,7888
2020-11-18 09:38:00-05:00,6.2455,6.37,6.23,6.289,52528
2020-11-18 09:40:00-05:00,6.29,6.38,6.28,6.33,31467
2020-11-18 09:42:00-05:00,6.34,6.34,6.26,6.26,12038
2020-11-18 09:44:00-05:00,6.265,6.31,6.23,6.31,10495
2020-11-18 09:46:00-05:00,6.31,6.33,6.3022,6.31,7056
2020-11-18 09:48:00-05:00,6.3,6.32,6.27,6.29,4607
2020-11-18 09:50:00-05:00,6.2887,6.33,6.2887,6.32,6037
2020-11-18 09:52:00-05:00,6.31,6.31,6.255,6.255,7724
2020-11-18 09:54:00-05:00,6.25,6.28,6.25,6.26,3950
2020-11-18 09:56:00-05:00,6.2596,6.26,6.2,6.22,9399
2020-11-18 09:58:00-05:00,6.22,6.22,6.18,6.2,4721
2020-11-18 10:00:00-05:00,6.2129,6.2129,6.17,6.195,7420
2020-11-18 10:02:00-05:00,6.2155,6.2585,6.2155,6.245,9950
2020-11-18 10:04:00-05:00,6.2411,6.26,6.23,6.25,3638
2020-11-18 10:06:00-05:00,6.245,6.245,6.22,6.22,1204
2020-11-18 10:08:00-05:00,6.225,6.24,6.225,6.2395,3415
2020-11-18 10:10:00-05:00,6.24,6.265,6.24,6.265,1811
2020-11-18 10:12:00-05:00,6.2748,6.29,6.26,6.28,9052
2020-11-18 10:14:00-05:00,6.2722,6.2722,6.26,6.2675,2674
2020-11-18 10:16:00-05:00,6.26,6.28,6.26,6.2701,3008
2020-11-18 10:18:00-05:00,6.29,6.3,6.274,6.3,4025
2020-11-18 10:20:00-05:00,6.3,6.355,6.3,6.34,9598
2020-11-18 10:22:00-05:00,6.349,6.36,6.3222,6.33,26534
2020-11-18 10:24:00-05:00,6.33,6.33,6.31,6.32,3569
2020-11-18 10:26:00-05:00,6.32,6.33,6.3,6.325,8931
2020-11-18 10:28:00-05:00,6.32,6.34,6.3199,6.34,5878
2020-11-18 10:30:00-05:00,6.35,6.35,6.33,6.34,4770
2020-11-18 10:32:00-05:00,6.34,6.34,6.26,6.2801,39697
2020-11-18 10:34:00-05:00,6.28,6.285,6.27,6.27,2251
2020-11-18 10:36:00-05:00,6.27,6.2799,6.27,6.27,2880
2020-11-18 10:38:00-05:00,6.265,6.265,6.23,6.23,6063
2020-11-18 10:40:00-05:00,6.24,6.26,6.23,6.23,6062
2020-11-18 10:42:00-05:00,6.24,6.24,6.23,6.2325,1465
2020-11-18 10:44:00-05:00,6.22,6.22,6.22,6.22,201
2020-11-18 10:46:00-05:00,6.23,6.24,6.22,6.2223,1551
2020-11-18 10:48:00-05:00,6.225,6.23,6.21,6.2101,2995
2020-11-18 10:50:00-05:00,6.21,6.23,6.2,6.23,5201
2020-11-18 10:52:00-05:00,6.22,6.22,6.19,6.19,6235
2020-11-18 10:54:00-05:00,6.195,6.195,6.18,6.18,3796
2020-11-18 10:56:00-05:00,6.18,6.1831,6.17,6.17,4038
2020-11-18 10:58:00-05:00,6.178,6.18,6.1627,6.17,5306
2020-11-18 11:00:00-05:00,6.18,6.21,6.18,6.21,3897
2020-11-18 11:02:00-05:00,6.2,6.21,6.2,6.2076,978
2020-11-18 11:04:00-05:00,6.2,6.21,6.2,6.2,2150
2020-11-18 11:06:00-05:00,6.195,6.195,6.185,6.185,2113
2020-11-18 11:08:00-05:00,6.18,6.18,6.14,6.14,12273
2020-11-18 11:10:00-05:00,6.15,6.16,6.15,6.16,1820
2020-11-18 11:12:00-05:00,6.15,6.17,6.15,6.17,2315
2020-11-18 11:14:00-05:00,6.1593,6.1593,6.13,6.13,1232
