date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,22.29,22.4,22.29,22.3535,660
2020-11-18 09:32:00-05:00,22.315,22.4,22.18,22.37,12037
2020-11-18 09:34:00-05:00,22.32,22.46,22.3,22.46,26425
2020-11-18 09:36:00-05:00,22.47,22.6,22.46,22.55,9434
2020-11-18 09:38:00-05:00,22.57,22.67,22.57,22.67,3472
2020-11-18 09:40:00-05:00,22.6,22.62,22.54,22.595,2420
2020-11-18 09:42:00-05:00,22.62,22.67,22.4,22.41,4231
2020-11-18 09:44:00-05:00,22.54,22.6,22.34,22.6,14272
2020-11-18 09:46:00-05:00,22.5044,22.5606,22.5044,22.5606,1322
2020-11-18 09:48:00-05:00,22.49,22.5,22.38,22.38,2878
2020-11-18 09:50:00-05:00,22.38,22.42,22.21,22.345,5739
2020-11-18 09:52:00-05:00,22.3125,22.49,22.3125,22.4,45363
2020-11-18 09:54:00-05:00,22.42,22.53,22.24,22.47,43612
2020-11-18 09:56:00-05:00,22.47,22.56,22.36,22.46,10574
2020-11-18 09:58:00-05:00,22.415,22.415,22.4,22.4,331
2020-11-18 10:00:00-05:00,22.41,22.47,22.41,22.47,1901
2020-11-18 10:02:00-05:00,22.44,22.59,22.44,22.54,5338
2020-11-18 10:04:00-05:00,22.54,22.56,22.52,22.5599,2994
2020-11-18 10:06:00-05:00,22.53,22.53,22.425,22.425,8106
2020-11-18 10:08:00-05:00,22.4,22.47,22.4,22.44,5213
2020-11-18 10:10:00-05:00,22.435,22.56,22.435,22.555,3568
2020-11-18 10:12:00-05:00,22.545,22.545,22.46,22.46,1894
2020-11-18 10:14:00-05:00,22.5,22.52,22.4069,22.5,3362
2020-11-18 10:16:00-05:00,22.45,22.5,22.45,22.5,2675
2020-11-18 10:20:00-05:00,22.475,22.475,22.41,22.44,1952
2020-11-18 10:22:00-05:00,22.44,22.47,22.42,22.45,2291
2020-11-18 10:24:00-05:00,22.47,22.47,22.435,22.435,2079
2020-11-18 10:26:00-05:00,22.435,22.47,22.41,22.47,2311
2020-11-18 10:28:00-05:00,22.44,22.4837,22.42,22.4837,2334
2020-11-18 10:30:00-05:00,22.485,22.565,22.485,22.54,5472
2020-11-18 10:32:00-05:00,22.53,22.53,22.42,22.51,5240
2020-11-18 10:34:00-05:00,22.52,22.525,22.49,22.49,4046
2020-11-18 10:36:00-05:00,22.46,22.46,22.46,22.46,485
2020-11-18 10:38:00-05:00,22.48,22.54,22.48,22.535,2822
2020-11-18 10:40:00-05:00,22.49,22.56,22.49,22.56,1560
2020-11-18 10:42:00-05:00,22.56,22.56,22.56,22.56,297
2020-11-18 10:44:00-05:00,22.58,22.63,22.58,22.6011,4937
2020-11-18 10:46:00-05:00,22.585,22.61,22.58,22.61,2272
2020-11-18 10:48:00-05:00,22.64,22.72,22.64,22.69,5296
2020-11-18 10:50:00-05:00,22.68,22.68,22.63,22.655,1118
