date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,74.32,74.93,74.015,74.015,0
2020-11-18 09:32:00-05:00,74.17,74.56,74.17,74.56,398
2020-11-18 09:34:00-05:00,74.74,75.36,74.41,74.41,2117
2020-11-18 09:36:00-05:00,74.86,74.86,74.86,74.86,120
2020-11-18 09:40:00-05:00,74.53,74.75,74.53,74.75,638
2020-11-18 09:52:00-05:00,74.25,74.25,74.25,74.25,414
2020-11-18 09:56:00-05:00,74.16,74.16,74.16,74.16,311
2020-11-18 10:02:00-05:00,74.41,74.41,74.255,74.255,849
2020-11-18 10:04:00-05:00,74.255,74.305,74.255,74.305,454
2020-11-18 10:06:00-05:00,74.22,74.22,74.22,74.22,353
2020-11-18 10:12:00-05:00,74.32,74.37,74.32,74.37,377
2020-11-18 10:18:00-05:00,74.68,74.68,74.68,74.68,219
2020-11-18 10:22:00-05:00,74.625,74.625,74.625,74.625,312
2020-11-18 10:30:00-05:00,74.61,74.62,74.61,74.62,232
2020-11-18 10:38:00-05:00,74.615,74.615,74.615,74.615,102
2020-11-18 10:40:00-05:00,74.5,74.5,74.5,74.5,101
2020-11-18 10:42:00-05:00,74.56,74.56,74.5,74.5,499
2020-11-18 10:44:00-05:00,74.5,74.5,74.49,74.49,502
2020-11-18 10:50:00-05:00,74.52,74.52,74.52,74.52,327
2020-11-18 10:54:00-05:00,74.39,74.445,74.37,74.37,1218
2020-11-18 10:56:00-05:00,74.31,74.38,74.31,74.35,618
2020-11-18 10:58:00-05:00,74.36,74.36,74.36,74.36,100
2020-11-18 11:00:00-05:00,74.33,74.34,74.29,74.29,794
2020-11-18 11:02:00-05:00,74.43,74.465,74.42,74.465,1810
2020-11-18 11:04:00-05:00,74.51,74.51,74.51,74.51,534
2020-11-18 11:06:00-05:00,74.47,74.47,74.47,74.47,110
2020-11-18 11:08:00-05:00,74.53,74.53,74.39,74.39,1289
2020-11-18 11:12:00-05:00,74.52,74.595,74.44,74.44,1077
2020-11-18 11:14:00-05:00,74.48,74.5,74.34,74.34,1019
2020-11-18 11:18:00-05:00,74.54,74.54,74.54,74.54,845
2020-11-18 11:24:00-05:00,74.61,74.82,74.57,74.67,3089
2020-11-18 11:28:00-05:00,74.785,74.785,74.785,74.785,111
2020-11-18 11:30:00-05:00,74.785,74.785,74.785,74.785,104
2020-11-18 11:32:00-05:00,74.75,74.75,74.75,74.75,207
2020-11-18 11:36:00-05:00,74.79,74.79,74.79,74.79,440
2020-11-18 11:40:00-05:00,74.79,74.79,74.79,74.79,797
2020-11-18 11:42:00-05:00,74.79,74.79,74.65,74.65,1692
2020-11-18 11:44:00-05:00,74.74,74.75,74.705,74.705,1524
2020-11-18 11:46:00-05:00,74.66,74.66,74.66,74.66,617
2020-11-18 11:50:00-05:00,74.49,74.49,74.37,74.37,484
2020-11-18 11:52:00-05:00,74.37,74.37,74.37,74.37,1015
2020-11-18 11:54:00-05:00,74.51,74.66,74.51,74.66,422
2020-11-18 11:58:00-05:00,74.61,74.62,74.59,74.59,610
2020-11-18 12:02:00-05:00,74.67,74.67,74.67,74.67,108
2020-11-18 12:04:00-05:00,74.67,74.715,74.67,74.715,303
2020-11-18 12:06:00-05:00,74.715,74.715,74.715,74.715,283
2020-11-18 12:08:00-05:00,74.65,74.65,74.65,74.65,104
2020-11-18 12:10:00-05:00,74.94,74.94,74.94,74.94,214
2020-11-18 12:16:00-05:00,74.68,74.69,74.65,74.69,879
2020-11-18 12:18:00-05:00,74.6,74.6,74.59,74.59,721
2020-11-18 12:24:00-05:00,74.49,74.49,74.49,74.49,144
2020-11-18 12:28:00-05:00,74.57,74.62,74.57,74.57,1006
2020-11-18 12:32:00-05:00,74.57,74.57,74.5,74.5,3094
2020-11-18 12:34:00-05:00,74.44,74.44,74.44,74.44,1045
2020-11-18 12:38:00-05:00,74.5,74.5,74.49,74.49,745
2020-11-18 12:40:00-05:00,74.5,74.51,74.5,74.51,1113
2020-11-18 12:42:00-05:00,74.555,74.63,74.555,74.63,333
2020-11-18 12:44:00-05:00,74.555,74.6,74.555,74.6,244
2020-11-18 12:50:00-05:00,74.616,74.65,74.616,74.65,326
2020-11-18 12:52:00-05:00,74.65,74.69,74.645,74.645,496
2020-11-18 12:54:00-05:00,74.63,74.63,74.59,74.59,1087
2020-11-18 12:56:00-05:00,74.59,74.59,74.59,74.59,134
2020-11-18 12:58:00-05:00,74.5,74.54,74.5,74.54,428
2020-11-18 13:06:00-05:00,74.49,74.62,74.49,74.62,1011
2020-11-18 13:12:00-05:00,74.585,74.585,74.585,74.585,106
2020-11-18 13:14:00-05:00,74.66,74.66,74.64,74.64,250
2020-11-18 13:16:00-05:00,74.52,74.52,74.52,74.52,114
2020-11-18 13:18:00-05:00,74.5,74.58,74.5,74.58,301
2020-11-18 13:20:00-05:00,74.54,74.54,74.54,74.54,201
2020-11-18 13:22:00-05:00,74.58,74.58,74.58,74.58,1055
2020-11-18 13:30:00-05:00,74.54,74.58,74.5,74.58,1588
2020-11-18 13:36:00-05:00,74.57,74.67,74.57,74.67,886
2020-11-18 13:42:00-05:00,74.595,74.595,74.595,74.595,212
2020-11-18 13:46:00-05:00,74.645,74.645,74.645,74.645,415
2020-11-18 13:48:00-05:00,74.74,74.74,74.74,74.74,137
2020-11-18 13:50:00-05:00,74.72,74.775,74.72,74.775,426
2020-11-18 13:52:00-05:00,74.775,74.775,74.7125,74.74,1251
2020-11-18 13:58:00-05:00,74.92,74.93,74.92,74.93,304
2020-11-18 14:00:00-05:00,74.9101,75.21,74.9101,75.08,981
2020-11-18 14:04:00-05:00,75.17,75.17,75.115,75.115,459
2020-11-18 14:06:00-05:00,75.12,75.12,75.12,75.12,217
2020-11-18 14:08:00-05:00,75.175,75.175,75.175,75.175,131
2020-11-18 14:10:00-05:00,75.16,75.16,75.16,75.16,350
2020-11-18 14:12:00-05:00,75.06,75.085,74.99,75.085,388
2020-11-18 14:14:00-05:00,75.135,75.39,75.135,75.26,1169
2020-11-18 14:20:00-05:00,75.015,75.09,75.015,75.09,244
2020-11-18 14:22:00-05:00,75.06,75.06,75.06,75.06,114
2020-11-18 14:24:00-05:00,75.055,75.055,74.96,74.96,488
2020-11-18 14:28:00-05:00,74.835,74.835,74.82,74.835,712
2020-11-18 14:32:00-05:00,74.82,74.89,74.82,74.89,229
2020-11-18 14:34:00-05:00,74.94,74.94,74.94,74.94,464
2020-11-18 14:38:00-05:00,74.92,74.925,74.87,74.925,799
2020-11-18 14:42:00-05:00,74.915,74.915,74.915,74.915,219
2020-11-18 14:46:00-05:00,74.94,75.01,74.94,75.01,294
2020-11-18 14:48:00-05:00,75.02,75.02,74.985,74.985,202
2020-11-18 14:50:00-05:00,74.985,75.08,74.985,75.08,474
2020-11-18 14:52:00-05:00,75.02,75.02,75.02,75.02,224
2020-11-18 14:54:00-05:00,74.97,74.97,74.97,74.97,146
2020-11-18 14:56:00-05:00,75.02,75.07,75.02,75.07,385
2020-11-18 14:58:00-05:00,75.065,75.065,74.98,74.995,1545
2020-11-18 15:00:00-05:00,74.995,75.05,74.99,74.99,729
2020-11-18 15:02:00-05:00,74.945,74.945,74.79,74.79,575
2020-11-18 15:04:00-05:00,74.69,74.69,74.69,74.69,250
2020-11-18 15:06:00-05:00,74.6,74.68,74.6,74.68,409
2020-11-18 15:08:00-05:00,74.89,74.89,74.89,74.89,142
2020-11-18 15:12:00-05:00,74.9,74.92,74.9,74.92,803
2020-11-18 15:14:00-05:00,74.89,74.9,74.89,74.9,427
2020-11-18 15:16:00-05:00,74.91,74.91,74.91,74.91,195
2020-11-18 15:18:00-05:00,74.89,74.89,74.89,74.89,145
2020-11-18 15:20:00-05:00,74.81,74.84,74.81,74.84,1120
2020-11-18 15:24:00-05:00,74.87,74.87,74.87,74.87,110
2020-11-18 15:26:00-05:00,74.86,74.86,74.86,74.86,114
2020-11-18 15:28:00-05:00,74.95,74.96,74.835,74.835,1747
2020-11-18 15:30:00-05:00,74.75,74.765,74.66,74.66,1158
2020-11-18 15:32:00-05:00,74.67,74.67,74.67,74.67,502
2020-11-18 15:34:00-05:00,74.88,74.88,74.82,74.82,874
2020-11-18 15:36:00-05:00,74.72,74.765,74.66,74.66,1038
2020-11-18 15:38:00-05:00,74.63,74.69,74.63,74.69,659
2020-11-18 15:40:00-05:00,74.67,74.67,74.61,74.65,1203
2020-11-18 15:42:00-05:00,74.6,74.68,74.6,74.68,769
2020-11-18 15:44:00-05:00,74.67,74.75,74.645,74.75,1324
2020-11-18 15:46:00-05:00,74.7225,74.76,74.6,74.76,2121
2020-11-18 15:48:00-05:00,74.76,74.76,74.61,74.72,2225
2020-11-18 15:50:00-05:00,74.6,74.75,74.51,74.565,1991
2020-11-18 15:52:00-05:00,74.46,74.61,74.45,74.58,1615
2020-11-18 15:54:00-05:00,74.52,74.68,74.46,74.68,4522
2020-11-18 15:56:00-05:00,74.65,74.7,74.49,74.7,6772
2020-11-18 15:58:00-05:00,74.6475,74.91,74.55,74.79,16370
2020-11-19 09:30:00-05:00,74.61,75.23,74.1,74.155,1316
2020-11-19 09:32:00-05:00,74.09,74.5,72.4306,74.5,797
2020-11-19 09:34:00-05:00,74.54,74.54,74.5,74.5,843
2020-11-19 09:38:00-05:00,73.82,73.82,73.82,73.82,108
2020-11-19 09:40:00-05:00,73.78,73.78,73.78,73.78,202
2020-11-19 09:44:00-05:00,73.33,73.33,73.33,73.33,140
2020-11-19 09:46:00-05:00,74.39,74.39,74.39,74.39,124
2020-11-19 09:48:00-05:00,74.39,74.39,73.83,74.38,373
2020-11-19 09:50:00-05:00,74.2,74.38,74.2,74.38,247
2020-11-19 09:54:00-05:00,73.46,73.685,73.46,73.685,279
2020-11-19 09:56:00-05:00,73.61,74.1,73.61,74.1,842
2020-11-19 09:58:00-05:00,73.59,73.59,73.59,73.59,282
2020-11-19 10:06:00-05:00,73.86,73.88,73.86,73.88,379
2020-11-19 10:08:00-05:00,73.61,73.61,73.61,73.61,134
2020-11-19 10:12:00-05:00,73.55,73.55,73.55,73.55,350
2020-11-19 10:16:00-05:00,73.57,73.57,73.56,73.56,865
2020-11-19 10:18:00-05:00,73.26,73.26,73.26,73.26,100
2020-11-19 10:20:00-05:00,73.14,73.14,73.14,73.14,100
2020-11-19 10:22:00-05:00,73.09,73.09,73.09,73.09,525
2020-11-19 10:24:00-05:00,73.04,73.04,72.91,72.91,480
2020-11-19 10:34:00-05:00,73.21,73.21,73.21,73.21,680
2020-11-19 10:40:00-05:00,73.39,73.395,73.39,73.395,432
2020-11-19 10:44:00-05:00,73.32,73.39,73.32,73.39,472
2020-11-19 10:48:00-05:00,73.57,73.57,73.515,73.515,408
2020-11-19 10:52:00-05:00,73.51,73.51,73.51,73.51,303
2020-11-19 10:54:00-05:00,73.51,73.51,73.25,73.25,646
2020-11-19 11:00:00-05:00,73.13,73.13,73.13,73.13,663
2020-11-19 11:20:00-05:00,73.2,73.25,73.19,73.25,974
2020-11-19 11:22:00-05:00,73.27,73.27,73.27,73.27,109
2020-11-19 11:24:00-05:00,73.29,73.59,73.29,73.59,547
2020-11-19 11:26:00-05:00,73.07,73.07,73.07,73.07,174
2020-11-19 11:28:00-05:00,73.08,73.08,73.08,73.08,500
2020-11-19 11:38:00-05:00,72.66,72.81,72.66,72.81,795
2020-11-19 11:40:00-05:00,72.86,73.23,72.85,73.23,1267
