date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,8.88,8.889,8.85,8.86,60831
2020-11-18 09:32:00-05:00,8.87,8.89,8.85,8.86,29421
2020-11-18 09:34:00-05:00,8.85,8.89,8.85,8.855,26819
2020-11-18 09:36:00-05:00,8.86,8.87,8.85,8.855,17828
2020-11-18 09:38:00-05:00,8.85,8.855,8.85,8.85,27937
2020-11-18 09:40:00-05:00,8.855,8.865,8.85,8.855,24570
2020-11-18 09:42:00-05:00,8.855,8.855,8.81,8.81,20158
2020-11-18 09:44:00-05:00,8.81,8.81,8.7544,8.7544,11955
2020-11-18 09:46:00-05:00,8.755,8.77,8.73,8.735,12002
2020-11-18 09:48:00-05:00,8.73,8.73,8.68,8.68,19450
2020-11-18 09:50:00-05:00,8.68,8.69,8.655,8.665,27093
2020-11-18 09:52:00-05:00,8.66,8.66,8.62,8.6484,28693
2020-11-18 09:54:00-05:00,8.6466,8.6466,8.61,8.625,16529
2020-11-18 09:56:00-05:00,8.62,8.62,8.605,8.61,12748
2020-11-18 09:58:00-05:00,8.6186,8.6186,8.59,8.6,26863
2020-11-18 10:00:00-05:00,8.6,8.61,8.59,8.6,15051
2020-11-18 10:02:00-05:00,8.6,8.62,8.6,8.605,20431
2020-11-18 10:04:00-05:00,8.6024,8.61,8.6,8.6,11272
2020-11-18 10:06:00-05:00,8.6055,8.6187,8.59,8.59,45531
2020-11-18 10:08:00-05:00,8.59,8.6,8.57,8.575,10572
2020-11-18 10:10:00-05:00,8.575,8.59,8.56,8.59,12087
2020-11-18 10:12:00-05:00,8.585,8.6299,8.585,8.6,21698
2020-11-18 10:14:00-05:00,8.6,8.6,8.584,8.584,7035
2020-11-18 10:16:00-05:00,8.585,8.62,8.5802,8.62,23157
2020-11-18 10:18:00-05:00,8.61,8.62,8.6,8.62,24372
2020-11-18 10:20:00-05:00,8.625,8.64,8.62,8.64,20596
2020-11-18 10:22:00-05:00,8.65,8.66,8.635,8.64,24140
2020-11-18 10:24:00-05:00,8.6349,8.64,8.6349,8.64,7053
2020-11-18 10:26:00-05:00,8.64,8.66,8.64,8.66,22290
2020-11-18 10:28:00-05:00,8.665,8.6691,8.66,8.66,13935
2020-11-18 10:30:00-05:00,8.67,8.6789,8.665,8.6789,7378
2020-11-18 10:32:00-05:00,8.67,8.67,8.66,8.66,6367
2020-11-18 10:34:00-05:00,8.66,8.67,8.66,8.67,4974
2020-11-18 10:36:00-05:00,8.665,8.67,8.66,8.66,2669
2020-11-18 10:38:00-05:00,8.66,8.67,8.645,8.655,15785
2020-11-18 10:40:00-05:00,8.655,8.69,8.655,8.6711,17206
2020-11-18 10:42:00-05:00,8.67,8.675,8.665,8.6747,5702
2020-11-18 10:44:00-05:00,8.675,8.69,8.675,8.685,5385
2020-11-18 10:46:00-05:00,8.69,8.7,8.685,8.695,5703
2020-11-18 10:48:00-05:00,8.695,8.7,8.695,8.695,1923
2020-11-18 10:50:00-05:00,8.695,8.73,8.695,8.725,23681
2020-11-18 10:52:00-05:00,8.725,8.75,8.72,8.735,20351
2020-11-18 10:54:00-05:00,8.74,8.75,8.725,8.74,28639
2020-11-18 10:56:00-05:00,8.74,8.76,8.735,8.76,11382
2020-11-18 10:58:00-05:00,8.755,8.79,8.755,8.79,17011
2020-11-18 11:00:00-05:00,8.79,8.8,8.783,8.79,14526
2020-11-18 11:02:00-05:00,8.785,8.785,8.775,8.78,17966
2020-11-18 11:04:00-05:00,8.775,8.79,8.775,8.79,15603
2020-11-18 11:06:00-05:00,8.782,8.79,8.7813,8.79,4193
2020-11-18 11:08:00-05:00,8.79,8.79,8.787,8.79,3246
2020-11-18 11:10:00-05:00,8.785,8.79,8.78,8.78,6772
2020-11-18 11:12:00-05:00,8.77,8.775,8.77,8.77,8042
2020-11-18 11:14:00-05:00,8.778,8.78,8.77,8.77,2562
2020-11-18 11:16:00-05:00,8.775,8.775,8.76,8.76,8379
2020-11-18 11:18:00-05:00,8.76,8.76,8.75,8.75,136459
2020-11-18 11:20:00-05:00,8.75,8.78,8.75,8.78,18138
2020-11-18 11:22:00-05:00,8.78,8.81,8.78,8.81,32562
2020-11-18 11:24:00-05:00,8.8,8.8001,8.7837,8.7837,3549
2020-11-18 11:26:00-05:00,8.79,8.7977,8.79,8.7977,3354
2020-11-18 11:28:00-05:00,8.7959,8.8,8.79,8.795,3560
2020-11-18 11:30:00-05:00,8.795,8.805,8.78,8.78,10753
2020-11-18 11:32:00-05:00,8.78,8.795,8.78,8.79,4166
2020-11-18 11:34:00-05:00,8.79,8.79,8.78,8.79,3795
2020-11-18 11:36:00-05:00,8.78,8.79,8.77,8.77,4941
2020-11-18 11:38:00-05:00,8.77,8.78,8.77,8.775,2682
2020-11-18 11:40:00-05:00,8.77,8.785,8.77,8.785,3064
2020-11-18 11:42:00-05:00,8.78,8.7817,8.78,8.78,746
2020-11-18 11:44:00-05:00,8.79,8.79,8.78,8.78,4047
2020-11-18 11:46:00-05:00,8.78,8.78,8.775,8.78,5733
2020-11-18 11:48:00-05:00,8.775,8.795,8.7713,8.78,20946
2020-11-18 11:50:00-05:00,8.77,8.775,8.755,8.76,24858
2020-11-18 11:52:00-05:00,8.76,8.775,8.745,8.775,23433
2020-11-18 11:54:00-05:00,8.775,8.775,8.775,8.775,47465
2020-11-18 11:56:00-05:00,8.775,8.775,8.74,8.74,7777
2020-11-18 11:58:00-05:00,8.74,8.7455,8.73,8.745,6609
2020-11-18 12:00:00-05:00,8.745,8.75,8.74,8.7466,4543
2020-11-18 12:02:00-05:00,8.76,8.76,8.75,8.7524,6580
2020-11-18 12:04:00-05:00,8.75,8.755,8.735,8.755,11528
2020-11-18 12:06:00-05:00,8.75,8.75,8.7422,8.75,7562
2020-11-18 12:08:00-05:00,8.75,8.75,8.74,8.7499,1274
2020-11-18 12:10:00-05:00,8.7455,8.79,8.73,8.785,43205
2020-11-18 12:12:00-05:00,8.785,8.785,8.75,8.765,20356
2020-11-18 12:14:00-05:00,8.76,8.76,8.75,8.754,3991
2020-11-18 12:16:00-05:00,8.75,8.75,8.73,8.73,4986
2020-11-18 12:18:00-05:00,8.74,8.74,8.73,8.735,3098
2020-11-18 12:20:00-05:00,8.74,8.745,8.74,8.74,5506
2020-11-18 12:22:00-05:00,8.75,8.75,8.7401,8.7401,443
2020-11-18 12:24:00-05:00,8.75,8.76,8.745,8.75,8048
2020-11-18 12:26:00-05:00,8.741,8.75,8.741,8.75,10837
2020-11-18 12:28:00-05:00,8.75,8.75,8.7433,8.75,3976
2020-11-18 12:30:00-05:00,8.745,8.745,8.745,8.745,2262
2020-11-18 12:32:00-05:00,8.745,8.75,8.74,8.74,3525
2020-11-18 12:34:00-05:00,8.745,8.75,8.74,8.75,1704
2020-11-18 12:36:00-05:00,8.745,8.75,8.745,8.75,3488
2020-11-18 12:38:00-05:00,8.745,8.75,8.74,8.7429,2642
2020-11-18 12:40:00-05:00,8.74,8.74,8.72,8.72,25848
2020-11-18 12:42:00-05:00,8.72,8.7201,8.705,8.72,8884
2020-11-18 12:44:00-05:00,8.71,8.717,8.71,8.717,1369
2020-11-18 12:46:00-05:00,8.72,8.72,8.71,8.7133,5554
2020-11-18 12:48:00-05:00,8.7101,8.719,8.7,8.7,3853
2020-11-18 12:50:00-05:00,8.7,8.7,8.685,8.685,2144
2020-11-18 12:52:00-05:00,8.68,8.695,8.675,8.685,9235
2020-11-18 12:54:00-05:00,8.69,8.725,8.69,8.705,20711
2020-11-18 12:56:00-05:00,8.705,8.715,8.69,8.6961,32404
2020-11-18 12:58:00-05:00,8.69,8.69,8.67,8.67,2599
2020-11-18 13:00:00-05:00,8.6728,8.675,8.665,8.665,3455
2020-11-18 13:02:00-05:00,8.6682,8.67,8.665,8.665,817
2020-11-18 13:04:00-05:00,8.67,8.6701,8.665,8.6701,4603
2020-11-18 13:06:00-05:00,8.67,8.67,8.665,8.67,3075
2020-11-18 13:08:00-05:00,8.66,8.66,8.66,8.66,862
2020-11-18 13:10:00-05:00,8.665,8.68,8.66,8.675,4895
2020-11-18 13:12:00-05:00,8.675,8.68,8.665,8.675,11526
2020-11-18 13:14:00-05:00,8.68,8.7,8.675,8.7,11761
2020-11-18 13:16:00-05:00,8.705,8.71,8.7,8.705,6480
2020-11-18 13:18:00-05:00,8.705,8.71,8.7,8.71,8394
2020-11-18 13:20:00-05:00,8.71,8.72,8.71,8.72,16384
2020-11-18 13:22:00-05:00,8.72,8.73,8.715,8.73,10690
2020-11-18 13:24:00-05:00,8.73,8.73,8.72,8.73,4312
2020-11-18 13:26:00-05:00,8.72,8.72,8.68,8.6881,10053
2020-11-18 13:28:00-05:00,8.69,8.69,8.67,8.67,2332
2020-11-18 13:30:00-05:00,8.68,8.68,8.67,8.67,750
2020-11-18 13:32:00-05:00,8.67,8.69,8.67,8.69,9517
2020-11-18 13:34:00-05:00,8.685,8.6889,8.6818,8.6818,2131
2020-11-18 13:36:00-05:00,8.68,8.68,8.67,8.68,12838
2020-11-18 13:38:00-05:00,8.675,8.715,8.675,8.715,15501
2020-11-18 13:40:00-05:00,8.715,8.715,8.695,8.7,9481
2020-11-18 13:42:00-05:00,8.7,8.7,8.69,8.695,1601
2020-11-18 13:44:00-05:00,8.69,8.694,8.68,8.68,3937
2020-11-18 13:46:00-05:00,8.6889,8.69,8.68,8.68,2228
2020-11-18 13:48:00-05:00,8.69,8.69,8.68,8.685,1338
2020-11-18 13:50:00-05:00,8.68,8.69,8.68,8.685,11483
2020-11-18 13:52:00-05:00,8.685,8.7,8.685,8.7,6764
2020-11-18 13:54:00-05:00,8.7,8.7,8.69,8.695,1931
2020-11-18 13:56:00-05:00,8.695,8.695,8.69,8.695,451
2020-11-18 13:58:00-05:00,8.7,8.7,8.695,8.7,4546
2020-11-18 14:00:00-05:00,8.695,8.7,8.695,8.695,1837
2020-11-18 14:02:00-05:00,8.695,8.73,8.695,8.725,15572
2020-11-18 14:04:00-05:00,8.725,8.73,8.725,8.725,1075
2020-11-18 14:06:00-05:00,8.7282,8.73,8.725,8.725,2551
2020-11-18 14:08:00-05:00,8.725,8.73,8.715,8.73,18439
2020-11-18 14:10:00-05:00,8.725,8.725,8.71,8.71,7742
2020-11-18 14:12:00-05:00,8.715,8.715,8.7,8.71,7340
2020-11-18 14:14:00-05:00,8.705,8.72,8.7,8.715,19134
2020-11-18 14:16:00-05:00,8.725,8.73,8.72,8.73,2405
2020-11-18 14:18:00-05:00,8.725,8.74,8.72,8.735,24083
2020-11-18 14:20:00-05:00,8.735,8.74,8.73,8.73,1869
2020-11-18 14:22:00-05:00,8.74,8.75,8.735,8.75,4299
2020-11-18 14:24:00-05:00,8.75,8.75,8.735,8.74,20651
2020-11-18 14:26:00-05:00,8.74,8.74,8.735,8.735,4318
2020-11-18 14:28:00-05:00,8.74,8.74,8.735,8.735,6065
2020-11-18 14:30:00-05:00,8.74,8.75,8.73,8.735,28060
2020-11-18 14:32:00-05:00,8.7301,8.735,8.72,8.72,33592
2020-11-18 14:34:00-05:00,8.7248,8.7399,8.72,8.735,19594
2020-11-18 14:36:00-05:00,8.73,8.735,8.73,8.73,21120
2020-11-18 14:38:00-05:00,8.73,8.73,8.73,8.73,701
2020-11-18 14:40:00-05:00,8.7389,8.7389,8.73,8.73,2216
