date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,13.74,13.75,13.74,13.74,100
2020-11-18 09:32:00-05:00,13.79,13.89,13.79,13.89,2194
2020-11-18 09:34:00-05:00,13.93,14.12,13.93,14.02,17568
2020-11-18 09:36:00-05:00,14.07,14.2,14.02,14.115,20695
2020-11-18 09:38:00-05:00,14.115,14.33,14.1015,14.27,27073
2020-11-18 09:40:00-05:00,14.235,14.235,14.19,14.225,2116
2020-11-18 09:42:00-05:00,14.1992,14.38,14.19,14.25,32525
2020-11-18 09:44:00-05:00,14.2788,14.2902,14.25,14.2645,2144
2020-11-18 09:46:00-05:00,14.275,14.33,14.25,14.26,7816
2020-11-18 09:48:00-05:00,14.26,14.2933,14.24,14.29,5710
2020-11-18 09:50:00-05:00,14.27,14.3,14.24,14.26,3969
2020-11-18 09:52:00-05:00,14.27,14.37,14.25,14.36,10553
2020-11-18 09:54:00-05:00,14.33,14.35,14.25,14.25,3067
2020-11-18 09:56:00-05:00,14.2634,14.2999,14.25,14.25,1899
2020-11-18 09:58:00-05:00,14.252,14.252,14.252,14.252,305
2020-11-18 10:00:00-05:00,14.26,14.28,14.24,14.28,4306
2020-11-18 10:02:00-05:00,14.27,14.27,14.25,14.27,1431
2020-11-18 10:04:00-05:00,14.25,14.27,14.25,14.27,2036
2020-11-18 10:06:00-05:00,14.27,14.27,14.24,14.25,2388
2020-11-18 10:08:00-05:00,14.29,14.305,14.28,14.28,2002
2020-11-18 10:10:00-05:00,14.305,14.34,14.305,14.34,1943
2020-11-18 10:12:00-05:00,14.36,14.39,14.34,14.35,6003
2020-11-18 10:14:00-05:00,14.365,14.365,14.33,14.34,3732
2020-11-18 10:16:00-05:00,14.34,14.35,14.335,14.335,939
2020-11-18 10:18:00-05:00,14.33,14.33,14.27,14.305,2030
2020-11-18 10:20:00-05:00,14.27,14.295,14.26,14.281,1213
2020-11-18 10:22:00-05:00,14.26,14.27,14.25,14.27,3080
2020-11-18 10:24:00-05:00,14.2899,14.3,14.235,14.235,31449
2020-11-18 10:26:00-05:00,14.235,14.235,14.2267,14.235,2501
2020-11-18 10:28:00-05:00,14.235,14.235,14.225,14.235,1750
2020-11-18 10:30:00-05:00,14.25,14.28,14.23,14.26,13805
2020-11-18 10:32:00-05:00,14.26,14.27,14.2,14.27,41898
2020-11-18 10:34:00-05:00,14.27,14.27,14.27,14.27,925
2020-11-18 10:36:00-05:00,14.2877,14.2877,14.25,14.265,1422
2020-11-18 10:38:00-05:00,14.24,14.25,14.24,14.25,1813
2020-11-18 10:40:00-05:00,14.25,14.25,14.25,14.25,117
2020-11-18 10:42:00-05:00,14.25,14.28,14.24,14.25,4086
2020-11-18 10:44:00-05:00,14.25,14.25,14.24,14.25,1573
2020-11-18 10:46:00-05:00,14.26,14.28,14.24,14.25,7132
