date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,10.17,10.17,10.17,10.17,0
2020-11-18 09:32:00-05:00,10.29,10.3,10.29,10.295,1000
2020-11-18 09:50:00-05:00,10.25,10.25,10.24,10.2435,2050
2020-11-18 10:28:00-05:00,10.24,10.24,10.23,10.23,1000
2020-11-18 10:48:00-05:00,10.25,10.3,10.24,10.3,7150
2020-11-18 11:18:00-05:00,10.28,10.28,10.28,10.28,118
2020-11-18 11:20:00-05:00,10.265,10.265,10.265,10.265,100
2020-11-18 11:36:00-05:00,10.27,10.27,10.27,10.27,100
2020-11-18 11:38:00-05:00,10.28,10.28,10.273,10.28,1700
2020-11-18 11:40:00-05:00,10.28,10.32,10.28,10.32,1982
2020-11-18 12:22:00-05:00,10.31,10.31,10.31,10.31,194
2020-11-18 12:24:00-05:00,10.29,10.29,10.27,10.27,1100
2020-11-18 12:30:00-05:00,10.25,10.25,10.25,10.25,298
2020-11-18 12:52:00-05:00,10.3,10.3,10.3,10.3,100
2020-11-18 13:08:00-05:00,10.3,10.3,10.3,10.3,509
2020-11-18 13:34:00-05:00,10.29,10.29,10.29,10.29,601
2020-11-18 13:38:00-05:00,10.295,10.295,10.295,10.295,600
2020-11-18 13:44:00-05:00,10.29,10.3,10.29,10.3,301
2020-11-18 14:44:00-05:00,10.27,10.28,10.27,10.28,500
2020-11-18 14:46:00-05:00,10.27,10.27,10.27,10.27,100
2020-11-18 14:48:00-05:00,10.27,10.295,10.27,10.295,271
2020-11-18 15:10:00-05:00,10.26,10.275,10.26,10.275,2121
2020-11-18 15:12:00-05:00,10.275,10.275,10.275,10.275,710
2020-11-18 15:14:00-05:00,10.275,10.29,10.26,10.29,921
2020-11-18 15:16:00-05:00,10.275,10.275,10.275,10.275,468
2020-11-18 15:18:00-05:00,10.275,10.275,10.275,10.275,1008
2020-11-18 15:20:00-05:00,10.275,10.275,10.275,10.275,467
2020-11-18 15:22:00-05:00,10.275,10.275,10.275,10.275,930
2020-11-18 15:24:00-05:00,10.275,10.275,10.275,10.275,492
2020-11-18 15:26:00-05:00,10.275,10.275,10.275,10.275,466
2020-11-18 15:28:00-05:00,10.275,10.275,10.275,10.275,978
2020-11-18 15:30:00-05:00,10.275,10.275,10.275,10.275,439
2020-11-18 15:32:00-05:00,10.275,10.275,10.275,10.275,539
2020-11-18 15:34:00-05:00,10.275,10.275,10.25,10.25,1428
2020-11-18 15:36:00-05:00,10.265,10.265,10.25,10.26,1618
2020-11-18 15:38:00-05:00,10.26,10.26,10.26,10.26,488
2020-11-18 15:40:00-05:00,10.26,10.26,10.25,10.25,1135
2020-11-18 15:42:00-05:00,10.26,10.26,10.26,10.26,614
2020-11-18 15:44:00-05:00,10.26,10.26,10.26,10.26,688
2020-11-18 15:46:00-05:00,10.26,10.26,10.26,10.26,585
