date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,9.7,9.7,9.7,9.7,0
2020-11-18 09:50:00-05:00,9.765,9.765,9.765,9.765,100
2020-11-18 10:44:00-05:00,9.76,9.76,9.76,9.76,150
2020-11-18 11:20:00-05:00,9.73,9.73,9.73,9.73,200
2020-11-18 11:22:00-05:00,9.72,9.72,9.72,9.72,101
2020-11-18 11:28:00-05:00,9.72,9.72,9.72,9.72,1158
2020-11-18 11:50:00-05:00,9.72,9.76,9.72,9.72,9364
2020-11-18 11:52:00-05:00,9.76,9.76,9.72,9.755,2725
2020-11-18 11:56:00-05:00,9.725,9.725,9.72,9.72,400
2020-11-18 12:00:00-05:00,9.72,9.72,9.72,9.72,435
2020-11-18 12:04:00-05:00,9.72,9.72,9.72,9.72,1000
2020-11-18 12:06:00-05:00,9.75,9.79,9.75,9.79,255
2020-11-18 12:46:00-05:00,9.73,9.73,9.73,9.73,259
2020-11-18 13:04:00-05:00,9.71,9.71,9.71,9.71,4206
2020-11-18 13:32:00-05:00,9.73,9.7499,9.73,9.7499,300
2020-11-18 13:34:00-05:00,9.73,9.7499,9.73,9.7363,1700
2020-11-18 13:36:00-05:00,9.73,9.7499,9.73,9.7499,556
2020-11-18 15:44:00-05:00,9.75,9.75,9.75,9.75,100
2020-11-18 15:52:00-05:00,9.747,9.747,9.747,9.747,500
2020-11-19 09:52:00-05:00,9.7791,9.79,9.7791,9.7791,800
2020-11-19 09:54:00-05:00,9.7501,9.7501,9.7501,9.7501,100
2020-11-19 09:56:00-05:00,9.7791,9.79,9.7501,9.79,500
2020-11-19 10:02:00-05:00,9.7791,9.79,9.7791,9.79,400
2020-11-19 10:04:00-05:00,9.7501,9.7501,9.7501,9.7501,200
2020-11-19 10:24:00-05:00,9.76,9.76,9.76,9.76,187
2020-11-19 10:32:00-05:00,9.75,9.75,9.75,9.75,5000
2020-11-19 11:28:00-05:00,9.76,9.76,9.76,9.76,1705
2020-11-19 14:28:00-05:00,9.755,9.755,9.75,9.75,3405
2020-11-19 14:46:00-05:00,9.75,9.755,9.75,9.755,3350
2020-11-19 15:30:00-05:00,9.755,9.755,9.755,9.755,500
2020-11-19 15:58:00-05:00,9.755,9.755,9.755,9.755,150
2020-11-20 11:14:00-05:00,9.79,9.79,9.7606,9.79,1000
2020-11-20 12:52:00-05:00,9.8,9.8,9.8,9.8,100
2020-11-20 12:54:00-05:00,9.7836,9.7836,9.7836,9.7836,100
2020-11-20 13:46:00-05:00,9.76,9.76,9.76,9.76,82000
2020-11-20 13:48:00-05:00,9.78,9.78,9.78,9.78,300
2020-11-20 15:14:00-05:00,9.78,9.78,9.78,9.78,3000
2020-11-20 15:20:00-05:00,9.77,9.77,9.77,9.77,100
2020-11-20 15:22:00-05:00,9.78,9.78,9.7649,9.7649,400
2020-11-20 15:24:00-05:00,9.7649,9.78,9.7649,9.765,700
