date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,72.1,72.21,71.48,71.48,30749
2020-11-18 09:32:00-05:00,71.585,71.63,71.43,71.43,1510
2020-11-18 09:34:00-05:00,71.5437,71.755,71.5437,71.615,5669
2020-11-18 09:36:00-05:00,71.66,71.69,71.6,71.62,3357
2020-11-18 09:38:00-05:00,71.73,72.0019,71.715,72.0019,31463
2020-11-18 09:40:00-05:00,71.94,72.0664,71.92,72.0664,4312
2020-11-18 09:42:00-05:00,71.97,72.03,71.62,71.695,6315
2020-11-18 09:44:00-05:00,71.7,71.91,71.55,71.91,3733
2020-11-18 09:46:00-05:00,71.92,71.94,71.7,71.71,4423
2020-11-18 09:48:00-05:00,71.71,71.77,71.66,71.715,946
2020-11-18 09:50:00-05:00,71.66,71.68,71.55,71.565,6718
2020-11-18 09:52:00-05:00,71.56,71.8,71.52,71.8,10648
2020-11-18 09:54:00-05:00,71.6801,71.76,71.57,71.7,11074
2020-11-18 09:56:00-05:00,71.71,71.8,71.71,71.8,1676
2020-11-18 09:58:00-05:00,71.8,71.8,71.68,71.68,3105
2020-11-18 10:00:00-05:00,71.58,71.66,71.52,71.65,12520
2020-11-18 10:02:00-05:00,71.615,71.63,71.53,71.63,10106
2020-11-18 10:04:00-05:00,71.595,71.63,71.52,71.55,10694
2020-11-18 10:06:00-05:00,71.585,71.66,71.565,71.565,4364
2020-11-18 10:08:00-05:00,71.57,71.58,71.52,71.53,9752
2020-11-18 10:10:00-05:00,71.525,71.66,71.525,71.64,13422
2020-11-18 10:12:00-05:00,71.615,71.69,71.615,71.665,5532
2020-11-18 10:14:00-05:00,71.66,71.66,71.565,71.565,3701
2020-11-18 10:16:00-05:00,71.565,71.61,71.565,71.61,1408
2020-11-18 10:18:00-05:00,71.6,71.615,71.57,71.5749,3847
2020-11-18 10:20:00-05:00,71.565,71.645,71.555,71.645,4537
2020-11-18 10:22:00-05:00,71.64,71.64,71.595,71.595,2803
2020-11-18 10:24:00-05:00,71.59,71.59,71.54,71.54,1936
2020-11-18 10:26:00-05:00,71.47,71.47,71.465,71.465,385
2020-11-18 10:28:00-05:00,71.41,71.5,71.4,71.455,5960
2020-11-18 10:30:00-05:00,71.455,71.54,71.455,71.535,4069
2020-11-18 10:32:00-05:00,71.535,71.535,71.49,71.49,1981
2020-11-18 10:34:00-05:00,71.43,71.43,71.0,71.15,22886
2020-11-18 10:36:00-05:00,71.15,71.36,71.15,71.305,8911
2020-11-18 10:38:00-05:00,71.31,71.31,71.175,71.175,9288
2020-11-18 10:40:00-05:00,71.21,71.21,71.01,71.175,14341
2020-11-18 10:42:00-05:00,71.165,71.165,71.095,71.095,3420
2020-11-18 10:44:00-05:00,71.085,71.085,70.96,70.96,2830
2020-11-18 10:46:00-05:00,70.93,70.98,70.8912,70.94,6814
2020-11-18 10:48:00-05:00,70.955,71.035,70.955,71.035,22652
2020-11-18 10:50:00-05:00,71.035,71.035,70.795,70.81,8728
2020-11-18 10:52:00-05:00,70.81,70.81,70.7,70.7,1983
2020-11-18 10:54:00-05:00,70.67,70.67,70.58,70.62,6837
2020-11-18 10:56:00-05:00,70.62,70.74,70.59,70.72,4394
2020-11-18 10:58:00-05:00,70.69,70.69,70.51,70.545,4197
2020-11-18 11:00:00-05:00,70.51,70.68,70.45,70.64,35383
2020-11-18 11:02:00-05:00,70.69,70.83,70.69,70.83,30912
2020-11-18 11:04:00-05:00,70.83,70.87,70.77,70.77,3770
2020-11-18 11:06:00-05:00,70.8,70.8,70.77,70.77,2114
2020-11-18 11:08:00-05:00,70.7917,70.8,70.745,70.745,9590
2020-11-18 11:10:00-05:00,70.745,70.7699,70.62,70.665,17822
2020-11-18 11:12:00-05:00,70.635,70.82,70.635,70.745,6287
2020-11-18 11:14:00-05:00,70.76,70.77,70.68,70.71,8681
2020-11-18 11:16:00-05:00,70.685,70.77,70.66,70.7,9864
