date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,136.84,137.4,136.84,137.25,230
2020-11-18 09:32:00-05:00,136.54,137.7,136.18,136.46,4254
2020-11-18 09:34:00-05:00,135.98,136.5,135.91,136.41,4418
2020-11-18 09:36:00-05:00,135.85,135.965,135.85,135.965,287
2020-11-18 09:38:00-05:00,135.96,136.02,135.76,135.85,2067
2020-11-18 09:40:00-05:00,135.845,136.43,135.65,135.795,11859
2020-11-18 09:42:00-05:00,136.0,136.21,135.65,136.21,1685
2020-11-18 09:44:00-05:00,136.35,136.35,136.045,136.045,328
2020-11-18 09:46:00-05:00,136.1506,136.1506,135.92,135.92,3564
2020-11-18 09:48:00-05:00,135.92,135.92,135.49,135.49,2729
2020-11-18 09:50:00-05:00,135.7,136.115,135.7,136.115,3438
2020-11-18 09:52:00-05:00,136.045,136.045,135.53,135.53,3206
2020-11-18 09:54:00-05:00,135.4,135.46,135.2,135.43,2440
2020-11-18 09:56:00-05:00,135.41,135.51,135.41,135.5,549
2020-11-18 10:00:00-05:00,135.69,135.8,135.46,135.68,5675
2020-11-18 10:02:00-05:00,135.63,135.65,135.63,135.65,794
2020-11-18 10:04:00-05:00,135.95,136.09,135.95,135.975,830
2020-11-18 10:06:00-05:00,136.0,136.0,136.0,136.0,158
2020-11-18 10:08:00-05:00,135.975,135.975,135.64,135.67,3583
2020-11-18 10:10:00-05:00,135.75,135.9,135.75,135.864,2401
2020-11-18 10:12:00-05:00,135.99,135.99,135.98,135.98,204
2020-11-18 10:14:00-05:00,135.995,136.15,135.995,136.15,1260
2020-11-18 10:18:00-05:00,136.655,136.86,136.655,136.86,271
2020-11-18 10:20:00-05:00,136.6456,137.43,136.6456,137.43,1924
2020-11-18 10:22:00-05:00,137.23,137.23,136.63,136.645,2343
2020-11-18 10:26:00-05:00,136.31,136.435,136.24,136.35,1870
2020-11-18 10:28:00-05:00,136.15,136.285,136.15,136.285,634
2020-11-18 10:30:00-05:00,136.285,136.315,136.0,136.0,1807
2020-11-18 10:32:00-05:00,135.495,135.495,135.425,135.425,559
2020-11-18 10:34:00-05:00,135.48,135.48,135.48,135.48,158
2020-11-18 10:36:00-05:00,135.605,135.605,135.52,135.52,778
2020-11-18 10:38:00-05:00,135.74,135.91,135.71,135.825,1459
2020-11-18 10:40:00-05:00,135.94,135.94,135.94,135.94,309
2020-11-18 10:42:00-05:00,135.815,136.22,135.815,136.21,2900
2020-11-18 10:44:00-05:00,136.21,136.255,135.99,135.99,1212
2020-11-18 10:46:00-05:00,136.4275,136.4275,136.32,136.32,816
2020-11-18 10:48:00-05:00,136.295,136.295,136.16,136.285,1179
2020-11-18 10:50:00-05:00,136.32,136.32,136.16,136.16,2996
2020-11-18 10:52:00-05:00,136.1,136.21,136.1,136.18,374
2020-11-18 10:54:00-05:00,136.085,136.27,136.085,136.27,1019
2020-11-18 10:56:00-05:00,136.3,136.41,136.27,136.395,1212
