date,open,high,low,close,volume
2020-12-01 11:50:00-05:00,9.8,9.8,9.8,9.8,0
2020-12-01 12:04:00-05:00,9.7,9.7,9.67,9.67,1500
2020-12-01 14:02:00-05:00,9.71,9.71,9.71,9.71,300
2020-12-01 14:14:00-05:00,9.71,9.71,9.7,9.7,1100
2020-12-01 14:58:00-05:00,9.72,9.72,9.72,9.72,1800
2020-12-01 15:00:00-05:00,9.73,9.73,9.73,9.73,5167
2020-12-02 10:18:00-05:00,9.71,9.71,9.7,9.7,44833
2020-12-02 11:22:00-05:00,9.75,9.75,9.75,9.75,200
2020-12-02 11:50:00-05:00,9.75,9.75,9.75,9.75,50000
2020-12-02 12:30:00-05:00,9.75,9.75,9.75,9.75,1600
2020-12-02 13:46:00-05:00,9.75,9.75,9.75,9.75,50000
2020-12-02 13:54:00-05:00,9.735,9.75,9.735,9.75,99200
2020-12-02 14:00:00-05:00,9.735,9.735,9.735,9.735,150000
2020-12-02 14:04:00-05:00,9.735,9.78,9.735,9.78,151500
2020-12-02 14:10:00-05:00,9.744,9.744,9.744,9.744,553510
2020-12-03 09:40:00-05:00,9.7975,9.7975,9.7975,9.7975,0
2020-12-03 10:34:00-05:00,9.8048,9.8048,9.8048,9.8048,100
2020-12-03 11:18:00-05:00,9.735,9.735,9.735,9.735,503
2020-12-03 13:32:00-05:00,9.75,9.75,9.75,9.75,513
2020-12-03 13:36:00-05:00,9.73,9.73,9.73,9.73,1000
2020-12-03 13:38:00-05:00,9.745,9.745,9.745,9.745,200
2020-12-03 13:42:00-05:00,9.746,9.746,9.746,9.746,500
2020-12-03 13:44:00-05:00,9.75,9.75,9.7499,9.75,500
2020-12-03 13:46:00-05:00,9.73,9.73,9.73,9.73,200
2020-12-03 13:50:00-05:00,9.725,9.725,9.725,9.725,125
2020-12-03 13:52:00-05:00,9.72,9.72,9.71,9.71,1800
2020-12-03 13:54:00-05:00,9.71,9.72,9.71,9.72,2600
2020-12-03 13:56:00-05:00,9.72,9.74,9.72,9.74,3710
2020-12-03 13:58:00-05:00,9.75,9.75,9.75,9.75,130
2020-12-03 14:08:00-05:00,9.75,9.75,9.75,9.75,199
2020-12-03 14:10:00-05:00,9.75,9.85,9.75,9.85,420
2020-12-03 14:16:00-05:00,9.75,9.75,9.74,9.74,254
2020-12-03 14:26:00-05:00,9.76,9.76,9.76,9.76,100
2020-12-03 14:30:00-05:00,9.75,9.75,9.72,9.725,584
2020-12-03 14:32:00-05:00,9.7299,9.7299,9.7278,9.7278,230
