date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,37.34,37.34,37.34,37.34,1264
2020-11-18 09:32:00-05:00,37.18,37.985,37.18,37.985,300
2020-11-18 09:34:00-05:00,37.24,37.24,37.24,37.24,222
2020-11-18 09:48:00-05:00,37.16,37.16,37.13,37.13,524
2020-11-18 09:50:00-05:00,37.01,37.01,37.01,37.01,416
2020-11-18 09:52:00-05:00,37.22,37.22,37.22,37.22,100
2020-11-18 09:54:00-05:00,37.22,37.23,37.09,37.09,1189
2020-11-18 09:58:00-05:00,37.127,37.127,37.127,37.127,232
2020-11-18 10:16:00-05:00,37.15,37.2294,37.09,37.2294,1719
2020-11-18 10:24:00-05:00,37.05,37.05,37.02,37.02,678
2020-11-18 10:30:00-05:00,37.01,37.01,37.01,37.01,198
2020-11-18 10:34:00-05:00,37.0,37.0,37.0,37.0,208
2020-11-18 10:38:00-05:00,37.01,37.01,37.0,37.0,712
2020-11-18 10:40:00-05:00,36.92,36.964,36.89,36.964,1339
2020-11-18 10:46:00-05:00,36.82,36.82,36.78,36.78,204
2020-11-18 10:48:00-05:00,36.785,36.785,36.785,36.785,326
2020-11-18 10:54:00-05:00,36.75,36.75,36.75,36.75,290
2020-11-18 11:00:00-05:00,36.81,37.03,36.81,37.0,2773
2020-11-18 11:02:00-05:00,37.1365,37.2,37.0,37.2,4774
2020-11-18 11:04:00-05:00,37.17,37.19,37.04,37.04,1896
2020-11-18 11:08:00-05:00,37.03,37.03,37.03,37.03,305
2020-11-18 11:10:00-05:00,37.03,37.03,37.03,37.03,401
2020-11-18 11:12:00-05:00,37.15,37.15,36.95,36.95,585
2020-11-18 11:14:00-05:00,36.95,36.95,36.83,36.86,1277
2020-11-18 11:20:00-05:00,36.925,36.925,36.925,36.925,103
2020-11-18 11:22:00-05:00,36.85,36.85,36.85,36.85,405
2020-11-18 11:26:00-05:00,36.95,36.96,36.95,36.96,583
2020-11-18 11:36:00-05:00,36.94,36.94,36.94,36.94,156
2020-11-18 11:40:00-05:00,36.8701,36.92,36.8701,36.92,618
2020-11-18 11:42:00-05:00,36.95,36.97,36.94,36.94,621
2020-11-18 11:44:00-05:00,37.01,37.01,36.99,37.01,773
2020-11-18 11:46:00-05:00,37.02,37.02,37.0,37.0,1124
2020-11-18 11:52:00-05:00,37.1068,37.1068,37.1068,37.1068,441
2020-11-18 11:56:00-05:00,36.99,36.99,36.99,36.99,263
2020-11-18 12:00:00-05:00,37.02,37.04,37.0,37.0,653
2020-11-18 12:02:00-05:00,37.0,37.0,37.0,37.0,410
2020-11-18 12:06:00-05:00,36.92,36.93,36.9,36.91,1069
2020-11-18 12:10:00-05:00,36.9,36.9,36.87,36.87,243
2020-11-18 12:12:00-05:00,36.85,36.85,36.85,36.85,520
2020-11-18 12:18:00-05:00,36.87,37.01,36.87,36.94,2524
2020-11-18 12:22:00-05:00,37.0,37.04,36.99,37.0,598
2020-11-18 12:24:00-05:00,37.0,37.0,36.9862,36.9862,970
2020-11-18 12:26:00-05:00,36.98,36.99,36.97,36.97,647
2020-11-18 12:32:00-05:00,36.972,37.07,36.972,37.05,673
2020-11-18 12:34:00-05:00,36.94,36.94,36.94,36.94,204
2020-11-18 12:38:00-05:00,36.97,36.97,36.96,36.96,208
2020-11-18 12:40:00-05:00,36.94,36.94,36.94,36.94,314
2020-11-18 12:42:00-05:00,36.99,37.015,36.95,36.95,1436
2020-11-18 12:44:00-05:00,36.93,36.93,36.9257,36.9257,886
2020-11-18 12:48:00-05:00,36.85,36.875,36.85,36.85,948
2020-11-18 12:56:00-05:00,36.81,36.84,36.8,36.84,403
2020-11-18 12:58:00-05:00,36.8,36.8,36.8,36.8,422
2020-11-18 13:00:00-05:00,36.75,36.75,36.75,36.75,204
2020-11-18 13:02:00-05:00,36.76,36.76,36.75,36.75,2748
2020-11-18 13:08:00-05:00,36.79,36.79,36.79,36.79,114
2020-11-18 13:10:00-05:00,36.83,36.88,36.83,36.88,880
2020-11-18 13:14:00-05:00,36.93,36.93,36.93,36.93,154
2020-11-18 13:16:00-05:00,36.77,36.77,36.76,36.76,321
2020-11-18 13:18:00-05:00,36.77,36.77,36.77,36.77,404
2020-11-18 13:20:00-05:00,36.78,36.84,36.78,36.815,2088
2020-11-18 13:24:00-05:00,36.83,36.83,36.83,36.83,253
2020-11-18 13:30:00-05:00,36.82,36.82,36.78,36.78,306
2020-11-18 13:32:00-05:00,36.79,36.79,36.78,36.78,471
2020-11-18 13:40:00-05:00,36.7939,36.7939,36.7,36.72,2644
2020-11-18 13:42:00-05:00,36.73,36.73,36.73,36.73,122
2020-11-18 13:46:00-05:00,36.7799,36.7799,36.7799,36.7799,151
2020-11-18 13:48:00-05:00,36.735,36.735,36.735,36.735,202
2020-11-18 13:50:00-05:00,36.75,36.75,36.68,36.68,854
2020-11-18 13:52:00-05:00,36.7499,36.7499,36.68,36.68,254
2020-11-18 13:54:00-05:00,36.68,36.68,36.68,36.68,486
2020-11-18 13:58:00-05:00,36.7,36.7,36.7,36.7,869
2020-11-18 14:00:00-05:00,36.66,36.66,36.66,36.66,284
2020-11-18 14:02:00-05:00,36.7299,36.76,36.7299,36.76,770
2020-11-18 14:04:00-05:00,36.77,36.85,36.77,36.84,1135
2020-11-18 14:06:00-05:00,36.9,36.9,36.9,36.9,124
2020-11-18 14:08:00-05:00,36.865,36.865,36.85,36.85,1133
2020-11-18 14:14:00-05:00,36.74,36.74,36.74,36.74,232
2020-11-18 14:16:00-05:00,36.675,36.675,36.675,36.675,225
2020-11-18 14:18:00-05:00,36.73,36.76,36.7,36.76,987
2020-11-18 14:20:00-05:00,36.735,36.76,36.735,36.735,622
2020-11-18 14:24:00-05:00,36.72,36.73,36.72,36.73,222
2020-11-18 14:26:00-05:00,36.69,36.69,36.69,36.69,225
2020-11-18 14:30:00-05:00,36.69,36.69,36.69,36.69,229
2020-11-18 14:34:00-05:00,36.66,36.68,36.66,36.68,424
