date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,3.8,3.84,3.76,3.83,22332
2020-11-18 09:32:00-05:00,3.8283,3.84,3.75,3.765,9800
2020-11-18 09:34:00-05:00,3.7631,3.83,3.75,3.81,22459
2020-11-18 09:36:00-05:00,3.81,3.83,3.785,3.8,12418
2020-11-18 09:38:00-05:00,3.79,3.805,3.77,3.795,15865
2020-11-18 09:40:00-05:00,3.79,3.79,3.77,3.77,11094
2020-11-18 09:42:00-05:00,3.77,3.79,3.77,3.78,8896
2020-11-18 09:44:00-05:00,3.785,3.785,3.75,3.755,2282
2020-11-18 09:46:00-05:00,3.755,3.78,3.755,3.76,16357
2020-11-18 09:48:00-05:00,3.76,3.765,3.75,3.75,2059
2020-11-18 09:50:00-05:00,3.75,3.755,3.735,3.74,5040
2020-11-18 09:52:00-05:00,3.74,3.75,3.74,3.75,11809
2020-11-18 09:54:00-05:00,3.7501,3.77,3.74,3.755,60590
2020-11-18 09:56:00-05:00,3.755,3.755,3.755,3.755,200
2020-11-18 09:58:00-05:00,3.7582,3.76,3.755,3.755,2073
2020-11-18 10:00:00-05:00,3.755,3.78,3.755,3.78,15987
2020-11-18 10:02:00-05:00,3.79,3.835,3.79,3.805,35175
2020-11-18 10:04:00-05:00,3.81,3.83,3.805,3.815,21920
2020-11-18 10:06:00-05:00,3.815,3.825,3.805,3.8134,10511
2020-11-18 10:08:00-05:00,3.815,3.82,3.78,3.78,32765
2020-11-18 10:10:00-05:00,3.785,3.795,3.785,3.795,8309
2020-11-18 10:12:00-05:00,3.79,3.8,3.79,3.795,9719
2020-11-18 10:14:00-05:00,3.795,3.795,3.795,3.795,980
2020-11-18 10:16:00-05:00,3.795,3.795,3.78,3.78,36435
2020-11-18 10:18:00-05:00,3.78,3.785,3.78,3.785,2852
2020-11-18 10:20:00-05:00,3.785,3.785,3.78,3.78,1468
2020-11-18 10:22:00-05:00,3.78,3.79,3.78,3.79,1980
2020-11-18 10:24:00-05:00,3.79,3.79,3.78,3.79,1994
2020-11-18 10:26:00-05:00,3.79,3.79,3.78,3.785,3346
2020-11-18 10:28:00-05:00,3.785,3.785,3.78,3.78,574
2020-11-18 10:30:00-05:00,3.785,3.785,3.78,3.785,1968
2020-11-18 10:32:00-05:00,3.789,3.789,3.78,3.785,6229
2020-11-18 10:34:00-05:00,3.7837,3.79,3.78,3.785,3338
2020-11-18 10:36:00-05:00,3.785,3.795,3.78,3.795,18545
2020-11-18 10:38:00-05:00,3.795,3.795,3.79,3.795,1392
2020-11-18 10:40:00-05:00,3.79,3.795,3.79,3.795,310
2020-11-18 10:42:00-05:00,3.79,3.795,3.785,3.79,4423
2020-11-18 10:44:00-05:00,3.785,3.79,3.785,3.79,1985
2020-11-18 10:46:00-05:00,3.785,3.79,3.785,3.785,1340
2020-11-18 10:48:00-05:00,3.785,3.79,3.785,3.785,1133
2020-11-18 10:50:00-05:00,3.785,3.805,3.785,3.805,12237
2020-11-18 10:52:00-05:00,3.805,3.805,3.803,3.805,1030
2020-11-18 10:54:00-05:00,3.805,3.82,3.805,3.82,6323
2020-11-18 10:56:00-05:00,3.815,3.83,3.815,3.825,3618
2020-11-18 10:58:00-05:00,3.825,3.835,3.825,3.835,2130
2020-11-18 11:00:00-05:00,3.835,3.84,3.835,3.835,2166
2020-11-18 11:02:00-05:00,3.835,3.84,3.83,3.835,797
2020-11-18 11:04:00-05:00,3.835,3.835,3.825,3.825,19945
