date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,29.05,29.42,28.86,29.41,1836
2020-11-18 09:34:00-05:00,29.19,29.19,29.185,29.19,1500
2020-11-18 09:36:00-05:00,29.39,29.39,29.285,29.285,302
2020-11-18 09:38:00-05:00,29.39,29.39,29.325,29.325,528
2020-11-18 09:40:00-05:00,29.39,29.39,29.39,29.39,100
2020-11-18 09:42:00-05:00,29.39,29.39,29.18,29.18,1140
2020-11-18 09:44:00-05:00,29.14,29.18,28.99,29.14,3857
2020-11-18 09:46:00-05:00,29.17,29.37,29.0,29.37,702
2020-11-18 09:48:00-05:00,29.11,29.41,29.03,29.3,3684
2020-11-18 09:50:00-05:00,29.24,29.24,29.2192,29.235,575
2020-11-18 09:54:00-05:00,29.22,29.22,29.22,29.22,100
2020-11-18 09:56:00-05:00,29.165,29.33,29.07,29.33,31692
2020-11-18 09:58:00-05:00,29.11,29.3,29.11,29.295,4882
2020-11-18 10:00:00-05:00,29.4,29.5,29.26,29.385,6054
2020-11-18 10:02:00-05:00,29.43,29.57,29.395,29.44,8191
2020-11-18 10:04:00-05:00,29.3925,29.55,29.385,29.43,4131
2020-11-18 10:06:00-05:00,29.43,29.485,29.3,29.33,2933
2020-11-18 10:08:00-05:00,29.16,29.28,29.16,29.26,738
2020-11-18 10:10:00-05:00,29.36,29.36,29.36,29.36,100
2020-11-18 10:12:00-05:00,29.3,29.4,29.3,29.4,654
2020-11-18 10:14:00-05:00,29.34,29.52,29.3,29.42,1028
2020-11-18 10:16:00-05:00,29.5,29.62,29.49,29.55,1778
2020-11-18 10:18:00-05:00,29.49,29.6,29.42,29.52,9874
2020-11-18 10:20:00-05:00,29.52,29.67,29.435,29.615,7310
2020-11-18 10:22:00-05:00,29.59,29.73,29.59,29.69,778
2020-11-18 10:24:00-05:00,29.62,29.74,29.62,29.685,2122
2020-11-18 10:26:00-05:00,29.6625,29.69,29.63,29.69,1241
2020-11-18 10:28:00-05:00,29.75,29.79,29.64,29.72,2080
2020-11-18 10:30:00-05:00,29.72,29.75,29.72,29.725,1923
2020-11-18 10:32:00-05:00,29.725,29.79,29.68,29.745,24220
2020-11-18 10:34:00-05:00,29.77,29.77,29.64,29.76,5788
2020-11-18 10:36:00-05:00,29.64,29.675,29.62,29.665,1712
2020-11-18 10:38:00-05:00,29.59,29.6,29.47,29.47,1572
2020-11-18 10:40:00-05:00,29.45,29.54,29.4,29.43,1970
2020-11-18 10:42:00-05:00,29.24,29.435,29.16,29.31,15254
2020-11-18 10:44:00-05:00,29.3,29.3,29.21,29.21,1002
2020-11-18 10:46:00-05:00,29.18,29.2984,29.18,29.2825,2270
2020-11-18 10:48:00-05:00,29.21,29.285,29.1,29.18,8618
2020-11-18 10:50:00-05:00,29.23,29.28,29.23,29.23,6763
2020-11-18 10:52:00-05:00,29.16,29.22,29.16,29.19,903
2020-11-18 10:54:00-05:00,29.1811,29.29,29.18,29.29,11231
2020-11-18 10:56:00-05:00,29.33,29.33,29.22,29.275,5178
2020-11-18 10:58:00-05:00,29.28,29.32,29.23,29.265,5190
2020-11-18 11:00:00-05:00,29.26,29.4598,29.255,29.44,7300
2020-11-18 11:02:00-05:00,29.46,29.54,29.41,29.54,940
2020-11-18 11:04:00-05:00,29.5,29.55,29.48,29.51,1040
2020-11-18 11:06:00-05:00,29.51,29.51,29.48,29.48,302
2020-11-18 11:08:00-05:00,29.5,29.55,29.47,29.49,4559
2020-11-18 11:10:00-05:00,29.49,29.49,29.41,29.42,2145
2020-11-18 11:12:00-05:00,29.401,29.401,29.401,29.401,220
2020-11-18 11:14:00-05:00,29.41,29.435,29.41,29.435,833
2020-11-18 11:16:00-05:00,29.435,29.53,29.435,29.53,1841
2020-11-18 11:18:00-05:00,29.59,29.59,29.46,29.495,5316
2020-11-18 11:20:00-05:00,29.4833,29.51,29.4833,29.51,2201
2020-11-18 11:22:00-05:00,29.47,29.47,29.4,29.4,5323
2020-11-18 11:24:00-05:00,29.45,29.48,29.45,29.45,1096
2020-11-18 11:26:00-05:00,29.46,29.49,29.46,29.49,504
2020-11-18 11:28:00-05:00,29.49,29.49,29.49,29.49,902
2020-11-18 11:30:00-05:00,29.48,29.48,29.47,29.48,1262
2020-11-18 11:32:00-05:00,29.495,29.495,29.495,29.495,100
2020-11-18 11:34:00-05:00,29.495,29.5,29.46,29.5,1021
2020-11-18 11:36:00-05:00,29.48,29.5,29.48,29.5,653
2020-11-18 11:38:00-05:00,29.5,29.5,29.5,29.5,440
2020-11-18 11:40:00-05:00,29.5,29.5,29.47,29.47,1187
2020-11-18 11:42:00-05:00,29.52,29.52,29.46,29.47,1336
2020-11-18 11:44:00-05:00,29.48,29.48,29.48,29.48,220
2020-11-18 11:46:00-05:00,29.52,29.52,29.485,29.4999,1913
2020-11-18 11:48:00-05:00,29.485,29.485,29.485,29.485,500
2020-11-18 11:50:00-05:00,29.52,29.52,29.45,29.48,1575
2020-11-18 11:52:00-05:00,29.495,29.495,29.44,29.44,1763
2020-11-18 11:54:00-05:00,29.44,29.45,29.43,29.45,1095
2020-11-18 11:56:00-05:00,29.44,29.44,29.28,29.28,22025
2020-11-18 11:58:00-05:00,29.3,29.3,29.28,29.3,488
2020-11-18 12:00:00-05:00,29.305,29.32,29.305,29.32,327
2020-11-18 12:02:00-05:00,29.32,29.34,29.3,29.3055,1515
2020-11-18 12:04:00-05:00,29.32,29.32,29.3,29.3,598
2020-11-18 12:06:00-05:00,29.31,29.44,29.3,29.43,7070
2020-11-18 12:08:00-05:00,29.45,29.4899,29.41,29.4899,4120
2020-11-18 12:10:00-05:00,29.42,29.49,29.4,29.46,4293
2020-11-18 12:12:00-05:00,29.4,29.44,29.4,29.4,1822
2020-11-18 12:14:00-05:00,29.395,29.395,29.25,29.36,3067
2020-11-18 12:16:00-05:00,29.355,29.36,29.285,29.36,630
2020-11-18 12:18:00-05:00,29.36,29.36,29.25,29.36,4252
2020-11-18 12:20:00-05:00,29.335,29.48,29.335,29.45,3061
2020-11-18 12:22:00-05:00,29.505,29.52,29.45,29.52,1002
2020-11-18 12:24:00-05:00,29.49,29.525,29.49,29.49,1234
2020-11-18 12:26:00-05:00,29.49,29.49,29.42,29.44,2352
2020-11-18 12:28:00-05:00,29.43,29.43,29.43,29.43,165
2020-11-18 12:30:00-05:00,29.365,29.42,29.365,29.42,247
2020-11-18 12:34:00-05:00,29.41,29.41,29.41,29.41,103
2020-11-18 12:36:00-05:00,29.45,29.57,29.45,29.5,1242
2020-11-18 12:38:00-05:00,29.53,29.53,29.46,29.4999,969
2020-11-18 12:40:00-05:00,29.53,29.53,29.46,29.49,1297
2020-11-18 12:42:00-05:00,29.53,29.53,29.5,29.5,206
2020-11-18 12:44:00-05:00,29.51,29.51,29.45,29.47,1803
2020-11-18 12:46:00-05:00,29.5,29.51,29.4675,29.4675,411
2020-11-18 12:48:00-05:00,29.51,29.53,29.5,29.505,2178
2020-11-18 12:50:00-05:00,29.5,29.5,29.5,29.5,320
2020-11-18 12:52:00-05:00,29.49,29.54,29.49,29.49,1225
2020-11-18 12:54:00-05:00,29.48,29.48,29.46,29.46,2003
2020-11-18 12:56:00-05:00,29.45,29.45,29.44,29.44,1202
2020-11-18 12:58:00-05:00,29.4,29.4,29.375,29.375,549
2020-11-18 13:02:00-05:00,29.38,29.43,29.32,29.43,4207
2020-11-18 13:04:00-05:00,29.38,29.43,29.38,29.43,786
2020-11-18 13:06:00-05:00,29.43,29.43,29.41,29.43,997
2020-11-18 13:08:00-05:00,29.44,29.44,29.44,29.44,111
2020-11-18 13:10:00-05:00,29.44,29.45,29.44,29.45,303
2020-11-18 13:12:00-05:00,29.43,29.45,29.39,29.39,2909
2020-11-18 13:14:00-05:00,29.42,29.42,29.39,29.39,308
2020-11-18 13:16:00-05:00,29.45,29.45,29.425,29.45,703
2020-11-18 13:18:00-05:00,29.45,29.45,29.425,29.425,749
2020-11-18 13:20:00-05:00,29.45,29.45,29.44,29.45,346
2020-11-18 13:22:00-05:00,29.45,29.45,29.425,29.425,549
2020-11-18 13:24:00-05:00,29.45,29.45,29.44,29.44,349
2020-11-18 13:26:00-05:00,29.44,29.44,29.4,29.42,3336
2020-11-18 13:28:00-05:00,29.42,29.42,29.42,29.42,222
2020-11-18 13:30:00-05:00,29.41,29.42,29.39,29.4,3899
2020-11-18 13:32:00-05:00,29.37,29.37,29.37,29.37,114
2020-11-18 13:34:00-05:00,29.37,29.41,29.37,29.38,1848
2020-11-18 13:36:00-05:00,29.38,29.38,29.37,29.37,434
2020-11-18 13:38:00-05:00,29.39,29.4,29.39,29.4,601
2020-11-18 13:40:00-05:00,29.38,29.38,29.38,29.38,100
2020-11-18 13:42:00-05:00,29.37,29.37,29.37,29.37,312
2020-11-18 13:44:00-05:00,29.4,29.4,29.37,29.375,905
2020-11-18 13:46:00-05:00,29.36,29.37,29.3575,29.3575,2599
2020-11-18 13:48:00-05:00,29.34,29.34,29.3,29.3,1603
2020-11-18 13:50:00-05:00,29.29,29.29,29.26,29.26,474
2020-11-18 13:54:00-05:00,29.26,29.26,29.25,29.25,458
2020-11-18 14:00:00-05:00,29.3,29.34,29.25,29.33,3348
2020-11-18 14:02:00-05:00,29.32,29.41,29.32,29.4,2017
2020-11-18 14:04:00-05:00,29.37,29.43,29.36,29.37,4058
2020-11-18 14:06:00-05:00,29.36,29.405,29.36,29.4,1315
2020-11-18 14:08:00-05:00,29.36,29.36,29.36,29.36,1376
2020-11-18 14:10:00-05:00,29.36,29.37,29.215,29.245,3255
2020-11-18 14:16:00-05:00,29.19,29.235,29.19,29.235,980
2020-11-18 14:18:00-05:00,29.27,29.3,29.27,29.3,931
