date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,53.39,53.55,53.35,53.55,9709
2020-11-18 09:32:00-05:00,53.54,53.6,53.3457,53.535,1651
2020-11-18 09:34:00-05:00,53.513,53.93,53.5128,53.89,6651
2020-11-18 09:36:00-05:00,53.85,53.9,53.82,53.84,1238
2020-11-18 09:38:00-05:00,53.815,53.825,53.66,53.66,2914
2020-11-18 09:40:00-05:00,53.73,53.85,53.73,53.85,1447
2020-11-18 09:42:00-05:00,53.8,53.8,53.79,53.8,834
2020-11-18 09:44:00-05:00,53.55,53.55,53.54,53.54,692
2020-11-18 09:46:00-05:00,53.54,53.54,53.53,53.53,1418
2020-11-18 09:48:00-05:00,53.44,53.44,53.44,53.44,359
2020-11-18 09:50:00-05:00,53.36,53.36,53.33,53.33,818
2020-11-18 09:52:00-05:00,53.38,53.52,53.28,53.5,3428
2020-11-18 09:54:00-05:00,53.58,53.6,53.43,53.49,3675
2020-11-18 09:56:00-05:00,53.455,53.59,53.435,53.435,6574
2020-11-18 09:58:00-05:00,53.405,53.49,53.29,53.445,6702
2020-11-18 10:00:00-05:00,53.54,53.63,53.445,53.495,5689
2020-11-18 10:02:00-05:00,53.495,53.59,53.495,53.5774,2299
2020-11-18 10:04:00-05:00,53.7,53.7,53.66,53.665,2907
2020-11-18 10:06:00-05:00,53.715,53.715,53.715,53.715,1023
2020-11-18 10:08:00-05:00,53.5,53.53,53.44,53.53,1264
2020-11-18 10:10:00-05:00,53.6,53.64,53.54,53.59,1044
2020-11-18 10:12:00-05:00,53.48,53.48,53.48,53.48,627
2020-11-18 10:14:00-05:00,53.76,53.77,53.68,53.68,798
2020-11-18 10:16:00-05:00,53.56,53.56,53.56,53.56,695
2020-11-18 10:18:00-05:00,53.57,53.5983,53.51,53.5983,2292
2020-11-18 10:22:00-05:00,53.54,53.59,53.465,53.465,2441
2020-11-18 10:24:00-05:00,53.56,53.65,53.5,53.5,3725
2020-11-18 10:26:00-05:00,53.37,53.39,53.37,53.39,1009
2020-11-18 10:28:00-05:00,53.27,53.27,53.19,53.19,864
2020-11-18 10:30:00-05:00,53.13,53.2,53.12,53.12,2412
2020-11-18 10:32:00-05:00,53.0,53.0,52.985,52.985,1050
2020-11-18 10:34:00-05:00,53.05,53.06,52.99,52.99,720
2020-11-18 10:36:00-05:00,53.045,53.045,53.005,53.015,3518
2020-11-18 10:38:00-05:00,53.025,53.06,53.015,53.06,1303
2020-11-18 10:40:00-05:00,53.07,53.07,53.01,53.01,393
2020-11-18 10:42:00-05:00,53.0,53.08,53.0,53.055,798
2020-11-18 10:44:00-05:00,53.08,53.27,53.08,53.27,1176
2020-11-18 10:46:00-05:00,53.34,53.49,53.34,53.47,1161
2020-11-18 10:52:00-05:00,53.355,53.355,53.355,53.355,127
2020-11-18 10:54:00-05:00,53.18,53.18,53.18,53.18,1022
2020-11-18 10:56:00-05:00,53.265,53.265,53.265,53.265,198
2020-11-18 10:58:00-05:00,53.335,53.335,53.335,53.335,535
2020-11-18 11:00:00-05:00,53.39,53.46,53.34,53.34,1238
2020-11-18 11:02:00-05:00,53.33,53.33,53.31,53.31,786
2020-11-18 11:04:00-05:00,53.3,53.31,53.3,53.31,1049
2020-11-18 11:06:00-05:00,53.265,53.265,53.265,53.265,277
2020-11-18 11:10:00-05:00,53.192,53.2,53.19,53.2,1772
2020-11-18 11:12:00-05:00,53.205,53.205,53.205,53.205,215
2020-11-18 11:14:00-05:00,53.26,53.26,53.16,53.16,578
