date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,1.8077,1.815,1.76,1.7616,1190760
2020-11-18 09:32:00-05:00,1.765,1.78,1.76,1.7616,171610
2020-11-18 09:34:00-05:00,1.77,1.78,1.76,1.7653,134669
2020-11-18 09:36:00-05:00,1.7612,1.77,1.74,1.74,184034
2020-11-18 09:38:00-05:00,1.75,1.75,1.73,1.735,128984
2020-11-18 09:40:00-05:00,1.73,1.74,1.73,1.73,101377
2020-11-18 09:42:00-05:00,1.73,1.74,1.71,1.72,222573
2020-11-18 09:44:00-05:00,1.7299,1.73,1.67,1.6781,364889
2020-11-18 09:46:00-05:00,1.6766,1.7,1.67,1.6995,172735
2020-11-18 09:48:00-05:00,1.7,1.74,1.66,1.6612,285618
2020-11-18 09:50:00-05:00,1.6633,1.69,1.66,1.69,127247
2020-11-18 09:52:00-05:00,1.685,1.69,1.67,1.685,52227
2020-11-18 09:54:00-05:00,1.685,1.69,1.67,1.685,36700
2020-11-18 09:56:00-05:00,1.68,1.69,1.68,1.68,34793
2020-11-18 09:58:00-05:00,1.68,1.685,1.65,1.65,184377
2020-11-18 10:00:00-05:00,1.65,1.72,1.65,1.717,235170
2020-11-18 10:02:00-05:00,1.7187,1.72,1.71,1.7138,35652
2020-11-18 10:04:00-05:00,1.71,1.711,1.69,1.6901,76333
2020-11-18 10:06:00-05:00,1.6977,1.7,1.69,1.69,17772
2020-11-18 10:08:00-05:00,1.695,1.7,1.69,1.6901,44637
2020-11-18 10:10:00-05:00,1.695,1.7,1.665,1.67,52150
2020-11-18 10:12:00-05:00,1.665,1.67,1.66,1.6602,49033
2020-11-18 10:14:00-05:00,1.665,1.67,1.65,1.6599,119889
2020-11-18 10:16:00-05:00,1.655,1.67,1.655,1.66,31454
2020-11-18 10:18:00-05:00,1.67,1.69,1.665,1.6834,47671
2020-11-18 10:20:00-05:00,1.685,1.69,1.68,1.685,38581
2020-11-18 10:22:00-05:00,1.685,1.685,1.66,1.6645,59488
2020-11-18 10:24:00-05:00,1.66,1.6699,1.66,1.66,40647
2020-11-18 10:26:00-05:00,1.6684,1.67,1.66,1.66,28994
2020-11-18 10:28:00-05:00,1.66,1.665,1.65,1.66,67253
2020-11-18 10:30:00-05:00,1.6601,1.665,1.65,1.655,54813
2020-11-18 10:32:00-05:00,1.6584,1.66,1.65,1.66,39863
2020-11-18 10:34:00-05:00,1.66,1.68,1.66,1.67,27284
2020-11-18 10:36:00-05:00,1.67,1.67,1.66,1.66,17543
2020-11-18 10:38:00-05:00,1.665,1.67,1.66,1.665,23934
2020-11-18 10:40:00-05:00,1.67,1.68,1.66,1.68,30894
2020-11-18 10:42:00-05:00,1.6747,1.68,1.67,1.6759,51685
2020-11-18 10:44:00-05:00,1.673,1.68,1.65,1.65,74991
2020-11-18 10:46:00-05:00,1.65,1.665,1.65,1.665,45473
