date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,73.58,73.58,73.58,73.58,0
2020-11-18 09:32:00-05:00,73.815,73.815,73.815,73.815,100
2020-11-18 09:34:00-05:00,73.385,73.385,73.385,73.385,12519
2020-11-18 09:36:00-05:00,73.515,73.515,73.515,73.515,6552
2020-11-18 10:00:00-05:00,72.8,72.8,72.76,72.76,594
2020-11-18 10:12:00-05:00,72.79,72.92,72.77,72.92,1210
2020-11-18 10:16:00-05:00,72.57,72.75,72.57,72.58,388
2020-11-18 10:44:00-05:00,72.78,72.79,72.68,72.685,2510
2020-11-18 10:50:00-05:00,72.61,72.61,72.61,72.61,521
2020-11-18 10:58:00-05:00,72.57,72.57,72.51,72.51,371
2020-11-18 11:04:00-05:00,72.46,72.46,72.46,72.46,125
2020-11-18 11:12:00-05:00,72.58,72.64,72.545,72.64,1142
2020-11-18 11:20:00-05:00,72.63,72.63,72.63,72.63,130
2020-11-18 11:22:00-05:00,72.5077,72.5077,72.5077,72.5077,229
2020-11-18 11:30:00-05:00,72.59,72.59,72.59,72.59,472
2020-11-18 11:34:00-05:00,72.5,72.5,72.5,72.5,178
2020-11-18 11:40:00-05:00,72.42,72.42,72.42,72.42,278
2020-11-18 11:44:00-05:00,72.4,72.4,72.33,72.33,690
2020-11-18 11:46:00-05:00,72.4,72.41,72.33,72.33,1192
2020-11-18 11:54:00-05:00,72.25,72.25,72.25,72.25,448
2020-11-18 12:00:00-05:00,72.18,72.18,72.18,72.18,104
2020-11-18 12:02:00-05:00,72.16,72.16,72.16,72.16,202
2020-11-18 12:04:00-05:00,72.17,72.17,72.17,72.17,160
2020-11-18 12:06:00-05:00,72.25,72.25,72.25,72.25,437
2020-11-18 12:08:00-05:00,72.32,72.32,72.32,72.32,425
2020-11-18 12:18:00-05:00,72.14,72.14,72.115,72.115,632
2020-11-18 12:20:00-05:00,72.02,72.02,72.02,72.02,109
2020-11-18 12:22:00-05:00,72.13,72.14,72.13,72.14,500
2020-11-18 12:24:00-05:00,72.01,72.01,71.99,71.99,1112
2020-11-18 12:34:00-05:00,71.89,71.96,71.89,71.96,1043
2020-11-18 12:42:00-05:00,71.935,71.99,71.935,71.99,796
2020-11-18 12:46:00-05:00,71.89,71.89,71.89,71.89,328
2020-11-18 12:50:00-05:00,71.96,71.96,71.96,71.96,180
2020-11-18 12:52:00-05:00,71.88,71.88,71.85,71.85,803
2020-11-18 12:54:00-05:00,71.73,71.73,71.73,71.73,136
2020-11-18 13:02:00-05:00,71.82,71.82,71.765,71.765,440
2020-11-18 13:04:00-05:00,71.83,71.83,71.83,71.83,402
2020-11-18 13:06:00-05:00,71.9,71.9,71.9,71.9,224
2020-11-18 13:12:00-05:00,71.83,71.83,71.83,71.83,404
2020-11-18 13:18:00-05:00,71.86,71.86,71.78,71.78,1377
2020-11-18 13:20:00-05:00,71.825,71.825,71.825,71.825,205
2020-11-18 13:24:00-05:00,71.88,71.92,71.85,71.85,843
2020-11-18 13:26:00-05:00,71.84,71.84,71.82,71.82,204
2020-11-18 13:30:00-05:00,71.84,71.84,71.84,71.84,138
2020-11-18 13:34:00-05:00,71.83,71.87,71.82,71.87,354
2020-11-18 13:38:00-05:00,71.79,71.79,71.64,71.64,1095
2020-11-18 13:46:00-05:00,71.54,71.54,71.5,71.5,507
2020-11-18 13:48:00-05:00,71.5,71.5,71.5,71.5,521
2020-11-18 13:50:00-05:00,71.435,71.435,71.435,71.435,128
2020-11-18 13:54:00-05:00,71.33,71.46,71.33,71.46,318
2020-11-18 13:58:00-05:00,71.425,71.425,71.36,71.36,314
2020-11-18 14:00:00-05:00,71.5,71.5,71.5,71.5,928
2020-11-18 14:06:00-05:00,71.63,71.64,71.63,71.64,308
2020-11-18 14:08:00-05:00,71.54,71.54,71.54,71.54,234
2020-11-18 14:10:00-05:00,71.57,71.57,71.57,71.57,423
2020-11-18 14:16:00-05:00,71.45,71.45,71.43,71.43,759
2020-11-18 14:20:00-05:00,71.25,71.25,71.25,71.25,582
2020-11-18 14:26:00-05:00,71.2,71.2,71.19,71.19,368
2020-11-18 14:30:00-05:00,71.14,71.14,71.14,71.14,614
2020-11-18 14:32:00-05:00,71.125,71.22,71.125,71.22,474
2020-11-18 14:38:00-05:00,71.09,71.15,71.09,71.15,305
2020-11-18 14:40:00-05:00,71.1,71.15,71.1,71.15,1347
2020-11-18 14:52:00-05:00,71.295,71.295,71.295,71.295,627
2020-11-18 14:54:00-05:00,71.21,71.21,71.21,71.21,144
2020-11-18 14:56:00-05:00,71.2,71.34,71.2,71.34,586
2020-11-18 14:58:00-05:00,71.2,71.2,71.2,71.2,498
2020-11-18 15:02:00-05:00,71.13,71.13,71.08,71.08,378
2020-11-18 15:06:00-05:00,70.91,71.05,70.91,71.05,833
2020-11-18 15:08:00-05:00,71.06,71.06,71.06,71.06,165
2020-11-18 15:12:00-05:00,71.12,71.12,71.12,71.12,571
2020-11-18 15:20:00-05:00,70.85,70.85,70.84,70.84,376
2020-11-18 15:22:00-05:00,70.72,70.79,70.6,70.79,966
2020-11-18 15:26:00-05:00,70.79,70.8,70.79,70.8,532
2020-11-18 15:30:00-05:00,70.84,70.84,70.84,70.84,261
2020-11-18 15:32:00-05:00,70.8,70.83,70.79,70.83,660
2020-11-18 15:34:00-05:00,70.83,70.83,70.82,70.82,387
2020-11-18 15:36:00-05:00,70.7,70.7,70.65,70.65,2495
2020-11-18 15:38:00-05:00,70.56,70.75,70.55,70.55,487
2020-11-18 15:40:00-05:00,70.54,70.54,70.54,70.54,326
2020-11-18 15:42:00-05:00,70.56,70.62,70.56,70.56,855
2020-11-18 15:44:00-05:00,70.68,70.71,70.62,70.71,1032
2020-11-18 15:46:00-05:00,70.72,70.72,70.67,70.72,444
2020-11-18 15:50:00-05:00,70.61,70.61,70.38,70.38,4648
2020-11-18 15:52:00-05:00,70.29,70.35,70.1,70.1,854
2020-11-18 15:54:00-05:00,70.02,70.19,70.01,70.07,5701
2020-11-18 15:56:00-05:00,70.185,70.23,70.185,70.23,1383
2020-11-18 15:58:00-05:00,70.35,70.38,70.24,70.26,2038
2020-11-19 09:30:00-05:00,70.09,70.7,69.71,69.71,850
2020-11-19 09:34:00-05:00,69.52,69.52,69.52,69.52,233
2020-11-19 09:50:00-05:00,70.4,70.4,70.4,70.4,317
2020-11-19 09:54:00-05:00,70.23,70.23,70.06,70.06,509
2020-11-19 09:56:00-05:00,69.78,69.78,69.78,69.78,166
2020-11-19 10:04:00-05:00,69.53,69.53,69.5,69.5,537
2020-11-19 10:06:00-05:00,69.43,69.43,69.43,69.43,577
2020-11-19 10:08:00-05:00,69.45,69.45,69.43,69.43,254
2020-11-19 10:12:00-05:00,69.08,69.08,69.05,69.05,531
2020-11-19 10:24:00-05:00,69.06,69.06,68.93,68.93,802
2020-11-19 10:26:00-05:00,68.92,68.92,68.91,68.91,631
2020-11-19 10:34:00-05:00,68.91,69.2,68.91,69.2,628
2020-11-19 10:36:00-05:00,68.94,69.15,68.94,69.15,224
2020-11-19 10:38:00-05:00,69.0,69.27,69.0,69.27,635
2020-11-19 10:42:00-05:00,69.42,69.45,69.42,69.45,415
2020-11-19 10:44:00-05:00,69.3989,69.3989,69.3989,69.3989,131
2020-11-19 10:46:00-05:00,69.8,70.23,69.74,69.82,1919
2020-11-19 10:48:00-05:00,69.74,69.75,69.74,69.75,220
2020-11-19 10:54:00-05:00,69.65,69.65,69.65,69.65,101
2020-11-19 10:56:00-05:00,69.22,69.65,69.22,69.65,291
2020-11-19 11:02:00-05:00,69.56,69.56,69.56,69.56,102
2020-11-19 11:04:00-05:00,69.58,69.58,69.58,69.58,319
2020-11-19 11:08:00-05:00,69.285,69.4684,69.285,69.4684,1166
2020-11-19 11:22:00-05:00,69.58,69.58,69.58,69.58,221
