date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,84.93,85.53,84.87,85.28,37226
2020-11-18 09:32:00-05:00,85.28,85.34,84.98,85.0,7210
2020-11-18 09:34:00-05:00,85.16,85.5,85.03,85.43,11759
2020-11-18 09:36:00-05:00,85.42,85.46,85.08,85.17,4584
2020-11-18 09:38:00-05:00,85.17,85.25,85.03,85.23,10392
2020-11-18 09:40:00-05:00,85.16,85.28,85.13,85.21,5856
2020-11-18 09:42:00-05:00,85.22,85.31,85.18,85.31,6649
2020-11-18 09:44:00-05:00,85.33,85.64,85.33,85.64,3256
2020-11-18 09:46:00-05:00,85.7,85.74,85.6,85.62,7883
2020-11-18 09:48:00-05:00,85.6096,85.66,85.6096,85.62,1775
2020-11-18 09:50:00-05:00,85.59,85.63,85.56,85.56,5781
2020-11-18 09:52:00-05:00,85.525,85.525,85.38,85.38,1969
2020-11-18 09:54:00-05:00,85.395,85.395,85.335,85.335,1350
2020-11-18 09:56:00-05:00,85.25,85.33,85.19,85.31,2870
2020-11-18 09:58:00-05:00,85.395,85.49,85.34,85.49,2421
2020-11-18 10:00:00-05:00,85.46,85.46,85.36,85.37,4366
2020-11-18 10:02:00-05:00,85.35,85.37,85.28,85.36,2905
2020-11-18 10:04:00-05:00,85.4,85.4,85.33,85.33,2119
2020-11-18 10:06:00-05:00,85.3,85.34,85.21,85.255,4674
2020-11-18 10:08:00-05:00,85.22,85.22,85.17,85.2,1410
2020-11-18 10:10:00-05:00,85.17,85.2,85.12,85.2,3959
2020-11-18 10:12:00-05:00,85.195,85.195,85.11,85.11,2798
2020-11-18 10:14:00-05:00,85.13,85.2,85.13,85.16,2620
2020-11-18 10:16:00-05:00,85.19,85.19,85.15,85.19,516
2020-11-18 10:18:00-05:00,85.165,85.24,85.12,85.24,5455
2020-11-18 10:20:00-05:00,85.27,85.38,85.25,85.35,4486
2020-11-18 10:22:00-05:00,85.43,85.52,85.43,85.4926,6182
2020-11-18 10:24:00-05:00,85.5052,85.54,85.4885,85.52,2292
2020-11-18 10:26:00-05:00,85.53,85.58,85.53,85.58,1662
2020-11-18 10:28:00-05:00,85.61,85.67,85.605,85.65,1893
2020-11-18 10:30:00-05:00,85.64,85.66,85.62,85.66,4969
2020-11-18 10:32:00-05:00,85.64,85.74,85.64,85.74,3529
2020-11-18 10:34:00-05:00,85.73,85.84,85.73,85.8043,8082
2020-11-18 10:36:00-05:00,85.82,86.03,85.8,85.99,25581
2020-11-18 10:38:00-05:00,85.97,86.02,85.875,85.88,15590
2020-11-18 10:40:00-05:00,85.87,85.92,85.87,85.92,2068
2020-11-18 10:42:00-05:00,85.91,85.92,85.87,85.92,5385
2020-11-18 10:44:00-05:00,85.92,85.94,85.86,85.865,4482
2020-11-18 10:46:00-05:00,85.83,85.83,85.68,85.76,11489
2020-11-18 10:48:00-05:00,85.775,85.845,85.75,85.845,1470
2020-11-18 10:50:00-05:00,85.845,85.87,85.8,85.8,2008
2020-11-18 10:52:00-05:00,85.8,85.83,85.78,85.795,2618
2020-11-18 10:54:00-05:00,85.73,85.73,85.67,85.685,5370
2020-11-18 10:56:00-05:00,85.71,85.73,85.67,85.67,3672
2020-11-18 10:58:00-05:00,85.68,85.685,85.64,85.64,1825
2020-11-18 11:00:00-05:00,85.64,85.69,85.64,85.67,3212
2020-11-18 11:02:00-05:00,85.64,85.65,85.61,85.635,2754
2020-11-18 11:04:00-05:00,85.635,85.635,85.6,85.6,4333
2020-11-18 11:06:00-05:00,85.61,85.62,85.58,85.62,3747
2020-11-18 11:08:00-05:00,85.62,85.62,85.5,85.52,4048
2020-11-18 11:10:00-05:00,85.5,85.51,85.45,85.45,4606
2020-11-18 11:12:00-05:00,85.445,85.45,85.4101,85.45,10843
2020-11-18 11:14:00-05:00,85.44,85.44,85.33,85.33,7723
2020-11-18 11:16:00-05:00,85.32,85.32,85.13,85.22,7074
2020-11-18 11:18:00-05:00,85.22,85.27,85.2,85.21,2484
2020-11-18 11:20:00-05:00,85.21,85.21,85.11,85.11,1849
2020-11-18 11:22:00-05:00,85.12,85.15,85.08,85.15,2401
2020-11-18 11:24:00-05:00,85.13,85.245,85.11,85.245,3578
2020-11-18 11:26:00-05:00,85.2627,85.285,85.2565,85.26,2354
2020-11-18 11:28:00-05:00,85.26,85.28,85.23,85.23,2214
2020-11-18 11:30:00-05:00,85.29,85.305,85.25,85.28,1546
2020-11-18 11:32:00-05:00,85.3,85.305,85.25,85.305,1686
2020-11-18 11:34:00-05:00,85.3,85.33,85.29,85.33,3385
2020-11-18 11:36:00-05:00,85.37,85.41,85.37,85.37,1729
2020-11-18 11:38:00-05:00,85.37,85.49,85.37,85.49,4963
2020-11-18 11:40:00-05:00,85.48,85.48,85.4,85.4,5379
2020-11-18 11:42:00-05:00,85.39,85.42,85.33,85.39,5180
2020-11-18 11:44:00-05:00,85.36,85.375,85.27,85.375,5865
2020-11-18 11:46:00-05:00,85.38,85.38,85.285,85.285,2615
2020-11-18 11:48:00-05:00,85.22,85.225,85.2198,85.22,996
2020-11-18 11:50:00-05:00,85.22,85.35,85.22,85.35,3230
2020-11-18 11:52:00-05:00,85.3,85.34,85.265,85.265,3901
2020-11-18 11:54:00-05:00,85.3,85.46,85.29,85.44,83365
2020-11-18 11:56:00-05:00,85.46,85.48,85.4453,85.47,3001
2020-11-18 11:58:00-05:00,85.455,85.54,85.36,85.53,25187
2020-11-18 12:00:00-05:00,85.54,85.56,85.48,85.52,3459
2020-11-18 12:02:00-05:00,85.56,85.79,85.56,85.7,11438
2020-11-18 12:04:00-05:00,85.71,85.71,85.57,85.595,8459
2020-11-18 12:06:00-05:00,85.62,85.66,85.59,85.595,4385
2020-11-18 12:08:00-05:00,85.59,85.595,85.55,85.58,2354
2020-11-18 12:10:00-05:00,85.58,85.585,85.55,85.585,1942
2020-11-18 12:12:00-05:00,85.585,85.585,85.52,85.535,2895
2020-11-18 12:14:00-05:00,85.515,85.56,85.48,85.48,3986
2020-11-18 12:16:00-05:00,85.48,85.48,85.39,85.42,9714
2020-11-18 12:18:00-05:00,85.42,85.49,85.405,85.45,5694
2020-11-18 12:20:00-05:00,85.47,85.47,85.37,85.41,4442
2020-11-18 12:22:00-05:00,85.39,85.39,85.33,85.33,2497
2020-11-18 12:24:00-05:00,85.32,85.32,85.295,85.295,733
2020-11-18 12:26:00-05:00,85.28,85.28,85.19,85.21,3477
2020-11-18 12:28:00-05:00,85.21,85.24,85.21,85.21,1750
2020-11-18 12:30:00-05:00,85.18,85.21,85.0,85.01,7939
2020-11-18 12:32:00-05:00,85.03,85.07,85.03,85.06,6409
2020-11-18 12:34:00-05:00,85.06,85.08,85.05,85.06,1615
2020-11-18 12:36:00-05:00,85.05,85.09,85.05,85.09,1571
2020-11-18 12:38:00-05:00,85.08,85.09,85.02,85.02,4328
2020-11-18 12:40:00-05:00,85.03,85.03,84.925,84.925,4608
2020-11-18 12:42:00-05:00,84.92,84.92,84.87,84.87,2967
2020-11-18 12:44:00-05:00,84.84,84.92,84.84,84.88,4082
2020-11-18 12:46:00-05:00,84.87,84.88,84.85,84.86,2625
2020-11-18 12:48:00-05:00,84.85,84.94,84.82,84.87,4001
2020-11-18 12:50:00-05:00,84.9,84.93,84.88,84.92,3937
2020-11-18 12:52:00-05:00,84.9,84.91,84.88,84.9,1619
2020-11-18 12:54:00-05:00,84.89,84.89,84.83,84.83,5978
2020-11-18 12:56:00-05:00,84.8249,84.85,84.8,84.85,4285
2020-11-18 12:58:00-05:00,84.83,84.83,84.76,84.76,2221
2020-11-18 13:00:00-05:00,84.77,84.86,84.77,84.86,3222
2020-11-18 13:02:00-05:00,84.83,84.95,84.83,84.91,14485
2020-11-18 13:04:00-05:00,84.91,84.94,84.88,84.92,4876
2020-11-18 13:06:00-05:00,84.94,84.985,84.92,84.985,4592
2020-11-18 13:08:00-05:00,84.975,85.01,84.96,84.97,3497
2020-11-18 13:10:00-05:00,85.0,85.06,84.99,84.99,4410
2020-11-18 13:12:00-05:00,85.02,85.02,84.925,84.965,3990
2020-11-18 13:14:00-05:00,84.98,84.98,84.96,84.96,1302
2020-11-18 13:16:00-05:00,84.97,85.07,84.95,85.01,5325
2020-11-18 13:18:00-05:00,85.04,85.05,85.02,85.05,922
2020-11-18 13:20:00-05:00,85.05,85.1,85.045,85.08,3587
2020-11-18 13:22:00-05:00,85.04,85.09,85.03,85.03,2823
2020-11-18 13:24:00-05:00,85.04,85.055,84.9,84.9,5269
2020-11-18 13:26:00-05:00,84.93,84.96,84.91,84.94,3404
2020-11-18 13:28:00-05:00,84.9542,85.0,84.9542,84.97,3210
2020-11-18 13:30:00-05:00,84.97,85.005,84.94,85.0,2698
2020-11-18 13:32:00-05:00,85.03,85.03,84.98,85.01,3401
2020-11-18 13:34:00-05:00,85.01,85.08,85.0,85.08,6796
2020-11-18 13:36:00-05:00,85.03,85.06,85.0,85.03,3548
2020-11-18 13:38:00-05:00,85.02,85.06,85.02,85.054,1733
2020-11-18 13:40:00-05:00,85.05,85.16,85.05,85.1,8688
2020-11-18 13:42:00-05:00,85.1198,85.14,85.11,85.12,3002
2020-11-18 13:44:00-05:00,85.12,85.16,85.03,85.03,6852
2020-11-18 13:46:00-05:00,85.035,85.035,84.89,84.97,6414
2020-11-18 13:48:00-05:00,84.955,84.98,84.92,84.975,3751
2020-11-18 13:50:00-05:00,84.975,84.975,84.87,84.9,7258
2020-11-18 13:52:00-05:00,84.89,84.915,84.87,84.915,4437
2020-11-18 13:54:00-05:00,84.9,84.9,84.84,84.8658,4188
2020-11-18 13:56:00-05:00,84.855,84.87,84.78,84.87,3707
2020-11-18 13:58:00-05:00,84.88,84.93,84.88,84.9,1263
2020-11-18 14:00:00-05:00,84.87,84.93,84.86,84.9,4485
2020-11-18 14:02:00-05:00,84.924,84.94,84.88,84.94,9013
2020-11-18 14:04:00-05:00,84.93,84.93,84.85,84.895,7113
2020-11-18 14:06:00-05:00,84.9,84.93,84.9,84.91,2847
2020-11-18 14:08:00-05:00,84.915,84.915,84.815,84.865,8699
2020-11-18 14:10:00-05:00,84.85,84.85,84.75,84.795,3825
2020-11-18 14:12:00-05:00,84.79,84.79,84.68,84.705,6328
2020-11-18 14:14:00-05:00,84.705,84.72,84.69,84.7117,4971
2020-11-18 14:16:00-05:00,84.71,84.71,84.59,84.66,7679
2020-11-18 14:18:00-05:00,84.66,84.67,84.59,84.59,6135
2020-11-18 14:20:00-05:00,84.59,84.59,84.555,84.585,3311
2020-11-18 14:22:00-05:00,84.6,84.62,84.39,84.46,11522
2020-11-18 14:24:00-05:00,84.475,84.475,84.41,84.41,3913
2020-11-18 14:26:00-05:00,84.42,84.4231,84.35,84.38,6458
2020-11-18 14:28:00-05:00,84.37,84.41,84.35,84.38,6326
2020-11-18 14:30:00-05:00,84.375,84.375,84.33,84.37,3390
2020-11-18 14:32:00-05:00,84.38,84.56,84.38,84.56,6402
2020-11-18 14:34:00-05:00,84.57,84.57,84.48,84.5,6436
2020-11-18 14:36:00-05:00,84.4882,84.4956,84.46,84.47,5898
2020-11-18 14:38:00-05:00,84.475,84.49,84.47,84.485,2525
2020-11-18 14:40:00-05:00,84.51,84.525,84.5,84.52,3954
2020-11-18 14:42:00-05:00,84.51,84.57,84.49,84.57,3374
2020-11-18 14:44:00-05:00,84.57,84.66,84.57,84.66,3493
2020-11-18 14:46:00-05:00,84.64,84.65,84.6,84.6,5651
2020-11-18 14:48:00-05:00,84.61,84.61,84.56,84.57,3664
2020-11-18 14:50:00-05:00,84.58,84.59,84.54,84.555,3778
2020-11-18 14:52:00-05:00,84.54,84.56,84.5386,84.56,4263
2020-11-18 14:54:00-05:00,84.56,84.6,84.56,84.585,4244
2020-11-18 14:56:00-05:00,84.6,84.61,84.56,84.6,5954
2020-11-18 14:58:00-05:00,84.57,84.575,84.52,84.52,3327
2020-11-18 15:00:00-05:00,84.49,84.53,84.48,84.53,4841
2020-11-18 15:02:00-05:00,84.505,84.515,84.42,84.46,4738
2020-11-18 15:04:00-05:00,84.48,84.49,84.45,84.475,5735
2020-11-18 15:06:00-05:00,84.47,84.48,84.44,84.46,5583
2020-11-18 15:08:00-05:00,84.47,84.565,84.47,84.565,8951
2020-11-18 15:10:00-05:00,84.565,84.7,84.565,84.7,6195
2020-11-18 15:12:00-05:00,84.725,84.78,84.67,84.69,11161
2020-11-18 15:14:00-05:00,84.66,84.66,84.615,84.615,1874
2020-11-18 15:16:00-05:00,84.615,84.615,84.55,84.56,2904
2020-11-18 15:18:00-05:00,84.545,84.545,84.47,84.47,5337
2020-11-18 15:20:00-05:00,84.48,84.56,84.44,84.56,5283
2020-11-18 15:22:00-05:00,84.57,84.66,84.55,84.66,2987
2020-11-18 15:24:00-05:00,84.635,84.67,84.55,84.55,9150
2020-11-18 15:26:00-05:00,84.57,84.59,84.485,84.515,4114
2020-11-18 15:28:00-05:00,84.52,84.52,84.46,84.48,4416
2020-11-18 15:30:00-05:00,84.47,84.53,84.32,84.38,8461
2020-11-18 15:32:00-05:00,84.35,84.415,84.35,84.4,5799
2020-11-18 15:34:00-05:00,84.43,84.52,84.43,84.46,13776
2020-11-18 15:36:00-05:00,84.45,84.45,84.25,84.27,12770
2020-11-18 15:38:00-05:00,84.29,84.31,84.24,84.24,11276
2020-11-18 15:40:00-05:00,84.235,84.245,84.14,84.14,15723
2020-11-18 15:42:00-05:00,84.13,84.31,84.12,84.3,10808
2020-11-18 15:44:00-05:00,84.27,84.275,84.17,84.23,10309
2020-11-18 15:46:00-05:00,84.23,84.318,84.2,84.31,15629
2020-11-18 15:48:00-05:00,84.31,84.33,84.19,84.26,31971
2020-11-18 15:50:00-05:00,84.28,84.35,84.17,84.18,33105
2020-11-18 15:52:00-05:00,84.175,84.25,84.13,84.14,28685
2020-11-18 15:54:00-05:00,84.15,84.33,84.135,84.3,57229
2020-11-18 15:56:00-05:00,84.31,84.32,84.14,84.14,38269
2020-11-18 15:58:00-05:00,84.16,84.29,84.15,84.21,110070
2020-11-19 09:30:00-05:00,83.14,83.39,83.12,83.2006,62806
2020-11-19 09:32:00-05:00,83.265,83.285,83.14,83.26,13330
2020-11-19 09:34:00-05:00,83.19,83.39,83.11,83.27,20276
2020-11-19 09:36:00-05:00,83.27,83.5,83.2,83.37,13676
