date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,1.94,1.965,1.94,1.965,70820
2020-11-18 09:32:00-05:00,1.9622,1.97,1.95,1.9616,14657
2020-11-18 09:34:00-05:00,1.965,2.0,1.965,1.995,39915
2020-11-18 09:36:00-05:00,1.9999,2.03,1.9962,2.015,127328
2020-11-18 09:38:00-05:00,2.015,2.04,2.005,2.035,82966
2020-11-18 09:40:00-05:00,2.04,2.05,1.99,2.0,119327
2020-11-18 09:42:00-05:00,2.0,2.01,1.99,2.0,50891
2020-11-18 09:44:00-05:00,2.0,2.0086,1.995,2.0,40423
2020-11-18 09:46:00-05:00,2.0,2.009,2.0,2.005,7982
2020-11-18 09:48:00-05:00,2.0017,2.01,2.0,2.0,22953
2020-11-18 09:50:00-05:00,1.995,2.0,1.99,1.99,16204
2020-11-18 09:52:00-05:00,1.99,2.0,1.99,1.99,34161
2020-11-18 09:54:00-05:00,1.995,2.0,1.99,1.99,22791
2020-11-18 09:56:00-05:00,1.99,1.995,1.9797,1.98,68819
2020-11-18 09:58:00-05:00,1.98,1.98,1.97,1.975,10573
2020-11-18 10:00:00-05:00,1.975,1.9799,1.97,1.97,6717
2020-11-18 10:02:00-05:00,1.9765,1.98,1.97,1.97,16592
2020-11-18 10:04:00-05:00,1.97,1.98,1.97,1.97,34553
2020-11-18 10:06:00-05:00,1.976,1.985,1.97,1.98,11794
2020-11-18 10:08:00-05:00,1.98,1.99,1.98,1.985,7959
2020-11-18 10:10:00-05:00,1.98,1.99,1.98,1.98,7898
2020-11-18 10:12:00-05:00,1.985,1.99,1.98,1.985,5620
2020-11-18 10:14:00-05:00,1.99,1.99,1.98,1.98,17951
2020-11-18 10:16:00-05:00,1.99,1.99,1.97,1.975,16994
2020-11-18 10:18:00-05:00,1.97,1.9756,1.97,1.97,7449
2020-11-18 10:20:00-05:00,1.97,1.9789,1.97,1.97,2461
2020-11-18 10:22:00-05:00,1.97,1.975,1.97,1.97,6500
2020-11-18 10:24:00-05:00,1.9799,1.9799,1.97,1.97,13810
2020-11-18 10:26:00-05:00,1.969,1.97,1.96,1.965,8678
2020-11-18 10:28:00-05:00,1.965,1.97,1.96,1.96,4810
2020-11-18 10:30:00-05:00,1.9631,1.9664,1.96,1.96,3980
2020-11-18 10:32:00-05:00,1.9662,1.97,1.96,1.96,7146
2020-11-18 10:34:00-05:00,1.96,1.97,1.96,1.965,8374
2020-11-18 10:36:00-05:00,1.96,1.965,1.96,1.965,1679
2020-11-18 10:38:00-05:00,1.965,1.98,1.96,1.97,24921
2020-11-18 10:40:00-05:00,1.97,1.98,1.97,1.9746,36859
2020-11-18 10:42:00-05:00,1.975,1.98,1.975,1.975,5594
2020-11-18 10:44:00-05:00,1.975,1.98,1.975,1.98,5725
2020-11-18 10:46:00-05:00,1.975,1.98,1.975,1.975,1414
2020-11-18 10:48:00-05:00,1.9783,1.98,1.97,1.975,7381
2020-11-18 10:50:00-05:00,1.975,1.9801,1.97,1.97,46083
2020-11-18 10:52:00-05:00,1.975,1.98,1.97,1.975,4517
2020-11-18 10:54:00-05:00,1.97,1.975,1.97,1.97,5079
2020-11-18 10:56:00-05:00,1.97,1.98,1.97,1.97,7965
2020-11-18 10:58:00-05:00,1.975,1.9751,1.97,1.97,2128
2020-11-18 11:00:00-05:00,1.97,1.975,1.97,1.97,4330
2020-11-18 11:02:00-05:00,1.97,1.9779,1.97,1.97,2563
2020-11-18 11:04:00-05:00,1.98,1.98,1.96,1.96,35720
2020-11-18 11:06:00-05:00,1.97,1.97,1.96,1.96,1742
2020-11-18 11:08:00-05:00,1.96,1.97,1.96,1.96,2847
2020-11-18 11:10:00-05:00,1.96,1.97,1.96,1.96,3215
2020-11-18 11:12:00-05:00,1.96,1.97,1.96,1.96,1659
2020-11-18 11:14:00-05:00,1.9622,1.97,1.96,1.96,2491
2020-11-18 11:16:00-05:00,1.965,1.965,1.96,1.96,1914
2020-11-18 11:18:00-05:00,1.96,1.965,1.96,1.96,2458
2020-11-18 11:20:00-05:00,1.96,1.96,1.96,1.96,398
2020-11-18 11:22:00-05:00,1.9615,1.965,1.96,1.96,4886
2020-11-18 11:24:00-05:00,1.96,1.965,1.955,1.96,27657
2020-11-18 11:26:00-05:00,1.96,1.97,1.96,1.96,12516
2020-11-18 11:28:00-05:00,1.96,1.9651,1.96,1.965,1680
2020-11-18 11:30:00-05:00,1.96,1.9651,1.96,1.96,1354
2020-11-18 11:32:00-05:00,1.9614,1.9615,1.96,1.96,1540
2020-11-18 11:34:00-05:00,1.96,1.965,1.95,1.955,10442
2020-11-18 11:36:00-05:00,1.96,1.969,1.96,1.96,15912
2020-11-18 11:38:00-05:00,1.96,1.96,1.9555,1.9599,7665
2020-11-18 11:40:00-05:00,1.955,1.965,1.955,1.9586,53694
2020-11-18 11:42:00-05:00,1.955,1.96,1.955,1.96,9113
2020-11-18 11:44:00-05:00,1.9594,1.96,1.954,1.96,11374
2020-11-18 11:46:00-05:00,1.96,1.97,1.96,1.9658,19866
2020-11-18 11:48:00-05:00,1.965,1.97,1.965,1.965,19357
2020-11-18 11:50:00-05:00,1.9699,1.9701,1.965,1.9691,52257
2020-11-18 11:52:00-05:00,1.965,1.97,1.96,1.965,3171
2020-11-18 11:54:00-05:00,1.965,1.97,1.96,1.9609,7020
2020-11-18 11:56:00-05:00,1.9612,1.97,1.96,1.965,4110
2020-11-18 12:00:00-05:00,1.96,1.9681,1.96,1.965,17946
2020-11-18 12:02:00-05:00,1.965,1.965,1.96,1.96,1578
2020-11-18 12:04:00-05:00,1.97,1.97,1.96,1.9638,1418
2020-11-18 12:06:00-05:00,1.9699,1.9699,1.96,1.965,9292
2020-11-18 12:08:00-05:00,1.965,1.965,1.96,1.96,3702
2020-11-18 12:10:00-05:00,1.965,1.965,1.9635,1.964,3867
2020-11-18 12:12:00-05:00,1.97,1.97,1.965,1.965,1450
2020-11-18 12:14:00-05:00,1.965,1.965,1.96,1.96,10397
2020-11-18 12:16:00-05:00,1.965,1.965,1.955,1.955,3674
2020-11-18 12:18:00-05:00,1.9548,1.955,1.9548,1.955,1290
2020-11-18 12:20:00-05:00,1.955,1.96,1.955,1.9558,1827
2020-11-18 12:22:00-05:00,1.955,1.96,1.9533,1.96,2916
2020-11-18 12:24:00-05:00,1.955,1.9599,1.9533,1.955,3959
2020-11-18 12:26:00-05:00,1.955,1.96,1.9533,1.96,4668
2020-11-18 12:28:00-05:00,1.95,1.96,1.95,1.955,5010
2020-11-18 12:30:00-05:00,1.955,1.957,1.95,1.955,4844
2020-11-18 12:32:00-05:00,1.96,1.96,1.95,1.95,1632
2020-11-18 12:34:00-05:00,1.96,1.96,1.955,1.9551,1545
2020-11-18 12:36:00-05:00,1.955,1.9593,1.955,1.955,6142
2020-11-18 12:38:00-05:00,1.955,1.96,1.955,1.956,1473
2020-11-18 12:40:00-05:00,1.9538,1.955,1.9538,1.955,628
2020-11-18 12:42:00-05:00,1.955,1.955,1.9501,1.955,1865
2020-11-18 12:44:00-05:00,1.955,1.955,1.955,1.955,930
2020-11-18 12:46:00-05:00,1.955,1.955,1.955,1.955,179
2020-11-18 12:48:00-05:00,1.9592,1.9592,1.95,1.95,662
2020-11-18 12:50:00-05:00,1.9599,1.9599,1.95,1.955,5617
2020-11-18 12:52:00-05:00,1.955,1.96,1.95,1.955,2037
2020-11-18 12:54:00-05:00,1.9501,1.9599,1.9501,1.955,8215
2020-11-18 12:56:00-05:00,1.9578,1.96,1.955,1.9556,3785
2020-11-18 12:58:00-05:00,1.955,1.9599,1.955,1.955,4110
2020-11-18 13:00:00-05:00,1.9528,1.96,1.95,1.96,965
2020-11-18 13:02:00-05:00,1.955,1.96,1.95,1.96,1728
2020-11-18 13:04:00-05:00,1.955,1.9576,1.955,1.955,896
2020-11-18 13:06:00-05:00,1.955,1.955,1.95,1.95,532
2020-11-18 13:08:00-05:00,1.955,1.959,1.95,1.95,7830
2020-11-18 13:10:00-05:00,1.9571,1.9571,1.955,1.955,3568
2020-11-18 13:12:00-05:00,1.9584,1.9584,1.955,1.955,2826
2020-11-18 13:14:00-05:00,1.955,1.9599,1.953,1.9599,1656
2020-11-18 13:16:00-05:00,1.955,1.96,1.955,1.955,1947
2020-11-18 13:18:00-05:00,1.95,1.96,1.95,1.9599,10772
2020-11-18 13:20:00-05:00,1.955,1.955,1.955,1.955,367
2020-11-18 13:22:00-05:00,1.96,1.96,1.96,1.96,22841
2020-11-18 13:24:00-05:00,1.96,1.97,1.96,1.96,18772
2020-11-18 13:26:00-05:00,1.96,1.96,1.95,1.96,6730
2020-11-18 13:28:00-05:00,1.955,1.965,1.953,1.96,87978
2020-11-18 13:30:00-05:00,1.9567,1.97,1.95,1.96,80116
2020-11-18 13:32:00-05:00,1.965,1.9667,1.965,1.9667,2104
2020-11-18 13:34:00-05:00,1.97,1.97,1.96,1.965,16490
2020-11-18 13:36:00-05:00,1.9643,1.965,1.9616,1.965,2956
2020-11-18 13:38:00-05:00,1.97,1.97,1.96,1.96,1261
2020-11-18 13:40:00-05:00,1.965,1.97,1.96,1.96,8886
2020-11-18 13:42:00-05:00,1.9651,1.97,1.965,1.97,3238
2020-11-18 13:44:00-05:00,1.97,1.97,1.9614,1.97,4591
2020-11-18 13:46:00-05:00,1.97,1.97,1.96,1.965,3347
2020-11-18 13:48:00-05:00,1.9631,1.97,1.9631,1.9677,2219
2020-11-18 13:50:00-05:00,1.965,1.97,1.9601,1.9623,3068
2020-11-18 13:52:00-05:00,1.965,1.97,1.965,1.97,3201
2020-11-18 13:54:00-05:00,1.965,1.9654,1.965,1.965,4356
2020-11-18 13:56:00-05:00,1.97,1.97,1.96,1.965,4240
2020-11-18 13:58:00-05:00,1.967,1.967,1.96,1.96,5230
2020-11-18 14:00:00-05:00,1.9694,1.97,1.965,1.97,740
2020-11-18 14:02:00-05:00,1.97,1.97,1.9649,1.9649,2236
2020-11-18 14:04:00-05:00,1.965,1.97,1.9649,1.97,3627
2020-11-18 14:06:00-05:00,1.965,1.97,1.965,1.965,4448
2020-11-18 14:08:00-05:00,1.965,1.97,1.965,1.97,3696
2020-11-18 14:10:00-05:00,1.965,1.965,1.965,1.965,379
2020-11-18 14:12:00-05:00,1.965,1.97,1.96,1.965,3080
2020-11-18 14:14:00-05:00,1.965,1.967,1.96,1.96,2546
2020-11-18 14:16:00-05:00,1.965,1.965,1.965,1.965,1403
2020-11-18 14:18:00-05:00,1.965,1.965,1.96,1.965,4446
2020-11-18 14:20:00-05:00,1.965,1.97,1.96,1.96,1971
2020-11-18 14:22:00-05:00,1.965,1.97,1.96,1.96,17664
2020-11-18 14:24:00-05:00,1.96,1.97,1.955,1.96,116018
2020-11-18 14:26:00-05:00,1.96,1.97,1.96,1.97,58968
2020-11-18 14:28:00-05:00,1.965,1.97,1.965,1.965,9825
2020-11-18 14:30:00-05:00,1.9601,1.9659,1.9601,1.965,7707
2020-11-18 14:32:00-05:00,1.97,1.97,1.96,1.97,3324
2020-11-18 14:34:00-05:00,1.965,1.97,1.96,1.965,106241
2020-11-18 14:36:00-05:00,1.968,1.97,1.96,1.965,5236
2020-11-18 14:38:00-05:00,1.965,1.965,1.965,1.965,2557
2020-11-18 14:40:00-05:00,1.965,1.99,1.965,1.99,160523
2020-11-18 14:42:00-05:00,1.99,1.99,1.975,1.9798,27199
2020-11-18 14:44:00-05:00,1.975,1.99,1.975,1.98,39245
2020-11-18 14:46:00-05:00,1.98,1.99,1.98,1.98,9938
2020-11-18 14:48:00-05:00,1.98,1.98,1.97,1.975,34746
2020-11-18 14:50:00-05:00,1.97,1.98,1.97,1.97,5563
2020-11-18 14:52:00-05:00,1.97,1.9742,1.97,1.97,12676
2020-11-18 14:54:00-05:00,1.97,1.97,1.96,1.9699,5762
2020-11-18 14:56:00-05:00,1.965,1.97,1.96,1.97,2938
2020-11-18 14:58:00-05:00,1.965,1.97,1.965,1.97,4101
2020-11-18 15:00:00-05:00,1.97,1.97,1.96,1.9654,5845
2020-11-18 15:02:00-05:00,1.96,1.97,1.96,1.96,14250
2020-11-18 15:04:00-05:00,1.9699,1.9699,1.9689,1.9689,561
2020-11-18 15:06:00-05:00,1.96,1.97,1.96,1.97,3354
