date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,45.0,45.0,44.855,44.88,8888
2020-11-18 09:32:00-05:00,44.86,44.86,44.7,44.7,1076
2020-11-18 09:34:00-05:00,44.39,44.99,44.39,44.75,6030
2020-11-18 09:36:00-05:00,44.7154,44.89,44.7,44.81,2363
2020-11-18 09:38:00-05:00,44.7,44.925,44.52,44.52,1667
2020-11-18 09:40:00-05:00,44.7099,44.86,44.6354,44.6354,2677
2020-11-18 09:42:00-05:00,44.57,44.57,44.57,44.57,735
2020-11-18 09:44:00-05:00,44.66,44.66,44.46,44.46,918
2020-11-18 09:46:00-05:00,44.49,44.49,44.42,44.425,3228
2020-11-18 09:48:00-05:00,44.5,44.5,44.3,44.3,1874
2020-11-18 09:50:00-05:00,44.16,44.16,44.07,44.155,917
2020-11-18 09:52:00-05:00,44.16,44.16,44.07,44.15,2040
2020-11-18 09:54:00-05:00,44.09,44.18,44.08,44.13,3547
2020-11-18 09:56:00-05:00,44.13,44.17,44.0,44.17,3565
2020-11-18 09:58:00-05:00,44.2,44.2,44.06,44.14,1853
2020-11-18 10:00:00-05:00,44.17,44.18,44.11,44.18,848
2020-11-18 10:02:00-05:00,44.14,44.1662,43.965,43.99,7317
2020-11-18 10:04:00-05:00,43.85,43.94,43.82,43.925,2299
2020-11-18 10:06:00-05:00,43.86,44.01,43.8201,43.905,3156
2020-11-18 10:08:00-05:00,43.85,43.905,43.82,43.875,3266
2020-11-18 10:10:00-05:00,43.77,43.79,43.65,43.66,1584
2020-11-18 10:12:00-05:00,43.72,43.725,43.49,43.7,7927
2020-11-18 10:14:00-05:00,43.695,43.695,43.5,43.54,2003
2020-11-18 10:16:00-05:00,43.53,43.585,43.51,43.585,2038
2020-11-18 10:18:00-05:00,43.49,43.66,43.44,43.59,4096
2020-11-18 10:20:00-05:00,43.53,43.72,43.52,43.64,3071
2020-11-18 10:22:00-05:00,43.81,43.9638,43.63,43.65,1289
2020-11-18 10:24:00-05:00,43.84,43.9517,43.62,43.66,2393
2020-11-18 10:26:00-05:00,43.55,43.69,43.55,43.68,1788
2020-11-18 10:28:00-05:00,43.675,43.79,43.59,43.61,4042
2020-11-18 10:30:00-05:00,43.58,43.58,43.32,43.34,3918
2020-11-18 10:32:00-05:00,43.38,43.41,43.28,43.41,3278
2020-11-18 10:34:00-05:00,43.466,43.5,43.44,43.44,1375
2020-11-18 10:36:00-05:00,43.46,43.46,43.39,43.39,508
2020-11-18 10:38:00-05:00,43.29,43.46,43.29,43.46,1012
2020-11-18 10:40:00-05:00,43.34,43.405,43.3,43.34,2620
2020-11-18 10:42:00-05:00,43.28,43.3814,43.25,43.3814,3356
2020-11-18 10:44:00-05:00,43.317,43.403,43.317,43.403,1901
2020-11-18 10:46:00-05:00,43.46,43.54,43.42,43.54,2113
2020-11-18 10:48:00-05:00,43.53,43.57,43.53,43.54,658
2020-11-18 10:50:00-05:00,43.51,43.51,43.38,43.38,1791
2020-11-18 10:52:00-05:00,43.33,43.42,43.33,43.41,3452
2020-11-18 10:54:00-05:00,43.44,43.44,43.41,43.41,352
2020-11-18 10:56:00-05:00,43.37,43.38,43.26,43.36,1769
2020-11-18 10:58:00-05:00,43.32,43.32,43.32,43.32,129
2020-11-18 11:00:00-05:00,43.3151,43.4,43.3072,43.38,1762
2020-11-18 11:02:00-05:00,43.35,43.38,43.27,43.38,647
2020-11-18 11:04:00-05:00,43.32,43.3343,43.26,43.3343,1073
2020-11-18 11:06:00-05:00,43.32,43.3799,43.26,43.26,384
2020-11-18 11:08:00-05:00,43.32,43.4984,43.305,43.4984,4386
2020-11-18 11:10:00-05:00,43.465,43.6414,43.465,43.57,1397
2020-11-18 11:12:00-05:00,43.625,43.725,43.625,43.725,768
2020-11-18 11:14:00-05:00,43.7495,43.7495,43.62,43.7,3579
2020-11-18 11:16:00-05:00,43.7,43.7199,43.6485,43.7,2595
2020-11-18 11:18:00-05:00,43.75,43.76,43.75,43.75,1255
2020-11-18 11:20:00-05:00,43.72,43.7221,43.695,43.7,522
2020-11-18 11:22:00-05:00,43.7195,43.72,43.66,43.66,1526
2020-11-18 11:24:00-05:00,43.7336,43.7336,43.72,43.72,605
2020-11-18 11:26:00-05:00,43.72,43.88,43.72,43.7837,2643
2020-11-18 11:28:00-05:00,43.87,43.9,43.87,43.9,653
2020-11-18 11:30:00-05:00,43.92,43.96,43.91,43.93,1906
2020-11-18 11:32:00-05:00,43.9236,43.9236,43.9236,43.9236,258
2020-11-18 11:34:00-05:00,43.9,43.95,43.9,43.91,888
2020-11-18 11:36:00-05:00,43.925,43.925,43.87,43.9217,1864
2020-11-18 11:38:00-05:00,43.85,43.89,43.85,43.89,1292
2020-11-18 11:40:00-05:00,43.8,43.96,43.8,43.92,2606
2020-11-18 11:44:00-05:00,43.85,43.85,43.783,43.783,2718
2020-11-18 11:46:00-05:00,43.79,43.825,43.79,43.825,721
2020-11-18 11:48:00-05:00,43.8175,43.8175,43.8175,43.8175,100
2020-11-18 11:50:00-05:00,43.805,43.87,43.805,43.805,1408
2020-11-18 11:52:00-05:00,43.805,43.805,43.75,43.785,700
2020-11-18 11:54:00-05:00,43.785,43.785,43.73,43.73,893
2020-11-18 11:56:00-05:00,43.73,43.78,43.72,43.75,1010
2020-11-18 11:58:00-05:00,43.8,43.88,43.8,43.815,1984
2020-11-18 12:00:00-05:00,43.84,43.96,43.82,43.96,1320
2020-11-18 12:02:00-05:00,43.9,43.94,43.9,43.94,1529
2020-11-18 12:04:00-05:00,43.89,43.97,43.89,43.925,1336
2020-11-18 12:06:00-05:00,43.94,44.0199,43.94,44.0199,2086
2020-11-18 12:08:00-05:00,44.03,44.03,44.03,44.03,1518
2020-11-18 12:10:00-05:00,44.05,44.065,44.025,44.065,801
2020-11-18 12:12:00-05:00,44.035,44.035,43.94,43.95,4116
2020-11-18 12:14:00-05:00,43.89,43.93,43.89,43.92,749
2020-11-18 12:16:00-05:00,43.92,43.92,43.75,43.75,3580
2020-11-18 12:18:00-05:00,43.79,43.88,43.76,43.785,1694
2020-11-18 12:20:00-05:00,43.87,43.88,43.87,43.87,631
2020-11-18 12:22:00-05:00,43.765,43.82,43.7101,43.76,4750
2020-11-18 12:24:00-05:00,43.76,43.89,43.76,43.86,1157
2020-11-18 12:26:00-05:00,43.855,43.855,43.82,43.82,5388
2020-11-18 12:28:00-05:00,43.785,43.785,43.71,43.71,1234
2020-11-18 12:30:00-05:00,43.7133,43.8,43.7094,43.8,1256
2020-11-18 12:32:00-05:00,43.8092,43.825,43.8092,43.825,968
2020-11-18 12:34:00-05:00,43.8483,43.875,43.8483,43.875,666
2020-11-18 12:36:00-05:00,43.93,44.0,43.93,44.0,479
2020-11-18 12:38:00-05:00,44.0,44.0006,43.9724,44.0,3456
2020-11-18 12:40:00-05:00,44.02,44.02,43.95,43.95,1477
2020-11-18 12:42:00-05:00,43.97,44.0,43.93,44.0,721
2020-11-18 12:44:00-05:00,43.9669,44.05,43.9669,43.98,5330
2020-11-18 12:46:00-05:00,44.03,44.03,43.97,44.015,1474
2020-11-18 12:48:00-05:00,44.01,44.01,43.89,43.9519,7417
2020-11-18 12:50:00-05:00,43.945,43.97,43.92,43.97,626
2020-11-18 12:52:00-05:00,43.96,44.04,43.96,44.04,2061
2020-11-18 12:54:00-05:00,44.02,44.02,43.98,43.99,2097
2020-11-18 12:56:00-05:00,44.02,44.05,44.02,44.045,1224
2020-11-18 13:00:00-05:00,44.07,44.07,44.07,44.07,1076
2020-11-18 13:02:00-05:00,44.1,44.11,44.1,44.11,757
2020-11-18 13:04:00-05:00,44.15,44.2,44.15,44.2,1811
2020-11-18 13:06:00-05:00,44.18,44.195,44.18,44.19,1896
2020-11-18 13:08:00-05:00,44.21,44.2489,44.21,44.2489,1210
2020-11-18 13:10:00-05:00,44.25,44.27,44.21,44.23,1902
2020-11-18 13:12:00-05:00,44.26,44.26,44.21,44.21,304
2020-11-18 13:14:00-05:00,44.235,44.26,44.19,44.19,2939
2020-11-18 13:16:00-05:00,44.16,44.16,44.07,44.07,869
2020-11-18 13:18:00-05:00,44.1216,44.175,44.12,44.1205,2858
2020-11-18 13:20:00-05:00,44.19,44.19,44.19,44.19,223
2020-11-18 13:22:00-05:00,44.199,44.24,44.19,44.19,2485
2020-11-18 13:24:00-05:00,44.22,44.22,44.22,44.22,100
2020-11-18 13:26:00-05:00,44.22,44.22,44.19,44.19,799
2020-11-18 13:28:00-05:00,44.16,44.17,44.12,44.12,1843
2020-11-18 13:30:00-05:00,44.12,44.12,44.011,44.011,682
2020-11-18 13:32:00-05:00,44.1,44.28,44.1,44.28,1654
2020-11-18 13:34:00-05:00,44.2399,44.27,44.215,44.215,619
2020-11-18 13:36:00-05:00,44.215,44.215,44.215,44.215,317
2020-11-18 13:38:00-05:00,44.2,44.2107,44.17,44.17,732
2020-11-18 13:40:00-05:00,44.1911,44.1911,44.1911,44.1911,366
2020-11-18 13:42:00-05:00,44.14,44.2,44.13,44.14,2995
2020-11-18 13:44:00-05:00,44.13,44.165,44.12,44.12,1594
2020-11-18 13:48:00-05:00,44.05,44.075,44.03,44.03,959
2020-11-18 13:50:00-05:00,44.0,44.0,43.935,43.96,1061
2020-11-18 13:54:00-05:00,43.9709,43.98,43.96,43.98,2224
2020-11-18 13:56:00-05:00,44.01,44.01,43.98,43.98,644
2020-11-18 13:58:00-05:00,43.9301,43.9799,43.9301,43.9695,797
2020-11-18 14:00:00-05:00,43.965,44.05,43.965,44.0363,1131
2020-11-18 14:02:00-05:00,44.05,44.08,44.05,44.05,1600
2020-11-18 14:06:00-05:00,44.06,44.06,44.06,44.06,383
2020-11-18 14:08:00-05:00,44.07,44.105,44.07,44.105,2377
2020-11-18 14:10:00-05:00,44.1,44.1012,44.035,44.06,2186
2020-11-18 14:12:00-05:00,44.06,44.0699,44.01,44.01,2029
2020-11-18 14:14:00-05:00,44.07,44.07,44.01,44.01,1770
2020-11-18 14:16:00-05:00,44.01,44.04,43.96,43.96,4141
2020-11-18 14:18:00-05:00,43.97,44.03,43.95,43.95,5588
2020-11-18 14:20:00-05:00,43.94,43.94,43.94,43.94,473
2020-11-18 14:22:00-05:00,43.905,43.92,43.85,43.895,1433
2020-11-18 14:24:00-05:00,43.8086,43.8086,43.76,43.76,1057
2020-11-18 14:26:00-05:00,43.71,43.71,43.69,43.69,1100
2020-11-18 14:28:00-05:00,43.72,43.72,43.67,43.67,574
2020-11-18 14:30:00-05:00,43.625,43.625,43.51,43.52,1375
2020-11-18 14:32:00-05:00,43.52,43.875,43.52,43.875,3849
2020-11-18 14:34:00-05:00,43.88,43.88,43.76,43.815,2280
2020-11-18 14:36:00-05:00,43.815,43.815,43.7337,43.8,24305
2020-11-18 14:38:00-05:00,43.72,43.73,43.58,43.655,2279
2020-11-18 14:40:00-05:00,43.64,43.64,43.55,43.64,1202
2020-11-18 14:42:00-05:00,43.62,43.67,43.55,43.59,3415
2020-11-18 14:44:00-05:00,43.59,43.64,43.59,43.59,2463
2020-11-18 14:46:00-05:00,43.56,43.56,43.46,43.46,1627
2020-11-18 14:48:00-05:00,43.44,43.47,43.29,43.3,1803
2020-11-18 14:50:00-05:00,43.3,43.45,43.23,43.44,3630
2020-11-18 14:52:00-05:00,43.375,43.4,43.28,43.3,1329
2020-11-18 14:54:00-05:00,43.35,43.36,43.3,43.34,1392
2020-11-18 14:56:00-05:00,43.34,43.4,43.34,43.4,3471
2020-11-18 14:58:00-05:00,43.39,43.39,43.3275,43.34,2371
2020-11-18 15:00:00-05:00,43.34,43.38,43.27,43.33,2584
2020-11-18 15:02:00-05:00,43.255,43.3046,43.11,43.19,1764
2020-11-18 15:04:00-05:00,43.1783,43.19,43.08,43.09,1768
2020-11-18 15:06:00-05:00,43.155,43.155,43.03,43.03,1437
2020-11-18 15:08:00-05:00,43.04,43.1891,43.03,43.12,5938
2020-11-18 15:10:00-05:00,43.11,43.1173,43.03,43.03,2712
2020-11-18 15:12:00-05:00,43.04,43.12,43.03,43.04,7378
2020-11-18 15:14:00-05:00,43.03,43.06,42.95,42.95,2868
2020-11-18 15:16:00-05:00,42.95,42.95,42.86,42.86,4768
2020-11-18 15:18:00-05:00,42.9,42.93,42.77,42.8,5488
2020-11-18 15:20:00-05:00,42.8,42.81,42.71,42.71,2934
