date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,47.64,48.48,47.64,48.48,0
2020-11-18 09:36:00-05:00,47.81,47.81,47.81,47.81,319
2020-11-18 09:40:00-05:00,47.74,47.74,47.64,47.64,864
2020-11-18 09:48:00-05:00,47.6,47.63,47.6,47.63,1096
2020-11-18 09:54:00-05:00,47.5,47.525,47.5,47.525,691
2020-11-18 10:02:00-05:00,47.7,47.7,47.7,47.7,244
2020-11-18 10:04:00-05:00,47.95,47.95,47.95,47.95,166
2020-11-18 10:12:00-05:00,48.07,48.07,48.07,48.07,247
2020-11-18 10:14:00-05:00,48.03,48.15,48.03,48.15,328
2020-11-18 10:18:00-05:00,48.02,48.02,48.02,48.02,372
2020-11-18 10:26:00-05:00,47.64,47.64,47.64,47.64,100
2020-11-18 10:30:00-05:00,47.61,47.61,47.61,47.61,100
2020-11-18 10:38:00-05:00,47.5,47.71,47.49,47.71,401
2020-11-18 10:48:00-05:00,47.545,47.545,47.545,47.545,100
2020-11-18 10:54:00-05:00,47.62,47.62,47.62,47.62,776
2020-11-18 10:56:00-05:00,47.53,47.65,47.53,47.65,660
2020-11-18 10:58:00-05:00,47.65,47.65,47.65,47.65,100
2020-11-18 11:00:00-05:00,47.56,47.56,47.56,47.56,525
2020-11-18 11:12:00-05:00,47.65,47.65,47.65,47.65,1335
2020-11-18 11:18:00-05:00,47.75,47.75,47.75,47.75,100
2020-11-18 11:20:00-05:00,47.77,47.77,47.77,47.77,453
2020-11-18 11:22:00-05:00,47.75,47.75,47.74,47.74,499
2020-11-18 11:28:00-05:00,47.86,47.86,47.86,47.86,202
2020-11-18 11:36:00-05:00,47.84,47.84,47.84,47.84,193
2020-11-18 11:46:00-05:00,47.83,47.83,47.83,47.83,537
2020-11-18 12:10:00-05:00,47.8,47.8,47.77,47.77,730
2020-11-18 12:16:00-05:00,47.78,47.8816,47.77,47.8816,570
2020-11-18 12:18:00-05:00,47.8,47.8,47.8,47.8,210
2020-11-18 12:40:00-05:00,47.76,47.76,47.76,47.76,620
2020-11-18 12:56:00-05:00,47.85,47.85,47.85,47.85,946
2020-11-18 13:00:00-05:00,47.85,47.85,47.85,47.85,439
2020-11-18 13:16:00-05:00,47.95,47.95,47.95,47.95,439
2020-11-18 13:18:00-05:00,48.0,48.05,48.0,48.05,1060
2020-11-18 13:22:00-05:00,48.09,48.09,48.09,48.09,103
2020-11-18 13:30:00-05:00,48.09,48.09,48.09,48.09,204
2020-11-18 13:46:00-05:00,48.0,48.0,47.96,47.96,1299
2020-11-18 13:54:00-05:00,47.745,47.745,47.745,47.745,130
2020-11-18 13:58:00-05:00,47.77,47.77,47.77,47.77,182
2020-11-18 14:02:00-05:00,47.76,47.81,47.76,47.77,1129
2020-11-18 14:04:00-05:00,47.71,47.71,47.71,47.71,334
2020-11-18 14:18:00-05:00,47.73,47.73,47.72,47.72,457
2020-11-18 14:24:00-05:00,47.53,47.53,47.49,47.49,436
2020-11-18 14:30:00-05:00,47.44,47.47,47.44,47.47,421
2020-11-18 14:34:00-05:00,47.43,47.43,47.43,47.43,654
2020-11-18 14:42:00-05:00,47.51,47.59,47.48,47.59,536
2020-11-18 14:44:00-05:00,47.7,47.7,47.7,47.7,220
2020-11-18 14:54:00-05:00,47.69,47.69,47.68,47.68,484
2020-11-18 15:00:00-05:00,47.7,47.7,47.7,47.7,536
2020-11-18 15:08:00-05:00,47.685,47.77,47.685,47.77,435
2020-11-18 15:10:00-05:00,47.78,47.78,47.78,47.78,228
2020-11-18 15:12:00-05:00,47.66,47.74,47.66,47.74,608
2020-11-18 15:20:00-05:00,47.76,47.76,47.76,47.76,153
2020-11-18 15:24:00-05:00,47.755,47.8,47.755,47.8,1480
2020-11-18 15:26:00-05:00,47.77,47.77,47.77,47.77,441
2020-11-18 15:28:00-05:00,47.77,47.83,47.77,47.82,1003
2020-11-18 15:30:00-05:00,47.772,47.7801,47.772,47.7801,1100
2020-11-18 15:34:00-05:00,47.84,47.84,47.84,47.84,249
2020-11-18 15:36:00-05:00,47.82,47.865,47.81,47.865,989
2020-11-18 15:44:00-05:00,47.83,47.85,47.77,47.83,3139
2020-11-18 15:48:00-05:00,47.79,47.79,47.79,47.79,547
2020-11-18 15:50:00-05:00,47.76,47.8,47.76,47.78,1430
2020-11-18 15:54:00-05:00,47.79,47.79,47.79,47.79,1069
2020-11-18 15:56:00-05:00,47.89,47.89,47.76,47.78,1714
2020-11-18 15:58:00-05:00,47.71,47.77,47.69,47.77,1887
2020-11-19 09:30:00-05:00,47.53,47.53,47.53,47.53,772
2020-11-19 09:56:00-05:00,47.58,47.6,47.58,47.6,925
2020-11-19 10:08:00-05:00,47.7,47.7,47.7,47.7,192
2020-11-19 10:22:00-05:00,47.68,47.68,47.6,47.66,1345
2020-11-19 10:26:00-05:00,47.55,47.55,47.55,47.55,102
2020-11-19 10:30:00-05:00,47.72,47.72,47.72,47.72,315
2020-11-19 10:36:00-05:00,47.63,47.72,47.6,47.72,2685
2020-11-19 10:38:00-05:00,47.75,47.76,47.75,47.76,900
2020-11-19 10:42:00-05:00,47.76,47.76,47.76,47.76,122
2020-11-19 10:52:00-05:00,47.75,47.75,47.75,47.75,158
2020-11-19 10:56:00-05:00,47.82,47.82,47.82,47.82,1196
2020-11-19 10:58:00-05:00,47.82,47.82,47.82,47.82,726
2020-11-19 11:02:00-05:00,47.89,47.89,47.75,47.75,1269
2020-11-19 11:04:00-05:00,47.725,47.725,47.725,47.725,248
2020-11-19 11:10:00-05:00,47.69,47.69,47.61,47.61,356
2020-11-19 11:14:00-05:00,47.7,47.7,47.69,47.69,425
2020-11-19 11:16:00-05:00,47.72,47.76,47.72,47.76,743
2020-11-19 11:20:00-05:00,47.87,47.87,47.69,47.69,3213
2020-11-19 11:22:00-05:00,47.67,47.77,47.66,47.77,2183
2020-11-19 11:24:00-05:00,47.77,47.77,47.67,47.69,4956
2020-11-19 11:34:00-05:00,47.77,47.77,47.77,47.77,1332
2020-11-19 11:52:00-05:00,47.69,47.71,47.69,47.71,308
2020-11-19 11:58:00-05:00,47.79,47.79,47.79,47.79,101
2020-11-19 12:00:00-05:00,47.88,47.88,47.88,47.88,151
2020-11-19 12:08:00-05:00,47.7,47.73,47.54,47.625,2079
2020-11-19 12:12:00-05:00,47.69,47.69,47.69,47.69,143
2020-11-19 12:34:00-05:00,47.77,47.8,47.705,47.8,484
2020-11-19 12:38:00-05:00,47.825,47.825,47.825,47.825,165
2020-11-19 13:04:00-05:00,47.87,47.92,47.85,47.92,1698
2020-11-19 13:06:00-05:00,47.91,47.91,47.91,47.91,108
2020-11-19 13:08:00-05:00,47.91,47.92,47.84,47.84,2512
2020-11-19 13:10:00-05:00,47.94,47.97,47.8,47.97,380
2020-11-19 13:14:00-05:00,47.85,47.97,47.85,47.85,501
2020-11-19 13:16:00-05:00,47.85,47.85,47.85,47.85,410
2020-11-19 13:24:00-05:00,47.85,47.96,47.84,47.96,872
2020-11-19 13:30:00-05:00,47.8856,47.8856,47.78,47.78,1579
2020-11-19 13:40:00-05:00,47.68,47.68,47.68,47.68,379
2020-11-19 13:42:00-05:00,47.81,47.82,47.81,47.82,205
2020-11-19 13:46:00-05:00,47.85,47.85,47.85,47.85,104
2020-11-19 13:52:00-05:00,47.94,47.98,47.94,47.97,403
2020-11-19 14:06:00-05:00,48.04,48.04,48.04,48.04,100
2020-11-19 14:08:00-05:00,48.04,48.04,47.995,47.995,1076
2020-11-19 14:32:00-05:00,48.05,48.05,48.05,48.05,221
2020-11-19 14:36:00-05:00,48.05,48.05,48.05,48.05,234
2020-11-19 14:54:00-05:00,48.09,48.09,48.09,48.09,252
2020-11-19 15:06:00-05:00,48.07,48.07,48.07,48.07,110
2020-11-19 15:10:00-05:00,48.16,48.16,48.16,48.16,244
2020-11-19 15:20:00-05:00,48.3,48.3,48.3,48.3,296
2020-11-19 15:24:00-05:00,48.21,48.21,48.21,48.21,181
2020-11-19 15:26:00-05:00,48.2,48.23,48.12,48.12,1992
2020-11-19 15:28:00-05:00,48.27,48.27,48.27,48.27,240
2020-11-19 15:32:00-05:00,48.11,48.25,48.11,48.25,201
2020-11-19 15:34:00-05:00,48.185,48.29,48.185,48.29,295
2020-11-19 15:36:00-05:00,48.19,48.215,48.19,48.215,294
2020-11-19 15:38:00-05:00,48.18,48.18,48.18,48.18,165
2020-11-19 15:42:00-05:00,48.165,48.165,48.165,48.165,325
2020-11-19 15:48:00-05:00,47.98,47.98,47.98,47.98,134
2020-11-19 15:50:00-05:00,47.97,47.97,47.97,47.97,117
2020-11-19 15:52:00-05:00,48.19,48.19,48.04,48.04,339
2020-11-19 15:56:00-05:00,48.01,48.15,48.01,48.15,769
2020-11-19 15:58:00-05:00,48.08,48.24,48.05,48.2,1798
2020-11-20 09:30:00-05:00,48.23,48.23,48.23,48.23,420
2020-11-20 09:32:00-05:00,48.06,48.06,48.06,48.06,175
2020-11-20 09:34:00-05:00,48.33,48.33,48.33,48.33,295
