date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,21.0,21.0,21.0,21.0,0
2020-11-18 09:32:00-05:00,21.395,21.395,21.395,21.395,205
2020-11-18 09:34:00-05:00,21.43,22.63,21.43,22.24,5579
2020-11-18 09:36:00-05:00,22.19,22.78,22.19,22.78,1932
2020-11-18 09:38:00-05:00,22.8999,22.8999,22.33,22.621,3477
2020-11-18 09:40:00-05:00,22.68,22.855,22.52,22.855,2750
2020-11-18 09:42:00-05:00,22.63,22.84,22.63,22.77,5778
2020-11-18 09:44:00-05:00,22.56,22.7,22.39,22.58,2453
2020-11-18 09:46:00-05:00,22.7559,22.82,22.4427,22.82,1038
2020-11-18 09:48:00-05:00,22.59,22.695,22.23,22.695,1583
2020-11-18 09:50:00-05:00,22.2,22.2,22.17,22.18,600
2020-11-18 09:52:00-05:00,22.0226,22.0226,22.0,22.0,1399
2020-11-18 09:54:00-05:00,21.9001,22.69,21.9001,22.67,4195
2020-11-18 09:56:00-05:00,22.67,22.67,22.5358,22.5358,710
2020-11-18 09:58:00-05:00,22.56,22.57,22.47,22.5196,2024
2020-11-18 10:00:00-05:00,22.57,22.57,22.57,22.57,544
2020-11-18 10:02:00-05:00,22.66,22.66,22.6,22.6,552
2020-11-18 10:04:00-05:00,22.68,22.68,22.68,22.68,306
2020-11-18 10:06:00-05:00,22.765,22.8154,22.745,22.8154,1510
2020-11-18 10:08:00-05:00,22.75,22.77,22.75,22.77,582
2020-11-18 10:10:00-05:00,22.8,22.8,22.73,22.75,1782
2020-11-18 10:12:00-05:00,22.71,22.71,22.5867,22.5867,601
2020-11-18 10:18:00-05:00,22.59,22.59,22.55,22.56,1550
2020-11-18 10:20:00-05:00,22.5512,22.5512,22.5512,22.5512,556
2020-11-18 10:22:00-05:00,22.555,22.555,22.43,22.43,1197
2020-11-18 10:30:00-05:00,22.335,22.335,22.33,22.33,889
2020-11-18 10:44:00-05:00,22.3163,22.3163,22.14,22.14,772
2020-11-18 10:58:00-05:00,22.04,22.04,22.04,22.04,200
2020-11-18 11:00:00-05:00,22.165,22.17,22.11,22.17,375
2020-11-18 11:02:00-05:00,22.24,22.49,22.24,22.49,2629
2020-11-18 11:04:00-05:00,22.2775,22.2775,22.2775,22.2775,101
2020-11-18 11:06:00-05:00,22.415,22.415,22.37,22.37,370
2020-11-18 11:12:00-05:00,22.41,22.415,22.36,22.415,1216
2020-11-18 11:16:00-05:00,22.24,22.24,22.2,22.2,319
2020-11-18 11:22:00-05:00,22.23,22.23,22.23,22.23,668
2020-11-18 11:34:00-05:00,22.21,22.24,22.19,22.24,1242
2020-11-18 11:38:00-05:00,22.18,22.185,22.12,22.14,1573
2020-11-18 11:40:00-05:00,22.13,22.13,22.13,22.13,209
2020-11-18 11:44:00-05:00,22.13,22.14,22.13,22.14,1103
2020-11-18 11:54:00-05:00,22.22,22.22,22.22,22.22,287
2020-11-18 12:04:00-05:00,22.16,22.16,22.16,22.16,226
2020-11-18 12:08:00-05:00,22.23,22.23,22.22,22.22,200
2020-11-18 12:10:00-05:00,22.21,22.34,22.21,22.34,1082
2020-11-18 12:12:00-05:00,22.235,22.235,22.235,22.235,526
2020-11-18 12:18:00-05:00,22.27,22.27,22.27,22.27,141
2020-11-18 12:24:00-05:00,22.2375,22.2375,22.2375,22.2375,105
2020-11-18 12:26:00-05:00,22.28,22.28,22.27,22.27,603
2020-11-18 12:40:00-05:00,22.38,22.38,22.38,22.38,281
2020-11-18 12:44:00-05:00,22.28,22.28,22.28,22.28,124
2020-11-18 12:46:00-05:00,22.36,22.36,22.35,22.35,210
2020-11-18 12:48:00-05:00,22.26,22.26,22.26,22.26,453
2020-11-18 12:54:00-05:00,22.24,22.24,22.18,22.18,829
2020-11-18 13:12:00-05:00,22.22,22.22,22.18,22.18,1445
2020-11-18 13:14:00-05:00,22.22,22.22,22.22,22.22,176
2020-11-18 13:16:00-05:00,22.1801,22.19,22.1801,22.19,375
2020-11-18 13:22:00-05:00,22.29,22.29,22.29,22.29,545
2020-11-18 13:42:00-05:00,22.14,22.14,22.14,22.14,314
2020-11-18 13:48:00-05:00,22.15,22.15,22.15,22.15,322
2020-11-18 13:50:00-05:00,21.96,21.96,21.96,21.96,276
2020-11-18 13:56:00-05:00,21.86,21.86,21.85,21.85,986
2020-11-18 13:58:00-05:00,22.02,22.02,22.02,22.02,100
2020-11-18 14:00:00-05:00,21.92,22.02,21.865,22.02,747
2020-11-18 14:04:00-05:00,22.04,22.04,22.04,22.04,518
2020-11-18 14:06:00-05:00,22.05,22.05,22.05,22.05,288
2020-11-18 14:10:00-05:00,22.08,22.08,22.07,22.07,438
2020-11-18 14:14:00-05:00,21.955,21.955,21.955,21.955,218
2020-11-18 14:16:00-05:00,21.87,21.95,21.87,21.95,255
2020-11-18 14:22:00-05:00,21.86,21.925,21.86,21.925,201
2020-11-18 14:24:00-05:00,21.9,21.9,21.85,21.85,3961
2020-11-18 14:26:00-05:00,21.85,21.88,21.85,21.88,200
2020-11-18 14:28:00-05:00,21.88,21.88,21.84,21.84,300
