date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,61.21,61.21,60.48,60.48,1437
2020-11-18 09:32:00-05:00,61.79,61.79,61.79,61.79,402
2020-11-18 09:40:00-05:00,60.555,60.555,60.39,60.39,626
2020-11-18 09:44:00-05:00,60.66,60.79,60.66,60.79,809
2020-11-18 09:46:00-05:00,61.24,61.24,61.24,61.24,130
2020-11-18 09:48:00-05:00,61.22,61.5,60.861,61.5,5127
2020-11-18 09:50:00-05:00,61.0889,61.47,61.0889,61.37,947
2020-11-18 09:52:00-05:00,60.85,61.19,60.54,61.19,508
2020-11-18 09:54:00-05:00,60.9994,61.14,60.54,61.14,1253
2020-11-18 09:56:00-05:00,61.15,61.15,61.15,61.15,433
2020-11-18 10:04:00-05:00,61.5,61.5,61.43,61.5,2482
2020-11-18 10:06:00-05:00,61.3,61.3,61.3,61.3,216
2020-11-18 10:14:00-05:00,61.52,61.79,61.52,61.79,732
2020-11-18 10:16:00-05:00,61.5501,62.0,61.5501,61.89,2997
2020-11-18 10:22:00-05:00,61.84,62.23,61.84,62.1463,9186
2020-11-18 10:24:00-05:00,62.1,62.1,62.1,62.1,211
2020-11-18 10:26:00-05:00,61.87,61.87,61.87,61.87,107
2020-11-18 10:28:00-05:00,61.9,61.95,61.77,61.81,1641
2020-11-18 10:34:00-05:00,61.73,61.73,61.73,61.73,588
2020-11-18 10:36:00-05:00,61.725,61.795,61.68,61.725,3906
2020-11-18 10:38:00-05:00,61.72,61.72,61.72,61.72,168
2020-11-18 10:40:00-05:00,61.84,62.05,61.84,62.04,1099
2020-11-18 10:42:00-05:00,61.99,61.99,61.98,61.98,391
2020-11-18 10:46:00-05:00,62.03,62.1899,62.0,62.09,1547
2020-11-18 10:48:00-05:00,62.17,62.17,62.09,62.09,258
2020-11-18 10:50:00-05:00,62.0,62.2604,62.0,62.21,1999
2020-11-18 10:54:00-05:00,62.17,62.17,62.17,62.17,3178
2020-11-18 10:56:00-05:00,61.985,61.985,61.985,61.985,126
2020-11-18 10:58:00-05:00,61.87,61.87,61.7,61.7,836
2020-11-18 11:00:00-05:00,61.9,61.9,61.795,61.795,294
2020-11-18 11:02:00-05:00,61.88,62.04,61.8,61.955,772
2020-11-18 11:06:00-05:00,62.03,62.03,61.9,61.9,500
2020-11-18 11:08:00-05:00,61.88,61.92,61.67,61.72,1119
2020-11-18 11:10:00-05:00,61.52,61.63,61.52,61.63,203
2020-11-18 11:12:00-05:00,61.61,61.61,61.61,61.61,100
2020-11-18 11:14:00-05:00,61.61,61.69,61.61,61.61,406
2020-11-18 11:16:00-05:00,61.6,61.6,61.6,61.6,100
2020-11-18 11:18:00-05:00,61.57,61.71,61.57,61.71,625
2020-11-18 11:20:00-05:00,61.625,61.71,61.625,61.625,347
2020-11-18 11:24:00-05:00,61.69,62.03,61.66,62.03,1911
2020-11-18 11:28:00-05:00,62.2,62.2,62.2,62.2,318
2020-11-18 11:30:00-05:00,62.14,62.19,61.93,61.93,877
2020-11-18 11:32:00-05:00,61.92,62.01,61.92,62.01,1019
2020-11-18 11:38:00-05:00,61.8,61.87,61.8,61.87,746
2020-11-18 11:42:00-05:00,61.73,61.73,61.665,61.665,301
2020-11-18 11:44:00-05:00,61.66,61.66,61.66,61.66,150
2020-11-18 11:46:00-05:00,61.66,61.67,61.66,61.67,322
2020-11-18 11:50:00-05:00,61.63,61.63,61.63,61.63,122
2020-11-18 11:52:00-05:00,61.605,61.605,61.57,61.585,978
2020-11-18 11:54:00-05:00,61.545,61.548,61.545,61.548,237
2020-11-18 11:56:00-05:00,61.59,61.75,61.58,61.75,2151
2020-11-18 11:58:00-05:00,61.695,61.695,61.69,61.69,210
2020-11-18 12:00:00-05:00,61.77,61.77,61.65,61.65,526
2020-11-18 12:02:00-05:00,61.8,61.8,61.8,61.8,100
2020-11-18 12:04:00-05:00,61.8,61.81,61.8,61.81,741
2020-11-18 12:08:00-05:00,61.72,61.72,61.625,61.625,524
2020-11-18 12:10:00-05:00,61.5,61.5,61.35,61.35,1001
2020-11-18 12:12:00-05:00,61.3,61.44,61.3,61.44,4709
2020-11-18 12:14:00-05:00,61.38,61.71,61.38,61.71,2822
2020-11-18 12:16:00-05:00,61.73,61.75,61.7,61.72,2819
2020-11-18 12:18:00-05:00,61.8,61.8,61.79,61.79,785
2020-11-18 12:20:00-05:00,61.96,62.01,61.96,62.0,1776
2020-11-18 12:22:00-05:00,61.92,61.95,61.89,61.89,452
2020-11-18 12:28:00-05:00,62.04,62.045,62.04,62.045,494
2020-11-18 12:32:00-05:00,61.945,61.945,61.945,61.945,135
2020-11-18 12:34:00-05:00,61.81,61.81,61.7,61.7,1324
2020-11-18 12:36:00-05:00,61.691,61.691,61.61,61.61,883
2020-11-18 12:38:00-05:00,61.67,61.69,61.67,61.69,456
2020-11-18 12:42:00-05:00,61.555,61.555,61.555,61.555,104
2020-11-18 12:44:00-05:00,61.71,61.72,61.71,61.72,814
2020-11-18 12:46:00-05:00,61.66,61.66,61.54,61.6075,1343
2020-11-18 12:48:00-05:00,61.58,61.59,61.58,61.59,466
2020-11-18 12:50:00-05:00,61.67,61.67,61.61,61.61,394
2020-11-18 12:52:00-05:00,61.75,61.75,61.6983,61.6983,346
2020-11-18 12:54:00-05:00,61.691,61.74,61.691,61.74,525
2020-11-18 13:00:00-05:00,61.71,61.71,61.71,61.71,245
2020-11-18 13:02:00-05:00,61.705,61.74,61.705,61.74,503
2020-11-18 13:04:00-05:00,61.8,61.86,61.8,61.86,1157
2020-11-18 13:06:00-05:00,62.03,62.03,62.03,62.03,309
2020-11-18 13:08:00-05:00,62.01,62.07,62.01,62.07,449
2020-11-18 13:10:00-05:00,61.99,61.99,61.99,61.99,140
2020-11-18 13:12:00-05:00,61.98,61.98,61.74,61.74,2298
2020-11-18 13:14:00-05:00,61.715,61.715,61.64,61.64,224
2020-11-18 13:20:00-05:00,61.605,61.64,61.605,61.62,1481
2020-11-18 13:24:00-05:00,61.65,61.65,61.56,61.56,764
2020-11-18 13:26:00-05:00,61.52,61.52,61.395,61.46,1158
2020-11-18 13:28:00-05:00,61.47,61.47,61.47,61.47,662
2020-11-18 13:32:00-05:00,61.41,61.425,61.41,61.42,906
2020-11-18 13:34:00-05:00,61.38,61.38,61.38,61.38,209
2020-11-18 13:36:00-05:00,61.5,61.68,61.5,61.68,631
2020-11-18 13:38:00-05:00,61.63,61.63,61.63,61.63,829
2020-11-18 13:40:00-05:00,61.66,61.66,61.6,61.6,282
2020-11-18 13:42:00-05:00,61.65,61.695,61.6,61.695,1876
2020-11-18 13:44:00-05:00,61.7338,61.74,61.63,61.63,646
2020-11-18 13:46:00-05:00,61.61,61.61,61.57,61.57,459
2020-11-18 13:48:00-05:00,61.66,61.66,61.505,61.505,798
2020-11-18 13:50:00-05:00,61.445,61.445,61.11,61.31,1561
2020-11-18 13:52:00-05:00,60.86,61.2,60.86,61.2,260
2020-11-18 13:54:00-05:00,60.93,61.12,60.93,61.12,200
2020-11-18 13:56:00-05:00,60.66,60.785,60.66,60.785,399
2020-11-18 14:00:00-05:00,60.795,61.22,60.795,61.22,1383
2020-11-18 14:06:00-05:00,61.135,61.37,61.135,61.37,306
2020-11-18 14:08:00-05:00,61.12,61.155,61.12,61.155,211
2020-11-18 14:10:00-05:00,61.23,61.23,61.23,61.23,403
2020-11-18 14:12:00-05:00,61.32,61.43,61.32,61.43,550
2020-11-18 14:14:00-05:00,61.38,61.38,61.38,61.38,342
2020-11-18 14:16:00-05:00,61.41,61.44,61.41,61.44,628
2020-11-18 14:18:00-05:00,61.42,61.42,61.42,61.42,103
2020-11-18 14:20:00-05:00,61.415,61.415,61.415,61.415,942
2020-11-18 14:24:00-05:00,61.115,61.115,60.995,60.995,301
2020-11-18 14:26:00-05:00,61.19,61.19,61.19,61.19,563
2020-11-18 14:28:00-05:00,61.1,61.1,61.1,61.1,606
2020-11-18 14:30:00-05:00,61.135,61.135,61.135,61.135,100
2020-11-18 14:32:00-05:00,61.105,61.105,61.065,61.065,328
2020-11-18 14:34:00-05:00,61.11,61.11,61.11,61.11,201
2020-11-18 14:38:00-05:00,61.05,61.05,61.05,61.05,103
2020-11-18 14:40:00-05:00,61.18,61.18,61.18,61.18,596
2020-11-18 14:44:00-05:00,61.27,61.28,61.27,61.28,574
2020-11-18 14:46:00-05:00,61.33,61.36,61.33,61.36,811
2020-11-18 14:50:00-05:00,61.38,61.38,61.38,61.38,429
2020-11-18 14:52:00-05:00,61.34,61.65,61.34,61.65,3348
2020-11-18 14:58:00-05:00,61.71,61.71,61.62,61.625,2283
2020-11-18 15:00:00-05:00,61.65,61.65,61.59,61.61,727
2020-11-18 15:02:00-05:00,61.61,61.65,61.6,61.6,1647
2020-11-18 15:04:00-05:00,61.465,61.54,61.465,61.54,351
2020-11-18 15:06:00-05:00,61.39,61.47,61.38,61.385,945
2020-11-18 15:08:00-05:00,61.48,61.57,61.48,61.57,976
2020-11-18 15:10:00-05:00,61.52,61.67,61.52,61.67,926
2020-11-18 15:12:00-05:00,61.72,61.72,61.72,61.72,426
2020-11-18 15:14:00-05:00,61.67,61.67,61.67,61.67,102
2020-11-18 15:16:00-05:00,61.67,61.67,61.67,61.67,201
2020-11-18 15:18:00-05:00,61.65,61.65,61.47,61.5,2643
2020-11-18 15:20:00-05:00,61.48,61.53,61.43,61.43,385
2020-11-18 15:22:00-05:00,61.48,61.62,61.42,61.62,1914
2020-11-18 15:24:00-05:00,61.52,61.52,61.52,61.52,400
2020-11-18 15:26:00-05:00,61.45,61.45,61.45,61.45,102
2020-11-18 15:28:00-05:00,61.51,61.51,61.4,61.45,2309
2020-11-18 15:30:00-05:00,61.55,61.64,61.55,61.635,5120
2020-11-18 15:32:00-05:00,61.68,61.78,61.68,61.78,1288
