date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,11.38,11.38,11.24,11.24,0
2020-11-18 09:32:00-05:00,11.36,11.36,11.36,11.36,149
2020-11-18 09:34:00-05:00,11.4,11.4,11.4,11.4,1045
2020-11-18 09:36:00-05:00,11.39,11.39,11.37,11.37,547
2020-11-18 09:38:00-05:00,11.38,11.38,11.36,11.36,1332
2020-11-18 09:40:00-05:00,11.34,11.35,11.31,11.31,726
2020-11-18 09:42:00-05:00,11.33,11.35,11.33,11.33,847
2020-11-18 09:44:00-05:00,11.33,11.34,11.33,11.34,565
2020-11-18 09:46:00-05:00,11.32,11.33,11.29,11.29,1021
2020-11-18 09:48:00-05:00,11.29,11.29,11.29,11.29,111
2020-11-18 09:50:00-05:00,11.29,11.29,11.29,11.29,110
2020-11-18 09:52:00-05:00,11.28,11.28,11.27,11.27,552
2020-11-18 09:54:00-05:00,11.28,11.28,11.22,11.22,4914
2020-11-18 09:56:00-05:00,11.23,11.23,11.22,11.22,1000
2020-11-18 09:58:00-05:00,11.23,11.26,11.22,11.26,7825
2020-11-18 10:00:00-05:00,11.25,11.25,11.25,11.25,391
2020-11-18 10:04:00-05:00,11.27,11.3,11.27,11.29,1975
2020-11-18 10:08:00-05:00,11.28,11.28,11.28,11.28,170
2020-11-18 10:10:00-05:00,11.3,11.3,11.3,11.3,314
2020-11-18 10:12:00-05:00,11.31,11.31,11.31,11.31,1123
2020-11-18 10:14:00-05:00,11.32,11.32,11.32,11.32,414
2020-11-18 10:16:00-05:00,11.31,11.31,11.31,11.31,503
2020-11-18 10:18:00-05:00,11.3,11.3,11.3,11.3,329
2020-11-18 10:20:00-05:00,11.29,11.29,11.29,11.29,100
2020-11-18 10:22:00-05:00,11.29,11.29,11.28,11.28,728
2020-11-18 10:24:00-05:00,11.28,11.285,11.27,11.285,981
2020-11-18 10:26:00-05:00,11.27,11.27,11.27,11.27,409
2020-11-18 10:30:00-05:00,11.2601,11.2601,11.2601,11.2601,175
2020-11-18 10:34:00-05:00,11.29,11.29,11.29,11.29,247
2020-11-18 10:36:00-05:00,11.31,11.31,11.3,11.3,999
2020-11-18 10:40:00-05:00,11.31,11.31,11.31,11.31,304
2020-11-18 10:42:00-05:00,11.31,11.31,11.29,11.3,1054
2020-11-18 10:46:00-05:00,11.31,11.31,11.31,11.31,504
2020-11-18 10:50:00-05:00,11.32,11.32,11.32,11.32,630
2020-11-18 10:58:00-05:00,11.325,11.325,11.325,11.325,100
2020-11-18 11:00:00-05:00,11.32,11.32,11.29,11.29,3138
2020-11-18 11:02:00-05:00,11.29,11.29,11.28,11.28,739
