date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,19.3,19.3,19.3,19.3,11623
2020-11-18 09:32:00-05:00,19.27,19.31,19.27,19.31,2095
2020-11-18 09:34:00-05:00,19.32,19.39,19.32,19.3655,6390
2020-11-18 09:36:00-05:00,19.39,19.39,19.37,19.37,1388
2020-11-18 09:38:00-05:00,19.37,19.3982,19.37,19.3982,2213
2020-11-18 09:40:00-05:00,19.41,19.475,19.41,19.475,2767
2020-11-18 09:42:00-05:00,19.49,19.5,19.47,19.475,3887
2020-11-18 09:44:00-05:00,19.49,19.56,19.49,19.51,4871
2020-11-18 09:46:00-05:00,19.53,19.53,19.46,19.46,3010
2020-11-18 09:48:00-05:00,19.47,19.47,19.45,19.47,3717
2020-11-18 09:50:00-05:00,19.44,19.44,19.44,19.44,107
2020-11-18 09:52:00-05:00,19.41,19.42,19.41,19.42,386
2020-11-18 09:54:00-05:00,19.4426,19.443,19.4273,19.4273,1434
2020-11-18 09:58:00-05:00,19.436,19.436,19.395,19.41,4393
2020-11-18 10:00:00-05:00,19.41,19.46,19.41,19.46,1762
2020-11-18 10:02:00-05:00,19.4599,19.4599,19.43,19.43,705
2020-11-18 10:04:00-05:00,19.425,19.435,19.39,19.39,6692
2020-11-18 10:08:00-05:00,19.37,19.3877,19.37,19.3852,787
2020-11-18 10:10:00-05:00,19.387,19.387,19.375,19.375,2169
2020-11-18 10:12:00-05:00,19.39,19.4,19.39,19.4,1698
2020-11-18 10:14:00-05:00,19.4038,19.4038,19.38,19.38,4405
2020-11-18 10:16:00-05:00,19.36,19.37,19.36,19.3674,5272
2020-11-18 10:18:00-05:00,19.35,19.35,19.35,19.35,312
2020-11-18 10:20:00-05:00,19.34,19.34,19.34,19.34,580
2020-11-18 10:22:00-05:00,19.3213,19.325,19.31,19.325,347
2020-11-18 10:24:00-05:00,19.3355,19.3481,19.335,19.335,2699
2020-11-18 10:26:00-05:00,19.335,19.345,19.3201,19.3201,1575
2020-11-18 10:28:00-05:00,19.35,19.36,19.3375,19.35,1593
