date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,8.97,8.97,8.97,8.97,0
2020-11-18 10:06:00-05:00,9.025,9.025,9.025,9.025,24850
2020-11-18 10:32:00-05:00,9.0655,9.0655,9.0125,9.0125,1793
2020-11-18 10:34:00-05:00,9.0125,9.0125,9.0125,9.0125,100
2020-11-18 10:40:00-05:00,9.0589,9.0589,9.0125,9.0125,1543
2020-11-18 10:58:00-05:00,9.43,9.43,9.0,9.0,3762
2020-11-18 11:04:00-05:00,9.0,9.0,9.0,9.0,652
2020-11-18 11:06:00-05:00,9.0,9.0,9.0,9.0,200
2020-11-18 11:08:00-05:00,9.442,9.442,9.0,9.0,4980
2020-11-18 11:10:00-05:00,9.0,9.16,9.0,9.0,1124
2020-11-18 11:12:00-05:00,8.98,9.0,8.98,9.0,200
2020-11-18 11:14:00-05:00,9.0,9.0,9.0,9.0,100
2020-11-18 11:16:00-05:00,9.235,9.5,9.0,9.0,2606
2020-11-18 11:18:00-05:00,9.0,9.12,9.0,9.0,1434
2020-11-18 11:20:00-05:00,9.135,9.135,9.135,9.135,150
2020-11-18 11:22:00-05:00,9.0,9.0,9.0,9.0,400
2020-11-18 11:24:00-05:00,8.97,9.11,8.8,8.9,2025
2020-11-18 11:26:00-05:00,8.82,8.82,8.82,8.82,100
2020-11-18 11:32:00-05:00,9.3248,9.3248,9.0,9.0,2098
2020-11-18 12:04:00-05:00,9.4546,9.4546,8.96,8.96,4989
2020-11-18 12:10:00-05:00,9.02,9.02,9.02,9.02,100
2020-11-18 12:14:00-05:00,9.02,9.03,9.02,9.03,300
2020-11-18 12:18:00-05:00,9.0,9.0388,9.0,9.0388,522
2020-11-18 12:22:00-05:00,9.02,9.02,9.02,9.02,100
2020-11-18 12:26:00-05:00,9.02,9.02,9.02,9.02,381
2020-11-18 12:36:00-05:00,9.03,9.04,9.0,9.04,400
2020-11-18 12:40:00-05:00,9.0,9.0,9.0,9.0,100
2020-11-18 12:46:00-05:00,9.02,9.02,9.02,9.02,256
2020-11-18 12:48:00-05:00,9.0,9.04,9.0,9.04,5744
2020-11-18 12:50:00-05:00,9.04,9.04,9.0,9.0,200
