date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,65.68,65.68,65.67,65.67,195
2020-11-18 09:32:00-05:00,65.955,65.955,65.955,65.955,100
2020-11-18 09:34:00-05:00,65.48,65.89,65.48,65.65,638
2020-11-18 09:36:00-05:00,65.45,65.51,65.45,65.51,243
2020-11-18 09:38:00-05:00,65.4,65.4,65.4,65.4,1178
2020-11-18 09:40:00-05:00,65.455,65.455,65.41,65.41,314
2020-11-18 09:44:00-05:00,65.44,65.44,65.01,65.2,1237
2020-11-18 09:50:00-05:00,65.4,65.4,65.38,65.38,206
2020-11-18 09:52:00-05:00,65.23,65.24,65.23,65.24,538
2020-11-18 09:56:00-05:00,65.28,65.28,65.28,65.28,1282
2020-11-18 10:00:00-05:00,65.6,65.6,65.6,65.6,906
2020-11-18 10:06:00-05:00,65.425,65.59,65.12,65.56,4046
2020-11-18 10:10:00-05:00,65.56,65.56,65.56,65.56,100
2020-11-18 10:12:00-05:00,65.37,65.575,65.37,65.575,1207
2020-11-18 10:20:00-05:00,65.59,65.59,65.59,65.59,100
2020-11-18 10:22:00-05:00,65.59,65.78,65.585,65.585,3456
2020-11-18 10:24:00-05:00,65.72,65.72,65.56,65.56,323
2020-11-18 10:26:00-05:00,65.66,65.66,65.64,65.66,770
2020-11-18 10:28:00-05:00,65.79,65.79,65.79,65.79,407
2020-11-18 10:30:00-05:00,65.86,65.86,65.86,65.86,104
2020-11-18 10:34:00-05:00,65.735,65.77,65.68,65.68,3349
2020-11-18 10:36:00-05:00,65.59,65.6,65.58,65.6,918
2020-11-18 10:38:00-05:00,65.73,65.73,65.66,65.73,537
2020-11-18 10:40:00-05:00,65.73,65.73,65.73,65.73,378
2020-11-18 10:42:00-05:00,65.6981,65.87,65.68,65.87,1867
2020-11-18 10:44:00-05:00,65.98,65.98,65.93,65.93,402
2020-11-18 10:48:00-05:00,65.91,65.91,65.735,65.735,1642
2020-11-18 10:52:00-05:00,65.55,65.69,65.465,65.545,1416
2020-11-18 10:56:00-05:00,65.54,65.54,65.35,65.35,738
2020-11-18 10:58:00-05:00,65.19,65.19,65.135,65.135,256
2020-11-18 11:00:00-05:00,65.28,65.53,65.28,65.53,2852
2020-11-18 11:02:00-05:00,65.55,65.56,65.55,65.56,407
2020-11-18 11:06:00-05:00,65.3367,65.3367,65.335,65.335,738
2020-11-18 11:08:00-05:00,65.5,65.5,65.48,65.48,496
2020-11-18 11:10:00-05:00,65.31,65.31,65.16,65.255,966
2020-11-18 11:12:00-05:00,65.36,65.66,65.36,65.66,1694
2020-11-18 11:14:00-05:00,65.41,65.41,65.41,65.41,217
2020-11-18 11:18:00-05:00,65.4,65.4,65.37,65.4,2036
2020-11-18 11:22:00-05:00,65.37,65.37,65.37,65.37,635
2020-11-18 11:26:00-05:00,65.47,65.5087,65.47,65.5087,770
2020-11-18 11:32:00-05:00,65.55,65.6,65.34,65.34,3702
2020-11-18 11:34:00-05:00,65.59,65.59,65.46,65.59,1200
2020-11-18 11:36:00-05:00,65.33,65.64,65.33,65.565,10103
2020-11-18 11:40:00-05:00,65.48,65.48,65.48,65.48,104
2020-11-18 11:42:00-05:00,65.48,65.55,65.475,65.55,1159
2020-11-18 11:46:00-05:00,65.53,65.61,65.5,65.54,714
2020-11-18 11:48:00-05:00,65.545,65.545,65.42,65.515,721
2020-11-18 11:50:00-05:00,65.6,65.6,65.6,65.6,566
2020-11-18 11:52:00-05:00,65.535,65.64,65.535,65.535,4025
2020-11-18 11:54:00-05:00,65.64,65.64,65.535,65.535,390
2020-11-18 11:56:00-05:00,65.53,65.63,65.53,65.63,841
2020-11-18 11:58:00-05:00,65.535,65.64,65.525,65.6,932
2020-11-18 12:00:00-05:00,65.52,65.76,65.515,65.71,4569
2020-11-18 12:02:00-05:00,65.76,65.77,65.76,65.77,1026
2020-11-18 12:06:00-05:00,65.79,65.79,65.79,65.79,128
2020-11-18 12:08:00-05:00,65.77,65.77,65.67,65.72,6268
2020-11-18 12:10:00-05:00,65.67,65.67,65.6,65.65,3107
2020-11-18 12:12:00-05:00,65.6,65.77,65.6,65.77,4614
2020-11-18 12:14:00-05:00,65.7,65.71,65.69,65.69,1240
2020-11-18 12:16:00-05:00,65.63,65.7,65.63,65.65,1013
2020-11-18 12:18:00-05:00,65.675,65.675,65.56,65.63,1077
2020-11-18 12:22:00-05:00,65.66,65.73,65.66,65.7004,2816
2020-11-18 12:26:00-05:00,65.7,65.7,65.59,65.59,788
2020-11-18 12:28:00-05:00,65.58,65.655,65.58,65.655,318
2020-11-18 12:30:00-05:00,65.65,65.65,65.65,65.65,190
2020-11-18 12:34:00-05:00,65.65,65.65,65.64,65.64,529
2020-11-18 12:36:00-05:00,65.65,65.65,65.65,65.65,100
2020-11-18 12:38:00-05:00,65.7,65.72,65.65,65.72,1772
2020-11-18 12:42:00-05:00,65.735,65.79,65.73,65.735,5130
2020-11-18 12:44:00-05:00,65.68,65.68,65.6,65.675,1324
2020-11-18 12:46:00-05:00,65.6,65.6,65.6,65.6,403
2020-11-18 12:48:00-05:00,65.65,65.65,65.65,65.65,208
2020-11-18 12:54:00-05:00,65.6,65.695,65.6,65.67,3620
2020-11-18 12:56:00-05:00,65.67,65.695,65.66,65.66,1212
2020-11-18 12:58:00-05:00,65.65,65.65,65.65,65.65,128
2020-11-18 13:00:00-05:00,65.63,65.67,65.55,65.67,7980
2020-11-18 13:02:00-05:00,65.71,65.73,65.68,65.69,1259
2020-11-18 13:04:00-05:00,65.695,65.72,65.645,65.675,2868
2020-11-18 13:06:00-05:00,65.675,65.74,65.675,65.725,2725
2020-11-18 13:08:00-05:00,65.7295,65.73,65.72,65.73,583
2020-11-18 13:10:00-05:00,65.705,65.73,65.705,65.73,1008
2020-11-18 13:12:00-05:00,65.725,65.725,65.725,65.725,261
2020-11-18 13:14:00-05:00,65.72,65.745,65.69,65.745,503
2020-11-18 13:16:00-05:00,65.745,65.745,65.745,65.745,203
2020-11-18 13:20:00-05:00,65.745,65.745,65.745,65.745,302
2020-11-18 13:22:00-05:00,65.76,65.82,65.76,65.82,1970
2020-11-18 13:24:00-05:00,65.86,65.86,65.82,65.82,232
2020-11-18 13:26:00-05:00,65.79,65.79,65.79,65.79,167
2020-11-18 13:28:00-05:00,65.8,65.8,65.79,65.79,939
2020-11-18 13:30:00-05:00,65.83,65.83,65.79,65.79,370
2020-11-18 13:34:00-05:00,65.87,65.915,65.87,65.915,815
2020-11-18 13:36:00-05:00,65.875,65.92,65.875,65.92,513
2020-11-18 13:38:00-05:00,65.97,65.97,65.94,65.94,1522
2020-11-18 13:40:00-05:00,65.805,65.805,65.805,65.805,133
2020-11-18 13:42:00-05:00,65.6674,65.6674,65.635,65.635,234
2020-11-18 13:44:00-05:00,65.63,65.7219,65.63,65.7219,1216
2020-11-18 13:46:00-05:00,65.68,65.68,65.68,65.68,185
2020-11-18 13:50:00-05:00,65.6,65.64,65.6,65.64,485
2020-11-18 13:52:00-05:00,65.575,65.575,65.575,65.575,100
2020-11-18 13:54:00-05:00,65.64,65.65,65.64,65.64,1005
2020-11-18 14:00:00-05:00,65.62,65.72,65.62,65.69,617
2020-11-18 14:02:00-05:00,65.79,65.79,65.79,65.79,483
2020-11-18 14:04:00-05:00,65.84,65.84,65.7,65.7,400
2020-11-18 14:06:00-05:00,65.715,65.715,65.715,65.715,182
2020-11-18 14:08:00-05:00,65.81,65.81,65.715,65.715,738
2020-11-18 14:12:00-05:00,65.71,65.71,65.71,65.71,239
2020-11-18 14:14:00-05:00,65.71,65.775,65.6,65.6,2256
2020-11-18 14:16:00-05:00,65.69,65.75,65.69,65.72,1864
