date,open,high,low,close,volume
2020-11-13 09:30:00-05:00,,,,,
2020-11-18 09:30:00-05:00,7.99,8.01,7.9,7.91,28889.0
2020-11-18 09:32:00-05:00,7.995,8.14,7.995,8.13,2457.0
2020-11-18 09:34:00-05:00,8.0622,8.1,8.0513,8.1,4313.0
2020-11-18 09:36:00-05:00,8.1,8.1,8.0,8.0,2460.0
2020-11-18 09:38:00-05:00,8.0,8.012,7.93,8.0,5137.0
2020-11-18 09:40:00-05:00,8.0,8.04,8.0,8.03,5083.0
2020-11-18 09:42:00-05:00,8.06,8.06,8.0,8.0,1543.0
2020-11-18 09:44:00-05:00,8.01,8.01,7.95,7.95,3071.0
2020-11-18 09:46:00-05:00,8.0299,8.03,7.995,8.02,7632.0
2020-11-18 09:48:00-05:00,8.0249,8.04,8.0183,8.04,11731.0
2020-11-18 09:50:00-05:00,8.13,8.13,8.07,8.07,2213.0
2020-11-18 09:52:00-05:00,8.09,8.2,8.09,8.18,9643.0
2020-11-18 09:54:00-05:00,8.185,8.185,8.185,8.185,120.0
2020-11-18 09:56:00-05:00,8.19,8.2,8.185,8.2,7457.0
2020-11-18 09:58:00-05:00,8.195,8.225,8.18,8.22,1672.0
2020-11-18 10:02:00-05:00,8.24,8.25,8.24,8.25,800.0
2020-11-18 10:04:00-05:00,8.26,8.29,8.25,8.29,5812.0
2020-11-18 10:06:00-05:00,8.3,8.33,8.3,8.33,1340.0
2020-11-18 10:08:00-05:00,8.31,8.31,8.273,8.273,2181.0
2020-11-18 10:10:00-05:00,8.27,8.27,8.24,8.24,871.0
2020-11-18 10:12:00-05:00,8.24,8.24,8.21,8.2147,1229.0
2020-11-18 10:14:00-05:00,8.21,8.225,8.21,8.225,411.0
2020-11-18 10:16:00-05:00,8.24,8.24,8.24,8.24,461.0
2020-11-18 10:18:00-05:00,8.275,8.28,8.25,8.25,2376.0
2020-11-18 10:20:00-05:00,8.22,8.22,8.22,8.22,413.0
2020-11-18 10:22:00-05:00,8.1804,8.23,8.18,8.2,3071.0
2020-11-18 10:24:00-05:00,8.2,8.2,8.2,8.2,552.0
2020-11-18 10:26:00-05:00,8.21,8.2346,8.21,8.21,4603.0
2020-11-18 10:28:00-05:00,8.21,8.21,8.21,8.21,482.0
2020-11-18 10:30:00-05:00,8.21,8.21,8.19,8.2,899.0
2020-11-18 10:32:00-05:00,8.21,8.21,8.21,8.21,1126.0
2020-11-18 10:34:00-05:00,8.21,8.2599,8.2,8.23,5061.0
2020-11-18 10:36:00-05:00,8.21,8.225,8.21,8.225,2723.0
2020-11-18 10:38:00-05:00,8.23,8.25,8.225,8.25,1425.0
2020-11-18 10:40:00-05:00,8.25,8.25,8.25,8.25,725.0
2020-11-18 10:42:00-05:00,8.25,8.25,8.2358,8.2358,656.0
2020-11-18 10:46:00-05:00,8.2562,8.27,8.2562,8.27,831.0
2020-11-18 10:48:00-05:00,8.29,8.34,8.28,8.32,2424.0
2020-11-18 10:50:00-05:00,8.345,8.35,8.32,8.345,2510.0
2020-11-18 10:52:00-05:00,8.35,8.36,8.27,8.31,7826.0
2020-11-18 10:54:00-05:00,8.25,8.3,8.25,8.3,323.0
2020-11-18 10:58:00-05:00,8.32,8.32,8.32,8.32,384.0
2020-11-18 11:00:00-05:00,8.31,8.39,8.31,8.39,3866.0
2020-11-18 11:02:00-05:00,8.385,8.39,8.385,8.385,1417.0
2020-11-18 11:04:00-05:00,8.385,8.385,8.38,8.385,2032.0
2020-11-18 11:06:00-05:00,8.39,8.39,8.385,8.385,1425.0
2020-11-18 11:08:00-05:00,8.39,8.44,8.385,8.42,8282.0
2020-11-18 11:10:00-05:00,8.44,8.44,8.435,8.44,1219.0
2020-11-18 11:12:00-05:00,8.445,8.4673,8.445,8.4673,8103.0
2020-11-18 11:14:00-05:00,8.46,8.4621,8.44,8.46,2319.0
2020-11-18 11:16:00-05:00,8.48,8.48,8.4637,8.4637,4249.0
2020-11-18 11:20:00-05:00,8.48,8.49,8.48,8.49,994.0
2020-11-18 11:22:00-05:00,8.48,8.49,8.46,8.47,4200.0
2020-11-18 11:24:00-05:00,8.47,8.47,8.47,8.47,722.0
2020-11-18 11:26:00-05:00,8.48,8.48,8.48,8.48,139.0
2020-11-18 11:28:00-05:00,8.49,8.49,8.47,8.47,3019.0
2020-11-18 11:32:00-05:00,8.48,8.48,8.465,8.47,2124.0
2020-11-18 11:34:00-05:00,8.47,8.47,8.37,8.37,3044.0
2020-11-18 11:42:00-05:00,8.39,8.39,8.39,8.39,100.0
2020-11-18 11:44:00-05:00,8.415,8.45,8.415,8.45,2968.0
2020-11-18 11:46:00-05:00,8.45,8.51,8.45,8.5,7483.0
2020-11-18 11:48:00-05:00,8.51,8.535,8.51,8.52,3014.0
2020-11-18 11:50:00-05:00,8.5371,8.5371,8.5371,8.5371,5018.0
2020-11-18 11:52:00-05:00,8.55,8.6,8.55,8.6,9121.0
2020-11-18 11:54:00-05:00,8.6,8.6,8.595,8.595,428.0
2020-11-18 11:56:00-05:00,8.64,8.64,8.565,8.565,6379.0
2020-11-18 11:58:00-05:00,8.565,8.565,8.545,8.56,1617.0
2020-11-18 12:02:00-05:00,8.5912,8.63,8.585,8.625,3304.0
2020-11-18 12:04:00-05:00,8.62,8.62,8.521,8.57,1420.0
2020-11-18 12:08:00-05:00,8.57,8.57,8.535,8.535,1804.0
2020-11-18 12:10:00-05:00,8.525,8.53,8.525,8.53,650.0
2020-11-18 12:12:00-05:00,8.52,8.52,8.52,8.52,640.0
2020-11-18 12:14:00-05:00,8.53,8.53,8.53,8.53,429.0
2020-11-18 12:16:00-05:00,8.55,8.5894,8.55,8.56,4790.0
2020-11-18 12:20:00-05:00,8.56,8.56,8.56,8.56,120.0
2020-11-18 12:22:00-05:00,8.56,8.59,8.56,8.575,647.0
2020-11-18 12:24:00-05:00,8.585,8.585,8.57,8.57,1524.0
2020-11-18 12:26:00-05:00,8.55,8.55,8.535,8.535,816.0
2020-11-18 12:28:00-05:00,8.545,8.545,8.54,8.54,1300.0
2020-11-18 12:30:00-05:00,8.533,8.5547,8.533,8.5547,2110.0
