date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,20.64,20.64,20.64,20.64,0
2020-11-18 09:32:00-05:00,20.46,20.65,20.46,20.65,1569
2020-11-18 09:34:00-05:00,20.65,20.65,20.64,20.64,685
2020-11-18 09:36:00-05:00,20.58,20.58,20.51,20.51,1292
2020-11-18 09:40:00-05:00,20.51,20.51,20.51,20.51,4474
2020-11-18 09:42:00-05:00,20.56,20.67,20.56,20.67,2970
2020-11-18 09:46:00-05:00,20.6297,20.6297,20.6297,20.6297,361
2020-11-18 09:48:00-05:00,20.71,20.71,20.71,20.71,410
2020-11-18 09:50:00-05:00,20.7,20.78,20.7,20.78,844
2020-11-18 09:52:00-05:00,20.75,20.79,20.72,20.72,9610
2020-11-18 09:54:00-05:00,20.8,20.8,20.8,20.8,402
2020-11-18 09:56:00-05:00,20.8,20.8,20.8,20.8,317
2020-11-18 10:00:00-05:00,20.8,20.8,20.72,20.73,979
2020-11-18 10:04:00-05:00,20.75,20.75,20.72,20.72,1317
2020-11-18 10:08:00-05:00,20.71,20.71,20.71,20.71,621
2020-11-18 10:14:00-05:00,20.665,20.665,20.6,20.63,1313
2020-11-18 10:18:00-05:00,20.56,20.56,20.55,20.55,796
2020-11-18 10:20:00-05:00,20.495,20.495,20.495,20.495,186
2020-11-18 10:28:00-05:00,20.48,20.48,20.48,20.48,234
2020-11-18 10:32:00-05:00,20.52,20.56,20.52,20.56,2303
2020-11-18 10:34:00-05:00,20.57,20.58,20.57,20.58,606
2020-11-18 10:36:00-05:00,20.55,20.55,20.37,20.46,18344
2020-11-18 10:38:00-05:00,20.46,20.5,20.46,20.475,520
2020-11-18 10:42:00-05:00,20.4787,20.4787,20.4501,20.4501,3135
2020-11-18 10:44:00-05:00,20.48,20.48,20.45,20.45,577
2020-11-18 10:46:00-05:00,20.42,20.4201,20.42,20.42,1879
2020-11-18 10:48:00-05:00,20.44,20.45,20.44,20.45,2319
2020-11-18 10:52:00-05:00,20.46,20.46,20.46,20.46,303
2020-11-18 10:54:00-05:00,20.44,20.44,20.44,20.44,537
2020-11-18 10:56:00-05:00,20.45,20.45,20.4,20.4,2602
2020-11-18 11:00:00-05:00,20.43,20.45,20.41,20.44,1740
2020-11-18 11:02:00-05:00,20.45,20.51,20.45,20.51,3454
2020-11-18 11:04:00-05:00,20.51,20.51,20.51,20.51,125
2020-11-18 11:06:00-05:00,20.53,20.53,20.45,20.48,3327
2020-11-18 11:08:00-05:00,20.48,20.48,20.48,20.48,291
2020-11-18 11:10:00-05:00,20.48,20.48,20.41,20.45,1287
2020-11-18 11:14:00-05:00,20.41,20.445,20.36,20.36,1108
2020-11-18 11:16:00-05:00,20.36,20.4,20.36,20.375,2593
2020-11-18 11:20:00-05:00,20.365,20.365,20.365,20.365,607
2020-11-18 11:22:00-05:00,20.33,20.33,20.25,20.25,468
2020-11-18 11:24:00-05:00,20.22,20.33,20.22,20.33,1555
2020-11-18 11:26:00-05:00,20.34,20.41,20.34,20.41,1330
2020-11-18 11:30:00-05:00,20.41,20.41,20.38,20.38,1605
2020-11-18 11:32:00-05:00,20.34,20.34,20.29,20.29,1501
2020-11-18 11:34:00-05:00,20.27,20.32,20.25,20.31,1167
2020-11-18 11:36:00-05:00,20.32,20.32,20.32,20.32,340
2020-11-18 11:38:00-05:00,20.32,20.39,20.32,20.39,1739
2020-11-18 11:42:00-05:00,20.37,20.4,20.37,20.4,200
2020-11-18 11:44:00-05:00,20.4,20.4,20.4,20.4,517
2020-11-18 11:46:00-05:00,20.44,20.46,20.44,20.455,610
2020-11-18 11:48:00-05:00,20.41,20.41,20.31,20.31,1938
2020-11-18 11:50:00-05:00,20.31,20.31,20.25,20.25,2052
2020-11-18 11:52:00-05:00,20.28,20.34,20.28,20.34,1274
2020-11-18 11:58:00-05:00,20.34,20.365,20.32,20.345,2527
2020-11-18 12:00:00-05:00,20.345,20.3695,20.32,20.32,2405
2020-11-18 12:02:00-05:00,20.29,20.29,20.26,20.26,488
2020-11-18 12:04:00-05:00,20.26,20.26,20.26,20.26,300
2020-11-18 12:06:00-05:00,20.26,20.26,20.21,20.21,985
2020-11-18 12:08:00-05:00,20.21,20.22,20.19,20.21,2205
2020-11-18 12:10:00-05:00,20.24,20.26,20.215,20.24,1670
2020-11-18 12:12:00-05:00,20.21,20.21,20.21,20.21,100
2020-11-18 12:14:00-05:00,20.21,20.21,20.21,20.21,514
2020-11-18 12:18:00-05:00,20.215,20.215,20.215,20.215,236
2020-11-18 12:20:00-05:00,20.24,20.29,20.24,20.29,1691
2020-11-18 12:22:00-05:00,20.24,20.28,20.24,20.28,1531
2020-11-18 12:26:00-05:00,20.2594,20.2594,20.2594,20.2594,164
2020-11-18 12:28:00-05:00,20.245,20.245,20.245,20.245,100
2020-11-18 12:30:00-05:00,20.245,20.245,20.245,20.245,120
2020-11-18 12:34:00-05:00,20.27,20.27,20.216,20.216,215
2020-11-18 12:36:00-05:00,20.27,20.27,20.24,20.24,300
2020-11-18 12:38:00-05:00,20.27,20.32,20.27,20.32,1868
2020-11-18 12:40:00-05:00,20.32,20.36,20.32,20.36,1788
2020-11-18 12:42:00-05:00,20.4,20.4,20.375,20.375,485
2020-11-18 12:44:00-05:00,20.39,20.39,20.39,20.39,135
2020-11-18 12:48:00-05:00,20.36,20.36,20.31,20.32,1723
2020-11-18 12:50:00-05:00,20.31,20.3409,20.28,20.28,1097
2020-11-18 12:54:00-05:00,20.32,20.34,20.32,20.34,980
2020-11-18 12:56:00-05:00,20.34,20.34,20.34,20.34,635
2020-11-18 12:58:00-05:00,20.33,20.3532,20.33,20.3532,1595
2020-11-18 13:02:00-05:00,20.36,20.36,20.36,20.36,290
2020-11-18 13:04:00-05:00,20.36,20.37,20.36,20.37,983
2020-11-18 13:06:00-05:00,20.4,20.4,20.4,20.4,1000
2020-11-18 13:18:00-05:00,20.37,20.37,20.37,20.37,200
2020-11-18 13:20:00-05:00,20.36,20.38,20.36,20.38,397
2020-11-18 13:24:00-05:00,20.4,20.41,20.4,20.41,1454
2020-11-18 13:26:00-05:00,20.41,20.41,20.41,20.41,353
2020-11-18 13:28:00-05:00,20.39,20.4,20.38,20.4,1217
2020-11-18 13:30:00-05:00,20.37,20.38,20.37,20.38,623
2020-11-18 13:32:00-05:00,20.38,20.38,20.38,20.38,221
2020-11-18 13:34:00-05:00,20.36,20.36,20.35,20.36,824
2020-11-18 13:36:00-05:00,20.39,20.39,20.36,20.39,589
2020-11-18 13:38:00-05:00,20.41,20.41,20.41,20.41,202
2020-11-18 13:40:00-05:00,20.39,20.39,20.39,20.39,1208
2020-11-18 13:42:00-05:00,20.36,20.36,20.36,20.36,100
2020-11-18 13:44:00-05:00,20.3754,20.3754,20.3754,20.3754,658
2020-11-18 13:46:00-05:00,20.36,20.36,20.33,20.3549,1175
2020-11-18 13:50:00-05:00,20.28,20.3,20.27,20.3,1403
2020-11-18 13:56:00-05:00,20.3,20.3,20.29,20.29,968
2020-11-18 13:58:00-05:00,20.31,20.32,20.31,20.32,786
2020-11-18 14:00:00-05:00,20.32,20.38,20.32,20.38,1630
2020-11-18 14:04:00-05:00,20.4,20.41,20.4,20.41,729
2020-11-18 14:06:00-05:00,20.41,20.41,20.37,20.37,1443
2020-11-18 14:08:00-05:00,20.38,20.38,20.38,20.38,323
