date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,8.25,8.3696,8.09,8.19,15837
2020-11-18 09:32:00-05:00,8.2396,8.28,8.08,8.08,3204
2020-11-18 09:34:00-05:00,8.1,8.2,8.1,8.17,4308
2020-11-18 09:36:00-05:00,8.175,8.22,8.09,8.22,1768
2020-11-18 09:38:00-05:00,8.16,8.16,8.1,8.15,607
2020-11-18 09:40:00-05:00,8.1,8.155,8.0475,8.07,9573
2020-11-18 09:42:00-05:00,8.065,8.09,8.04,8.045,1564
2020-11-18 09:44:00-05:00,8.045,8.0542,8.045,8.0542,472
2020-11-18 09:46:00-05:00,8.02,8.025,8.01,8.025,3081
2020-11-18 09:48:00-05:00,8.02,8.02,7.92,7.9785,13367
2020-11-18 09:50:00-05:00,7.96,7.96,7.92,7.92,649
2020-11-18 09:52:00-05:00,7.965,8.06,7.965,8.0,6431
2020-11-18 09:54:00-05:00,8.03,8.03,7.92,7.9548,2546
2020-11-18 09:56:00-05:00,7.9468,7.9664,7.92,7.92,3455
2020-11-18 09:58:00-05:00,7.96,8.0,7.9067,8.0,38788
2020-11-18 10:00:00-05:00,7.965,8.0,7.92,7.92,3627
2020-11-18 10:02:00-05:00,7.91,7.94,7.9,7.94,11562
2020-11-18 10:04:00-05:00,7.96,7.96,7.92,7.92,912
2020-11-18 10:06:00-05:00,7.91,7.97,7.9,7.97,2991
2020-11-18 10:08:00-05:00,7.97,7.97,7.9,7.97,4283
2020-11-18 10:10:00-05:00,7.935,8.0,7.935,7.99,2437
2020-11-18 10:12:00-05:00,7.96,7.965,7.9201,7.9201,2272
2020-11-18 10:14:00-05:00,7.9479,7.96,7.9,7.9,3795
2020-11-18 10:16:00-05:00,7.92,7.92,7.87,7.88,6757
2020-11-18 10:18:00-05:00,7.88,7.89,7.88,7.8861,1697
2020-11-18 10:20:00-05:00,7.89,7.9082,7.89,7.9082,569
2020-11-18 10:22:00-05:00,7.92,7.92,7.8938,7.91,1705
2020-11-18 10:24:00-05:00,7.9269,7.9269,7.86,7.89,1161
2020-11-18 10:26:00-05:00,7.895,7.9155,7.8837,7.887,24331
2020-11-18 10:28:00-05:00,7.88,7.88,7.79,7.815,14444
2020-11-18 10:30:00-05:00,7.84,7.86,7.84,7.86,416
2020-11-18 10:32:00-05:00,7.865,7.865,7.81,7.845,2334
2020-11-18 10:34:00-05:00,7.82,7.8799,7.82,7.84,1828
2020-11-18 10:36:00-05:00,7.85,7.85,7.76,7.78,11500
2020-11-18 10:38:00-05:00,7.775,7.79,7.76,7.765,2968
2020-11-18 10:40:00-05:00,7.78,7.785,7.76,7.76,3476
2020-11-18 10:42:00-05:00,7.769,7.7759,7.73,7.755,9408
2020-11-18 10:44:00-05:00,7.77,7.78,7.7625,7.78,1959
2020-11-18 10:46:00-05:00,7.76,7.7938,7.73,7.767,2212
2020-11-18 10:48:00-05:00,7.77,7.78,7.73,7.775,14009
2020-11-18 10:50:00-05:00,7.8005,7.83,7.778,7.83,2964
2020-11-18 10:52:00-05:00,7.85,7.92,7.84,7.84,17933
2020-11-18 10:54:00-05:00,7.88,7.88,7.8608,7.8608,365
2020-11-18 10:56:00-05:00,7.88,7.97,7.88,7.95,5122
2020-11-18 10:58:00-05:00,7.98,8.0,7.965,7.99,9628
2020-11-18 11:00:00-05:00,7.995,8.0,7.98,7.985,2551
2020-11-18 11:02:00-05:00,8.0,8.0,7.97,8.0,12758
2020-11-18 11:04:00-05:00,8.0142,8.0142,7.9801,8.0,3507
2020-11-18 11:06:00-05:00,8.0,8.0,7.97,7.97,1370
2020-11-18 11:08:00-05:00,8.0,8.0,7.96,7.96,1847
2020-11-18 11:10:00-05:00,7.96,7.975,7.9,7.9,6165
2020-11-18 11:12:00-05:00,7.98,7.98,7.98,7.98,104
2020-11-18 11:14:00-05:00,7.93,7.94,7.9,7.915,3923
2020-11-18 11:16:00-05:00,7.915,7.9263,7.9,7.9263,817
2020-11-18 11:18:00-05:00,7.91,7.9389,7.8978,7.9389,2862
2020-11-18 11:20:00-05:00,7.916,7.916,7.916,7.916,190
