date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,63.6,63.6,62.51,63.4,10233
2020-11-18 09:32:00-05:00,62.9689,63.12,62.9689,63.12,844
2020-11-18 09:34:00-05:00,63.4,63.59,63.33,63.59,5057
2020-11-18 09:38:00-05:00,63.52,63.6,63.28,63.35,26676
2020-11-18 09:40:00-05:00,63.38,63.535,63.23,63.535,1522
2020-11-18 09:42:00-05:00,63.49,63.5,63.28,63.4,1230
2020-11-18 09:44:00-05:00,63.41,63.59,63.41,63.59,3546
2020-11-18 09:46:00-05:00,63.6,63.84,63.6,63.84,5608
2020-11-18 09:48:00-05:00,63.83,63.93,63.83,63.85,879
2020-11-18 09:50:00-05:00,63.77,63.83,63.76,63.79,2668
2020-11-18 09:52:00-05:00,63.79,63.79,63.79,63.79,258
2020-11-18 09:54:00-05:00,63.52,63.91,63.52,63.91,1454
2020-11-18 09:56:00-05:00,63.92,64.27,63.92,64.27,4312
2020-11-18 09:58:00-05:00,64.0,64.25,64.0,64.25,995
2020-11-18 10:00:00-05:00,64.37,64.37,64.37,64.37,179
2020-11-18 10:02:00-05:00,64.25,64.25,64.06,64.14,845
2020-11-18 10:04:00-05:00,64.23,64.33,64.16,64.16,3408
2020-11-18 10:06:00-05:00,64.22,64.225,64.22,64.225,204
2020-11-18 10:08:00-05:00,64.22,64.225,64.22,64.225,201
2020-11-18 10:10:00-05:00,64.1054,64.2,64.03,64.195,2130
2020-11-18 10:12:00-05:00,64.2,64.295,64.06,64.06,3401
2020-11-18 10:14:00-05:00,64.07,64.095,63.83,63.83,2471
2020-11-18 10:16:00-05:00,63.935,63.935,63.935,63.935,100
2020-11-18 10:18:00-05:00,64.095,64.1,63.71,63.71,4057
2020-11-18 10:20:00-05:00,63.91,64.03,63.84,64.03,2359
2020-11-18 10:22:00-05:00,64.16,64.175,63.89,64.16,409
2020-11-18 10:24:00-05:00,64.015,64.14,64.0,64.12,626
2020-11-18 10:26:00-05:00,63.97,64.335,63.97,64.28,1632
2020-11-18 10:28:00-05:00,64.32,64.44,64.32,64.34,1117
2020-11-18 10:30:00-05:00,64.365,64.42,64.31,64.365,925
2020-11-18 10:32:00-05:00,64.33,64.36,64.12,64.12,1764
2020-11-18 10:34:00-05:00,64.1,64.1,64.1,64.1,149
2020-11-18 10:36:00-05:00,64.1636,64.165,64.095,64.095,628
2020-11-18 10:38:00-05:00,64.17,64.17,64.17,64.17,204
2020-11-18 10:40:00-05:00,64.13,64.21,64.13,64.2,1720
2020-11-18 10:42:00-05:00,64.23,64.23,64.23,64.23,215
2020-11-18 10:44:00-05:00,64.175,64.21,64.175,64.21,750
2020-11-18 10:46:00-05:00,64.21,64.31,64.21,64.3,2921
2020-11-18 10:48:00-05:00,64.31,64.43,64.31,64.355,5981
2020-11-18 10:50:00-05:00,64.38,64.42,64.335,64.41,4748
2020-11-18 10:52:00-05:00,64.43,64.5,64.43,64.445,2380
2020-11-18 10:54:00-05:00,64.5,64.5,64.5,64.5,1406
2020-11-18 10:56:00-05:00,64.5,64.56,64.47,64.56,2225
2020-11-18 10:58:00-05:00,64.55,64.66,64.55,64.66,1585
2020-11-18 11:00:00-05:00,64.66,64.66,64.61,64.62,723
2020-11-18 11:02:00-05:00,64.62,64.79,64.61,64.79,3057
2020-11-18 11:04:00-05:00,64.8,64.85,64.8,64.85,4002
2020-11-18 11:06:00-05:00,64.82,64.83,64.62,64.63,3313
2020-11-18 11:08:00-05:00,64.62,64.75,64.62,64.74,2632
2020-11-18 11:10:00-05:00,64.72,64.78,64.64,64.64,1397
2020-11-18 11:12:00-05:00,64.71,64.82,64.71,64.81,1550
2020-11-18 11:14:00-05:00,64.81,64.85,64.7,64.7,1771
2020-11-18 11:16:00-05:00,64.7,64.7,64.67,64.7,766
2020-11-18 11:18:00-05:00,64.7,64.77,64.7,64.77,1198
2020-11-18 11:20:00-05:00,64.77,64.82,64.77,64.82,1034
2020-11-18 11:22:00-05:00,64.82,64.88,64.795,64.88,1479
2020-11-18 11:24:00-05:00,64.88,64.95,64.86,64.95,4529
2020-11-18 11:26:00-05:00,64.95,64.95,64.95,64.95,1332
2020-11-18 11:28:00-05:00,64.9223,64.98,64.9223,64.98,634
2020-11-18 11:30:00-05:00,64.98,64.98,64.935,64.97,1059
2020-11-18 11:32:00-05:00,64.935,64.97,64.935,64.97,1236
2020-11-18 11:34:00-05:00,64.97,64.98,64.97,64.98,709
2020-11-18 11:36:00-05:00,64.97,64.99,64.94,64.99,5069
2020-11-18 11:38:00-05:00,64.965,64.99,64.93,64.93,2520
2020-11-18 11:40:00-05:00,64.93,64.96,64.88,64.93,1881
2020-11-18 11:42:00-05:00,64.9397,64.94,64.8829,64.94,1592
2020-11-18 11:44:00-05:00,64.9,64.94,64.9,64.94,420
2020-11-18 11:46:00-05:00,64.915,64.94,64.89,64.94,1619
2020-11-18 11:48:00-05:00,64.87,64.91,64.84,64.88,2328
2020-11-18 11:50:00-05:00,64.91,65.085,64.91,65.05,10486
2020-11-18 11:52:00-05:00,65.0,65.0,64.95,64.95,1663
2020-11-18 11:54:00-05:00,64.98,65.1,64.98,65.025,1762
2020-11-18 11:56:00-05:00,65.055,65.3,65.055,65.3,7557
2020-11-18 11:58:00-05:00,65.245,65.245,64.95,64.95,6167
2020-11-18 12:00:00-05:00,64.95,65.06,64.93,65.03,8808
2020-11-18 12:02:00-05:00,65.015,65.015,64.97,64.97,1210
2020-11-18 12:04:00-05:00,65.0,65.09,65.0,65.09,1719
2020-11-18 12:06:00-05:00,65.1,65.19,64.99,65.0,28539
2020-11-18 12:08:00-05:00,65.0,65.17,65.0,65.17,3552
2020-11-18 12:10:00-05:00,65.18,65.18,64.9,64.9,37495
2020-11-18 12:12:00-05:00,64.9,64.9,64.75,64.8,6463
2020-11-18 12:14:00-05:00,64.77,64.9,64.77,64.85,2627
2020-11-18 12:16:00-05:00,64.85,64.85,64.76,64.76,3611
2020-11-18 12:18:00-05:00,64.84,64.95,64.84,64.88,1985
2020-11-18 12:20:00-05:00,64.96,64.96,64.92,64.96,1006
2020-11-18 12:22:00-05:00,65.0,65.0,64.8,64.885,36529
2020-11-18 12:24:00-05:00,64.885,64.885,64.46,64.49,36684
2020-11-18 12:26:00-05:00,64.49,64.5,64.33,64.33,4244
2020-11-18 12:28:00-05:00,64.36,64.36,64.06,64.1,3124
2020-11-18 12:30:00-05:00,64.11,64.275,64.11,64.22,6029
2020-11-18 12:32:00-05:00,64.2,64.245,64.2,64.245,924
2020-11-18 12:34:00-05:00,64.245,64.29,64.22,64.245,4453
2020-11-18 12:36:00-05:00,64.245,64.245,64.2041,64.2041,821
2020-11-18 12:38:00-05:00,64.245,64.245,64.225,64.245,1202
2020-11-18 12:40:00-05:00,64.28,64.3,64.245,64.3,1517
2020-11-18 12:42:00-05:00,64.37,64.4,64.325,64.4,1263
2020-11-18 12:44:00-05:00,64.455,64.46,64.395,64.401,1064
2020-11-18 12:46:00-05:00,64.46,64.505,64.39,64.46,1323
2020-11-18 12:48:00-05:00,64.46,64.54,64.46,64.54,817
2020-11-18 12:50:00-05:00,64.54,64.54,64.535,64.54,633
2020-11-18 12:52:00-05:00,64.505,64.505,64.42,64.42,23043
2020-11-18 12:54:00-05:00,64.445,64.45,64.42,64.42,579
2020-11-18 12:56:00-05:00,64.41,64.45,64.39,64.415,4146
2020-11-18 12:58:00-05:00,64.45,64.475,64.45,64.475,309
2020-11-18 13:00:00-05:00,64.53,64.7,64.53,64.6,839
2020-11-18 13:02:00-05:00,64.65,64.6525,64.6,64.6525,829
2020-11-18 13:04:00-05:00,64.72,64.79,64.67,64.705,525
2020-11-18 13:06:00-05:00,64.76,64.82,64.76,64.82,941
2020-11-18 13:08:00-05:00,64.82,64.87,64.785,64.795,1515
2020-11-18 13:10:00-05:00,64.87,64.875,64.835,64.835,994
2020-11-18 13:12:00-05:00,64.84,64.84,64.83,64.84,1065
2020-11-18 13:14:00-05:00,64.84,64.89,64.79,64.79,3857
2020-11-18 13:16:00-05:00,64.77,64.81,64.755,64.81,1766
2020-11-18 13:18:00-05:00,64.81,64.82,64.78,64.82,987
2020-11-18 13:20:00-05:00,64.85,64.865,64.85,64.865,217
2020-11-18 13:22:00-05:00,64.835,64.835,64.8,64.83,1130
2020-11-18 13:24:00-05:00,64.855,64.855,64.77,64.77,3490
2020-11-18 13:26:00-05:00,64.82,64.82,64.72,64.795,1500
2020-11-18 13:28:00-05:00,64.73,64.79,64.72,64.74,1581
2020-11-18 13:30:00-05:00,64.765,64.83,64.765,64.83,2044
2020-11-18 13:32:00-05:00,64.82,64.83,64.79,64.81,1341
2020-11-18 13:34:00-05:00,64.825,64.85,64.82,64.82,1578
2020-11-18 13:36:00-05:00,64.82,64.87,64.81,64.87,2151
2020-11-18 13:40:00-05:00,64.91,64.935,64.85,64.9,2920
2020-11-18 13:42:00-05:00,64.8859,64.8859,64.825,64.825,1148
2020-11-18 13:44:00-05:00,64.77,64.77,64.75,64.7564,836
2020-11-18 13:46:00-05:00,64.7087,64.735,64.62,64.64,4008
2020-11-18 13:48:00-05:00,64.7,64.78,64.58,64.6,8760
2020-11-18 13:50:00-05:00,64.605,64.65,64.605,64.65,344
2020-11-18 13:52:00-05:00,64.72,64.72,64.625,64.625,526
2020-11-18 13:54:00-05:00,64.615,64.7,64.6,64.7,4044
2020-11-18 13:56:00-05:00,64.79,64.8,64.75,64.75,717
2020-11-18 13:58:00-05:00,64.67,64.8,64.67,64.8,602
2020-11-18 14:00:00-05:00,64.8,64.895,64.765,64.895,1968
2020-11-18 14:02:00-05:00,64.91,64.96,64.89,64.89,1568
2020-11-18 14:04:00-05:00,64.89,64.89,64.79,64.8,4297
2020-11-18 14:06:00-05:00,64.8,64.93,64.8,64.93,1385
2020-11-18 14:08:00-05:00,64.92,64.98,64.92,64.96,925
2020-11-18 14:10:00-05:00,64.92,64.92,64.88,64.8875,2098
2020-11-18 14:12:00-05:00,64.87,64.87,64.84,64.85,1379
2020-11-18 14:14:00-05:00,64.86,64.91,64.85,64.855,1413
2020-11-18 14:16:00-05:00,64.835,64.84,64.81,64.81,1308
2020-11-18 14:18:00-05:00,64.87,64.89,64.815,64.815,2077
2020-11-18 14:20:00-05:00,64.81,64.81,64.725,64.78,3341
2020-11-18 14:22:00-05:00,64.82,64.82,64.785,64.785,305
2020-11-18 14:24:00-05:00,64.765,64.77,64.68,64.695,2638
2020-11-18 14:26:00-05:00,64.69,64.69,64.61,64.64,2345
2020-11-18 14:28:00-05:00,64.72,64.72,64.565,64.59,9941
2020-11-18 14:30:00-05:00,64.55,64.55,64.39,64.405,3314
2020-11-18 14:32:00-05:00,64.405,64.44,64.37,64.405,1669
2020-11-18 14:34:00-05:00,64.435,64.46,64.3,64.31,3275
2020-11-18 14:36:00-05:00,64.35,64.41,64.335,64.41,1578
2020-11-18 14:38:00-05:00,64.4,64.45,64.36,64.43,2289
2020-11-18 14:40:00-05:00,64.43,64.43,64.35,64.41,1585
2020-11-18 14:42:00-05:00,64.36,64.36,64.18,64.18,5790
2020-11-18 14:44:00-05:00,64.18,64.18,64.15,64.18,1418
2020-11-18 14:46:00-05:00,64.175,64.175,64.1,64.1,1543
2020-11-18 14:48:00-05:00,64.1,64.2,64.09,64.15,5270
2020-11-18 14:50:00-05:00,64.1,64.115,64.025,64.025,2516
2020-11-18 14:52:00-05:00,63.97,64.01,63.95,63.98,2820
2020-11-18 14:54:00-05:00,63.99,64.12,63.99,64.1,3322
2020-11-18 14:56:00-05:00,64.1,64.14,64.06,64.14,1012
2020-11-18 14:58:00-05:00,64.1,64.1,64.01,64.04,1439
2020-11-18 15:00:00-05:00,64.0175,64.06,63.96,64.0,4161
2020-11-18 15:02:00-05:00,64.0,64.0,63.93,63.93,1110
2020-11-18 15:04:00-05:00,63.95,63.96,63.84,63.8417,2664
2020-11-18 15:06:00-05:00,63.81,63.95,63.8,63.95,1783
2020-11-18 15:08:00-05:00,64.015,64.08,63.95,64.07,619
2020-11-18 15:10:00-05:00,64.07,64.22,64.07,64.215,2603
2020-11-18 15:12:00-05:00,64.215,64.215,64.085,64.085,3296
2020-11-18 15:14:00-05:00,64.12,64.12,64.0,64.005,3036
2020-11-18 15:16:00-05:00,63.995,64.0,63.95,63.97,1812
2020-11-18 15:18:00-05:00,63.94,63.99,63.83,63.83,2379
2020-11-18 15:20:00-05:00,63.82,63.9,63.8113,63.9,3450
2020-11-18 15:22:00-05:00,63.93,63.96,63.9,63.915,824
2020-11-18 15:24:00-05:00,63.96,64.01,63.94,63.94,3358
2020-11-18 15:26:00-05:00,63.95,63.97,63.82,63.82,2742
2020-11-18 15:28:00-05:00,63.85,63.985,63.84,63.925,2696
2020-11-18 15:30:00-05:00,63.86,63.93,63.85,63.9,2858
2020-11-18 15:32:00-05:00,63.905,63.905,63.83,63.9,2671
2020-11-18 15:34:00-05:00,63.93,63.945,63.73,63.73,3801
2020-11-18 15:36:00-05:00,63.73,63.73,63.545,63.62,2746
2020-11-18 15:38:00-05:00,63.62,63.77,63.62,63.72,3762
2020-11-18 15:40:00-05:00,63.73,63.76,63.6,63.69,2962
2020-11-18 15:42:00-05:00,63.6,63.69,63.6,63.645,3659
2020-11-18 15:44:00-05:00,63.59,63.69,63.56,63.68,6089
2020-11-18 15:46:00-05:00,63.71,63.765,63.59,63.725,3029
2020-11-18 15:48:00-05:00,63.735,63.735,63.51,63.58,5967
2020-11-18 15:50:00-05:00,63.6,63.695,63.51,63.57,7062
2020-11-18 15:52:00-05:00,63.51,63.58,63.49,63.54,12763
2020-11-18 15:54:00-05:00,63.53,63.57,63.43,63.53,13641
2020-11-18 15:56:00-05:00,63.53,63.53,63.34,63.43,17141
2020-11-18 15:58:00-05:00,63.39,63.5,63.2,63.29,34935
2020-11-19 09:30:00-05:00,62.86,63.16,62.43,62.59,6024
2020-11-19 09:32:00-05:00,62.42,62.42,61.99,61.99,1562
2020-11-19 09:34:00-05:00,62.365,62.76,62.09,62.13,987
2020-11-19 09:36:00-05:00,62.4,62.56,62.01,62.14,2961
2020-11-19 09:38:00-05:00,62.25,62.25,61.91,62.155,1414
2020-11-19 09:40:00-05:00,61.42,61.82,61.29,61.29,1426
2020-11-19 09:42:00-05:00,61.18,61.84,61.18,61.84,224
2020-11-19 09:44:00-05:00,61.2,62.0,61.15,61.65,13801
2020-11-19 09:46:00-05:00,61.62,61.885,61.33,61.58,2093
2020-11-19 09:48:00-05:00,61.835,62.32,61.835,62.32,8967
2020-11-19 09:50:00-05:00,62.27,62.27,61.98,62.0,1536
2020-11-19 09:52:00-05:00,62.31,62.45,61.95,61.95,4233
2020-11-19 09:54:00-05:00,62.165,62.175,61.95,61.95,1148
2020-11-19 09:56:00-05:00,61.95,62.15,61.79,61.86,9631
2020-11-19 09:58:00-05:00,61.935,62.05,61.64,61.9,1593
2020-11-19 10:00:00-05:00,62.01,62.25,62.01,62.25,2020
2020-11-19 10:02:00-05:00,62.11,62.155,61.98,62.155,1556
2020-11-19 10:04:00-05:00,62.27,62.39,62.23,62.33,2704
2020-11-19 10:06:00-05:00,62.3,62.48,62.3,62.48,1339
2020-11-19 10:08:00-05:00,62.31,62.36,62.26,62.36,1555
2020-11-19 10:10:00-05:00,62.34,62.675,62.34,62.585,2521
2020-11-19 10:12:00-05:00,62.63,62.67,62.51,62.55,2204
2020-11-19 10:14:00-05:00,62.675,62.675,62.675,62.675,101
2020-11-19 10:16:00-05:00,62.57,62.68,62.47,62.68,2520
2020-11-19 10:18:00-05:00,62.68,62.78,62.375,62.375,2513
2020-11-19 10:22:00-05:00,62.635,62.635,62.29,62.44,1679
2020-11-19 10:24:00-05:00,62.385,62.385,61.83,61.83,2603
2020-11-19 10:26:00-05:00,61.99,61.99,61.88,61.88,496
2020-11-19 10:28:00-05:00,62.03,62.05,61.69,61.69,1523
2020-11-19 10:30:00-05:00,61.92,62.035,61.68,61.855,1818
2020-11-19 10:32:00-05:00,61.835,62.06,61.835,62.05,2164
2020-11-19 10:34:00-05:00,62.09,62.14,61.97,62.14,1781
2020-11-19 10:36:00-05:00,62.215,62.235,61.97,62.05,2087
