date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,5.31,5.45,5.31,5.31,6995
2020-11-18 09:32:00-05:00,5.38,5.55,5.38,5.55,12687
2020-11-18 09:34:00-05:00,5.55,5.55,5.46,5.46,6543
2020-11-18 09:36:00-05:00,5.46,5.53,5.3901,5.51,9164
2020-11-18 09:38:00-05:00,5.53,5.64,5.52,5.52,16265
2020-11-18 09:40:00-05:00,5.53,5.6,5.5101,5.5101,26744
2020-11-18 09:42:00-05:00,5.545,5.545,5.48,5.49,8497
2020-11-18 09:44:00-05:00,5.48,5.5,5.45,5.45,3863
2020-11-18 09:46:00-05:00,5.45,5.45,5.44,5.44,1502
2020-11-18 09:48:00-05:00,5.443,5.47,5.42,5.47,6482
2020-11-18 09:50:00-05:00,5.49,5.505,5.45,5.4561,4738
2020-11-18 09:52:00-05:00,5.48,5.5,5.45,5.48,22019
2020-11-18 09:54:00-05:00,5.469,5.5,5.45,5.455,8244
2020-11-18 09:56:00-05:00,5.46,5.46,5.45,5.45,3207
2020-11-18 09:58:00-05:00,5.45,5.45,5.42,5.43,6542
2020-11-18 10:00:00-05:00,5.42,5.43,5.41,5.43,4284
2020-11-18 10:02:00-05:00,5.4283,5.43,5.4283,5.43,1207
2020-11-18 10:04:00-05:00,5.43,5.43,5.41,5.41,3041
2020-11-18 10:06:00-05:00,5.4199,5.43,5.39,5.415,6585
2020-11-18 10:08:00-05:00,5.415,5.415,5.395,5.4,7774
2020-11-18 10:10:00-05:00,5.4,5.4,5.39,5.4,2053
2020-11-18 10:12:00-05:00,5.4,5.4074,5.4,5.4,1100
2020-11-18 10:14:00-05:00,5.4,5.4,5.36,5.36,4958
2020-11-18 10:16:00-05:00,5.36,5.37,5.355,5.36,3353
2020-11-18 10:18:00-05:00,5.3696,5.37,5.3696,5.37,500
2020-11-18 10:20:00-05:00,5.37,5.38,5.36,5.38,1258
2020-11-18 10:22:00-05:00,5.3887,5.41,5.3887,5.4,2837
2020-11-18 10:24:00-05:00,5.4,5.405,5.4,5.405,1106
2020-11-18 10:26:00-05:00,5.4,5.41,5.4,5.4,2110
2020-11-18 10:28:00-05:00,5.4,5.4,5.39,5.39,929
2020-11-18 10:30:00-05:00,5.39,5.395,5.39,5.395,312
2020-11-18 10:32:00-05:00,5.4,5.4,5.4,5.4,1925
2020-11-18 10:34:00-05:00,5.4,5.4,5.4,5.4,900
2020-11-18 10:36:00-05:00,5.4,5.4,5.39,5.39,735
2020-11-18 10:38:00-05:00,5.4,5.4,5.395,5.395,975
2020-11-18 10:40:00-05:00,5.4,5.4,5.3925,5.3925,703
2020-11-18 10:42:00-05:00,5.4,5.4,5.3942,5.4,2547
2020-11-18 10:44:00-05:00,5.4,5.405,5.396,5.4,2459
2020-11-18 10:46:00-05:00,5.4,5.4,5.4,5.4,800
2020-11-18 10:48:00-05:00,5.405,5.415,5.405,5.415,925
2020-11-18 10:50:00-05:00,5.415,5.435,5.4,5.405,6043
2020-11-18 10:52:00-05:00,5.405,5.41,5.4,5.41,2273
2020-11-18 10:54:00-05:00,5.415,5.42,5.41,5.41,7400
2020-11-18 10:56:00-05:00,5.405,5.405,5.4,5.4,7298
2020-11-18 10:58:00-05:00,5.4,5.4,5.4,5.4,700
2020-11-18 11:00:00-05:00,5.4,5.4,5.4,5.4,1684
2020-11-18 11:02:00-05:00,5.4,5.4,5.4,5.4,1160
2020-11-18 11:04:00-05:00,5.4,5.4,5.395,5.4,3362
2020-11-18 11:06:00-05:00,5.4,5.4,5.4,5.4,1400
2020-11-18 11:08:00-05:00,5.4,5.405,5.395,5.4,3254
2020-11-18 11:10:00-05:00,5.4,5.405,5.4,5.4,3285
2020-11-18 11:12:00-05:00,5.4,5.455,5.4,5.45,5470
2020-11-18 11:14:00-05:00,5.44,5.45,5.425,5.45,3658
2020-11-18 11:16:00-05:00,5.45,5.45,5.445,5.45,651
2020-11-18 11:18:00-05:00,5.45,5.495,5.45,5.485,13334
2020-11-18 11:20:00-05:00,5.49,5.525,5.49,5.49,11775
2020-11-18 11:22:00-05:00,5.485,5.49,5.485,5.49,5181
2020-11-18 11:24:00-05:00,5.49,5.495,5.485,5.49,4601
2020-11-18 11:26:00-05:00,5.49,5.51,5.47,5.475,10335
2020-11-18 11:28:00-05:00,5.46,5.48,5.43,5.47,26723
2020-11-18 11:32:00-05:00,5.49,5.525,5.49,5.525,7133
2020-11-18 11:34:00-05:00,5.53,5.555,5.53,5.5409,6795
2020-11-18 11:36:00-05:00,5.545,5.555,5.545,5.545,3581
2020-11-18 11:38:00-05:00,5.55,5.565,5.54,5.565,11449
2020-11-18 11:40:00-05:00,5.565,5.565,5.565,5.565,2300
2020-11-18 11:42:00-05:00,5.565,5.575,5.565,5.575,3106
2020-11-18 11:44:00-05:00,5.575,5.58,5.55,5.555,6995
2020-11-18 11:46:00-05:00,5.555,5.585,5.555,5.57,5007
2020-11-18 11:48:00-05:00,5.57,5.57,5.54,5.565,4538
2020-11-18 11:50:00-05:00,5.565,5.58,5.565,5.57,4610
2020-11-18 11:52:00-05:00,5.57,5.58,5.54,5.56,1777
2020-11-18 11:54:00-05:00,5.57,5.57,5.56,5.56,2320
