date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,6.11,6.11,6.09,6.09,645
2020-11-18 09:32:00-05:00,6.09,6.09,6.09,6.09,783
2020-11-18 09:34:00-05:00,6.05,6.15,6.03,6.15,4850
2020-11-18 09:36:00-05:00,6.145,6.145,6.145,6.145,1668
2020-11-18 09:42:00-05:00,6.142,6.16,6.142,6.16,860
2020-11-18 09:48:00-05:00,6.17,6.2,6.17,6.2,3265
2020-11-18 09:50:00-05:00,6.2,6.26,6.14,6.26,2761
2020-11-18 09:54:00-05:00,6.335,6.38,6.3,6.3,14984
2020-11-18 09:56:00-05:00,6.3,6.3,6.3,6.3,307
2020-11-18 10:00:00-05:00,6.2895,6.2895,6.2895,6.2895,770
2020-11-18 10:26:00-05:00,6.28,6.29,6.28,6.29,200
2020-11-18 10:30:00-05:00,6.21,6.21,6.18,6.18,1122
2020-11-18 10:34:00-05:00,6.11,6.11,6.09,6.09,581
2020-11-18 10:40:00-05:00,6.1176,6.1176,6.1176,6.1176,110
2020-11-18 10:46:00-05:00,6.1029,6.1029,6.07,6.07,530
2020-11-18 10:48:00-05:00,6.08,6.08,6.08,6.08,202
2020-11-18 11:00:00-05:00,6.1016,6.1016,6.1016,6.1016,1037
2020-11-18 11:02:00-05:00,6.115,6.115,6.115,6.115,129
2020-11-18 11:04:00-05:00,6.12,6.12,6.12,6.12,200
2020-11-18 11:06:00-05:00,6.08,6.08,6.03,6.05,13589
2020-11-18 11:10:00-05:00,6.03,6.03,5.94,5.94,11585
2020-11-18 11:12:00-05:00,6.0,6.0,6.0,6.0,1170
2020-11-18 11:14:00-05:00,5.98,5.98,5.98,5.98,125
2020-11-18 11:18:00-05:00,5.985,5.985,5.985,5.985,100
2020-11-18 11:20:00-05:00,5.95,5.95,5.86,5.86,8403
2020-11-18 11:22:00-05:00,5.915,5.915,5.915,5.915,1706
2020-11-18 11:26:00-05:00,5.9205,5.9205,5.9205,5.9205,336
2020-11-18 11:32:00-05:00,5.92,5.92,5.92,5.92,402
2020-11-18 11:36:00-05:00,5.92,5.92,5.92,5.92,555
2020-11-18 11:40:00-05:00,5.91,5.93,5.91,5.93,278
2020-11-18 11:46:00-05:00,5.95,5.95,5.935,5.94,500
2020-11-18 11:48:00-05:00,5.94,5.94,5.94,5.94,102
2020-11-18 11:50:00-05:00,5.9436,5.95,5.93,5.93,1600
2020-11-18 11:54:00-05:00,5.93,5.93,5.93,5.93,180
2020-11-18 11:58:00-05:00,5.9425,5.9425,5.9425,5.9425,168
2020-11-18 12:00:00-05:00,5.93,5.93,5.93,5.93,300
2020-11-18 12:02:00-05:00,5.941,5.941,5.941,5.941,168
2020-11-18 12:04:00-05:00,5.935,5.94,5.9,5.91,14820
2020-11-18 12:06:00-05:00,5.9103,5.9103,5.9103,5.9103,348
2020-11-18 12:10:00-05:00,5.91,5.91,5.9,5.9,732
2020-11-18 12:12:00-05:00,5.91,5.91,5.9,5.9,364
2020-11-18 12:40:00-05:00,5.87,5.9,5.87,5.9,469
2020-11-18 12:44:00-05:00,5.875,5.875,5.875,5.875,320
2020-11-18 12:48:00-05:00,5.9,5.9,5.89,5.89,347
2020-11-18 12:50:00-05:00,5.89,5.89,5.87,5.89,1378
2020-11-18 13:20:00-05:00,5.9,5.9,5.9,5.9,100
2020-11-18 13:22:00-05:00,5.88,5.88,5.88,5.88,500
2020-11-18 13:26:00-05:00,5.88,5.88,5.88,5.88,200
2020-11-18 13:28:00-05:00,5.8959,5.8959,5.8959,5.8959,401
2020-11-18 13:32:00-05:00,5.91,5.91,5.87,5.87,1638
2020-11-18 13:36:00-05:00,5.86,5.86,5.86,5.86,200
2020-11-18 13:38:00-05:00,5.85,5.85,5.85,5.85,345
2020-11-18 13:40:00-05:00,5.88,5.88,5.86,5.86,300
2020-11-18 13:42:00-05:00,5.85,5.87,5.846,5.87,1347
2020-11-18 13:44:00-05:00,5.8893,5.8893,5.8893,5.8893,2000
2020-11-18 13:46:00-05:00,5.87,5.87,5.87,5.87,821
2020-11-18 13:52:00-05:00,5.88,5.89,5.88,5.89,305
2020-11-18 13:58:00-05:00,5.91,5.91,5.89,5.89,1740
