date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,36.48,36.52,36.48,36.52,1662
2020-11-18 09:32:00-05:00,36.5,36.5,36.5,36.5,602
2020-11-18 09:38:00-05:00,36.49,36.49,36.4,36.42,1452
2020-11-18 09:40:00-05:00,36.52,36.52,36.52,36.52,100
2020-11-18 09:42:00-05:00,36.49,36.49,36.49,36.49,100
2020-11-18 09:44:00-05:00,36.45,36.46,36.44,36.45,944
2020-11-18 09:46:00-05:00,36.44,36.44,36.44,36.44,352
2020-11-18 09:48:00-05:00,36.475,36.475,36.475,36.475,403
2020-11-18 09:50:00-05:00,36.505,36.525,36.47,36.52,720
2020-11-18 09:52:00-05:00,36.49,36.49,36.49,36.49,254
2020-11-18 10:00:00-05:00,36.53,36.56,36.46,36.51,7336
2020-11-18 10:04:00-05:00,36.51,36.51,36.51,36.51,100
2020-11-18 10:06:00-05:00,36.51,36.54,36.51,36.51,954
2020-11-18 10:08:00-05:00,36.48,36.49,36.48,36.49,240
2020-11-18 10:10:00-05:00,36.5,36.5,36.49,36.5,900
2020-11-18 10:12:00-05:00,36.5,36.54,36.48,36.485,5007
2020-11-18 10:16:00-05:00,36.52,36.52,36.5,36.5,1603
2020-11-18 10:18:00-05:00,36.46,36.46,36.45,36.45,200
2020-11-18 10:20:00-05:00,36.45,36.46,36.43,36.46,2355
2020-11-18 10:22:00-05:00,36.46,36.5,36.46,36.4675,516
2020-11-18 10:24:00-05:00,36.5,36.5,36.475,36.5,1239
2020-11-18 10:34:00-05:00,36.39,36.4,36.39,36.4,750
2020-11-18 10:40:00-05:00,36.4,36.4,36.4,36.4,300
2020-11-18 10:42:00-05:00,36.43,36.44,36.41,36.44,616
2020-11-18 10:46:00-05:00,36.465,36.49,36.465,36.475,998
2020-11-18 10:48:00-05:00,36.5,36.51,36.48,36.48,609
2020-11-18 10:50:00-05:00,36.55,36.55,36.55,36.55,938
2020-11-18 10:56:00-05:00,36.5845,36.5845,36.51,36.51,419
2020-11-18 11:00:00-05:00,36.56,36.57,36.56,36.57,462
2020-11-18 11:04:00-05:00,36.54,36.54,36.53,36.53,311
2020-11-18 11:10:00-05:00,36.62,36.62,36.62,36.62,100
2020-11-18 11:14:00-05:00,36.69,36.76,36.685,36.71,3099
2020-11-18 11:18:00-05:00,36.72,36.72,36.7,36.7,403
2020-11-18 11:20:00-05:00,36.76,36.76,36.755,36.755,200
2020-11-18 11:22:00-05:00,36.75,36.75,36.69,36.69,600
2020-11-18 11:28:00-05:00,36.81,36.81,36.81,36.81,100
2020-11-18 11:30:00-05:00,36.805,36.81,36.805,36.81,206
2020-11-18 11:40:00-05:00,36.87,36.87,36.87,36.87,309
2020-11-18 11:44:00-05:00,36.81,36.87,36.81,36.87,507
2020-11-18 11:54:00-05:00,36.795,36.795,36.795,36.795,100
2020-11-18 11:56:00-05:00,36.795,36.795,36.795,36.795,114
2020-11-18 11:58:00-05:00,36.805,36.805,36.805,36.805,297
2020-11-18 12:06:00-05:00,36.76,36.76,36.75,36.76,1580
2020-11-18 12:38:00-05:00,36.64,36.64,36.58,36.58,312
2020-11-18 12:40:00-05:00,36.63,36.63,36.52,36.52,611
2020-11-18 12:44:00-05:00,36.56,36.56,36.55,36.55,334
2020-11-18 12:46:00-05:00,36.56,36.56,36.55,36.55,322
2020-11-18 13:00:00-05:00,36.6,36.6,36.6,36.6,209
2020-11-18 13:22:00-05:00,36.6,36.6,36.6,36.6,101
2020-11-18 13:32:00-05:00,36.6,36.6,36.53,36.56,788
2020-11-18 13:48:00-05:00,36.44,36.44,36.44,36.44,100
2020-11-18 13:56:00-05:00,36.5,36.5,36.17,36.17,5859
2020-11-18 14:12:00-05:00,36.265,36.265,36.265,36.265,173
2020-11-18 14:28:00-05:00,36.155,36.16,36.155,36.16,375
2020-11-18 14:30:00-05:00,36.13,36.13,36.13,36.13,224
2020-11-18 14:38:00-05:00,36.06,36.07,36.06,36.06,1439
2020-11-18 14:44:00-05:00,36.1537,36.24,36.1537,36.24,612
2020-11-18 14:54:00-05:00,36.21,36.24,36.11,36.11,1513
2020-11-18 14:58:00-05:00,36.115,36.115,36.115,36.115,171
2020-11-18 15:06:00-05:00,36.14,36.19,36.085,36.19,2262
2020-11-18 15:08:00-05:00,36.19,36.22,36.19,36.22,1678
2020-11-18 15:20:00-05:00,36.18,36.31,36.17,36.31,995
2020-11-18 15:26:00-05:00,36.29,36.29,36.29,36.29,143
2020-11-18 15:30:00-05:00,36.2,36.245,36.2,36.245,700
2020-11-18 15:32:00-05:00,36.245,36.245,36.245,36.245,312
2020-11-18 15:38:00-05:00,36.19,36.19,36.19,36.19,638
2020-11-18 15:40:00-05:00,36.18,36.26,36.18,36.26,1301
2020-11-18 15:42:00-05:00,36.195,36.195,36.195,36.195,100
2020-11-18 15:44:00-05:00,36.13,36.18,36.09,36.1,2149
2020-11-18 15:46:00-05:00,36.095,36.15,36.095,36.13,1842
2020-11-18 15:48:00-05:00,36.1,36.14,36.05,36.105,2271
2020-11-18 15:52:00-05:00,36.06,36.17,36.04,36.04,2028
2020-11-18 15:54:00-05:00,36.06,36.1,36.0,36.0,2172
2020-11-18 15:56:00-05:00,36.075,36.13,36.0,36.13,1709
2020-11-18 15:58:00-05:00,36.075,36.19,36.01,36.06,7527
2020-11-19 09:30:00-05:00,36.1,36.11,34.75,35.73,10969
2020-11-19 09:34:00-05:00,35.77,36.06,35.77,36.06,394
2020-11-19 09:36:00-05:00,36.23,36.27,36.055,36.18,6135
2020-11-19 09:38:00-05:00,36.23,36.3,36.145,36.18,4820
2020-11-19 09:40:00-05:00,36.17,36.24,36.095,36.24,2104
2020-11-19 09:44:00-05:00,36.17,36.17,36.17,36.17,109
2020-11-19 09:46:00-05:00,36.25,36.32,36.19,36.19,4387
2020-11-19 09:48:00-05:00,36.28,36.28,36.28,36.28,104
2020-11-19 09:50:00-05:00,36.2,36.28,36.2,36.28,696
2020-11-19 09:52:00-05:00,36.28,36.2938,36.21,36.25,3597
2020-11-19 09:54:00-05:00,36.28,36.31,36.195,36.24,6816
2020-11-19 09:58:00-05:00,36.21,36.21,36.21,36.21,1007
2020-11-19 10:00:00-05:00,36.1,36.27,36.1,36.24,7004
2020-11-19 10:02:00-05:00,36.18,36.18,36.17,36.175,1500
2020-11-19 10:06:00-05:00,36.17,36.22,36.135,36.22,1204
2020-11-19 10:08:00-05:00,36.22,36.22,36.16,36.17,1104
2020-11-19 10:10:00-05:00,36.22,36.22,36.19,36.19,1109
2020-11-19 10:12:00-05:00,36.175,36.18,36.14,36.14,900
2020-11-19 10:14:00-05:00,36.16,36.17,36.16,36.17,200
2020-11-19 10:16:00-05:00,36.16,36.16,36.12,36.12,201
