date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,93.41,93.41,93.41,93.41,0
2020-11-18 09:32:00-05:00,93.29,93.59,93.29,93.59,2571
2020-11-18 09:34:00-05:00,93.99,94.49,93.99,94.46,1239
2020-11-18 09:36:00-05:00,94.06,94.06,93.9784,93.9784,603
2020-11-18 09:38:00-05:00,94.49,94.94,94.38,94.38,8880
2020-11-18 09:40:00-05:00,94.6844,94.6844,94.6844,94.6844,216
2020-11-18 09:42:00-05:00,94.29,94.37,93.99,94.37,1218
2020-11-18 09:44:00-05:00,94.25,94.25,93.53,93.82,2104
2020-11-18 09:48:00-05:00,93.585,93.83,93.585,93.83,323
2020-11-18 09:50:00-05:00,93.63,93.89,93.53,93.8794,1725
2020-11-18 09:54:00-05:00,94.02,94.02,94.02,94.02,211
2020-11-18 09:56:00-05:00,93.965,93.965,93.66,93.94,1561
2020-11-18 10:02:00-05:00,93.4,93.4,93.205,93.205,572
2020-11-18 10:04:00-05:00,93.305,93.305,93.12,93.12,793
2020-11-18 10:06:00-05:00,93.12,93.52,93.12,93.52,2826
2020-11-18 10:08:00-05:00,93.47,93.82,93.47,93.82,512
2020-11-18 10:10:00-05:00,94.0,94.11,94.0,94.11,523
2020-11-18 10:14:00-05:00,94.01,94.84,94.01,94.84,437
2020-11-18 10:16:00-05:00,94.535,94.535,94.535,94.535,961
2020-11-18 10:18:00-05:00,94.54,94.83,94.54,94.68,2058
2020-11-18 10:20:00-05:00,94.82,95.64,94.82,95.64,11883
2020-11-18 10:22:00-05:00,95.49,95.56,95.34,95.56,2111
2020-11-18 10:24:00-05:00,95.445,95.87,95.445,95.59,4030
2020-11-18 10:26:00-05:00,95.65,95.87,95.235,95.235,3384
2020-11-18 10:28:00-05:00,95.1125,95.2022,95.1125,95.2022,491
2020-11-18 10:30:00-05:00,95.136,95.7,95.136,95.7,3272
2020-11-18 10:32:00-05:00,95.52,95.52,95.3,95.405,1534
2020-11-18 10:34:00-05:00,95.515,95.7294,95.35,95.575,2184
2020-11-18 10:36:00-05:00,95.73,95.9894,95.73,95.865,3299
2020-11-18 10:38:00-05:00,95.98,96.1,95.64,95.65,5321
2020-11-18 10:40:00-05:00,95.52,95.58,95.52,95.52,913
2020-11-18 10:42:00-05:00,95.51,95.51,95.22,95.22,1799
2020-11-18 10:44:00-05:00,95.26,95.32,95.26,95.28,1946
2020-11-18 10:46:00-05:00,95.33,95.33,95.23,95.25,1859
2020-11-18 10:48:00-05:00,95.3,95.43,95.3,95.43,2694
2020-11-18 10:50:00-05:00,95.4,95.47,95.37,95.46,1732
