date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,125.13,125.13,123.28,123.28,301
2020-11-18 09:32:00-05:00,124.3,125.12,124.0,124.005,1591
2020-11-18 09:34:00-05:00,124.16,125.57,124.15,125.57,1771
2020-11-18 09:36:00-05:00,125.59,125.59,124.69,124.89,853
2020-11-18 09:38:00-05:00,124.755,124.88,124.755,124.88,1024
2020-11-18 09:40:00-05:00,124.93,125.23,124.15,124.15,1070
2020-11-18 09:42:00-05:00,124.8125,124.8125,124.645,124.645,233
2020-11-18 09:44:00-05:00,124.84,124.84,124.675,124.675,641
2020-11-18 09:46:00-05:00,124.3,124.3,124.17,124.17,266
2020-11-18 09:48:00-05:00,124.67,124.67,124.325,124.325,214
2020-11-18 09:50:00-05:00,124.325,125.1,124.32,125.1,5947
2020-11-18 09:52:00-05:00,125.54,125.59,125.11,125.115,4858
2020-11-18 09:54:00-05:00,125.1,125.1,125.1,125.1,284
2020-11-18 09:56:00-05:00,125.07,125.07,124.945,124.945,658
2020-11-18 09:58:00-05:00,124.91,124.93,124.8913,124.91,1106
2020-11-18 10:00:00-05:00,125.27,125.75,124.9,125.73,1830
2020-11-18 10:02:00-05:00,125.85,125.86,125.85,125.8599,957
2020-11-18 10:04:00-05:00,125.82,126.065,125.82,126.065,466
2020-11-18 10:06:00-05:00,126.0,126.0,125.64,125.73,2909
2020-11-18 10:08:00-05:00,125.86,126.0,125.695,126.0,516
2020-11-18 10:10:00-05:00,126.01,126.23,125.96,126.05,2234
2020-11-18 10:14:00-05:00,125.93,126.31,125.79,126.03,2152
2020-11-18 10:16:00-05:00,126.01,126.01,125.97,126.01,989
2020-11-18 10:18:00-05:00,126.16,126.16,126.13,126.13,630
2020-11-18 10:20:00-05:00,125.86,125.88,125.86,125.88,644
2020-11-18 10:22:00-05:00,126.06,126.06,126.06,126.06,712
2020-11-18 10:24:00-05:00,126.15,126.15,126.0024,126.0024,455
2020-11-18 10:26:00-05:00,126.32,126.32,126.19,126.19,640
2020-11-18 10:30:00-05:00,126.1,126.11,125.65,125.87,2176
2020-11-18 10:32:00-05:00,125.48,125.48,125.48,125.48,668
2020-11-18 10:34:00-05:00,125.22,125.39,125.22,125.39,1788
2020-11-18 10:40:00-05:00,125.68,125.68,125.68,125.68,306
2020-11-18 10:42:00-05:00,125.8045,125.91,125.8045,125.91,362
