date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,30.93,30.93,30.93,30.93,4266
2020-11-18 09:32:00-05:00,30.8,30.8,30.8,30.8,321
2020-11-18 09:34:00-05:00,30.71,30.71,30.71,30.71,144
2020-11-18 09:38:00-05:00,30.875,30.875,30.875,30.875,481
2020-11-18 09:40:00-05:00,30.73,30.81,30.73,30.78,1079
2020-11-18 09:42:00-05:00,30.77,30.78,30.73,30.73,2835
2020-11-18 09:44:00-05:00,30.77,30.91,30.77,30.86,2641
2020-11-18 09:46:00-05:00,30.91,30.91,30.91,30.91,246
2020-11-18 09:48:00-05:00,30.94,31.01,30.94,31.01,5812
2020-11-18 09:50:00-05:00,31.01,31.02,31.01,31.02,227
2020-11-18 09:52:00-05:00,31.01,31.01,30.92,30.92,873
2020-11-18 09:54:00-05:00,30.94,30.94,30.915,30.915,226
2020-11-18 09:56:00-05:00,30.94,30.94,30.94,30.94,312
2020-11-18 10:00:00-05:00,30.905,31.0,30.88,31.0,2276
2020-11-18 10:02:00-05:00,31.1,31.1,31.03,31.0978,363
2020-11-18 10:04:00-05:00,31.1,31.1,31.045,31.045,455
2020-11-18 10:06:00-05:00,31.04,31.09,30.905,30.905,1307
2020-11-18 10:08:00-05:00,30.88,30.88,30.88,30.88,109
2020-11-18 10:10:00-05:00,30.81,30.81,30.8,30.8,1590
2020-11-18 10:12:00-05:00,30.81,30.81,30.735,30.78,609
2020-11-18 10:14:00-05:00,30.785,30.785,30.74,30.74,230
2020-11-18 10:16:00-05:00,30.775,30.775,30.775,30.775,100
2020-11-18 10:18:00-05:00,30.775,30.775,30.69,30.69,357
2020-11-18 10:20:00-05:00,30.75,30.75,30.69,30.74,730
2020-11-18 10:22:00-05:00,30.76,30.77,30.69,30.77,1526
2020-11-18 10:28:00-05:00,30.82,30.85,30.8,30.815,1615
2020-11-18 10:30:00-05:00,30.79,30.8122,30.78,30.8122,441
2020-11-18 10:32:00-05:00,30.83,30.83,30.8,30.8,1162
2020-11-18 10:34:00-05:00,30.79,30.79,30.79,30.79,296
2020-11-18 10:36:00-05:00,30.71,30.71,30.71,30.71,169
2020-11-18 10:38:00-05:00,30.685,30.685,30.685,30.685,245
2020-11-18 10:40:00-05:00,30.65,30.73,30.65,30.73,1489
2020-11-18 10:42:00-05:00,30.74,30.74,30.74,30.74,538
2020-11-18 10:48:00-05:00,30.73,30.73,30.73,30.73,296
2020-11-18 10:50:00-05:00,30.745,30.745,30.72,30.72,415
2020-11-18 10:52:00-05:00,30.71,30.75,30.71,30.75,1301
2020-11-18 10:54:00-05:00,30.75,30.75,30.75,30.75,265
2020-11-18 10:56:00-05:00,30.73,30.73,30.73,30.73,154
2020-11-18 10:58:00-05:00,30.69,30.69,30.68,30.6865,719
2020-11-18 11:02:00-05:00,30.74,30.82,30.74,30.82,1036
2020-11-18 11:04:00-05:00,30.8,30.83,30.8,30.83,580
2020-11-18 11:08:00-05:00,30.805,30.83,30.8,30.83,739
2020-11-18 11:10:00-05:00,30.85,30.87,30.8,30.8,2119
2020-11-18 11:12:00-05:00,30.81,30.82,30.78,30.79,1617
2020-11-18 11:14:00-05:00,30.79,30.82,30.76,30.78,2141
2020-11-18 11:16:00-05:00,30.795,30.795,30.795,30.795,125
2020-11-18 11:18:00-05:00,30.76,30.76,30.72,30.72,682
2020-11-18 11:20:00-05:00,30.71,30.72,30.69,30.69,389
2020-11-18 11:22:00-05:00,30.69,30.69,30.64,30.64,1073
2020-11-18 11:24:00-05:00,30.62,30.66,30.62,30.635,2371
2020-11-18 11:26:00-05:00,30.66,30.79,30.66,30.79,1375
2020-11-18 11:28:00-05:00,30.8,30.81,30.8,30.8,445
2020-11-18 11:30:00-05:00,30.82,30.82,30.73,30.73,1129
2020-11-18 11:32:00-05:00,30.73,30.73,30.67,30.67,661
2020-11-18 11:34:00-05:00,30.67,30.69,30.64,30.65,1641
2020-11-18 11:36:00-05:00,30.69,30.75,30.66,30.75,961
2020-11-18 11:38:00-05:00,30.7057,30.84,30.7057,30.82,2812
2020-11-18 11:40:00-05:00,30.82,30.8799,30.82,30.86,1853
2020-11-18 11:42:00-05:00,30.845,30.88,30.845,30.86,901
2020-11-18 11:44:00-05:00,30.86,30.89,30.86,30.89,542
2020-11-18 11:46:00-05:00,30.88,30.95,30.88,30.94,7466
2020-11-18 11:48:00-05:00,30.84,30.84,30.7,30.7,2834
2020-11-18 11:50:00-05:00,30.7,30.7,30.61,30.61,1059
2020-11-18 11:52:00-05:00,30.64,30.705,30.64,30.705,509
2020-11-18 11:54:00-05:00,30.7,30.785,30.7,30.785,1968
2020-11-18 11:56:00-05:00,30.765,30.765,30.765,30.765,100
2020-11-18 11:58:00-05:00,30.8,30.8,30.69,30.69,908
2020-11-18 12:00:00-05:00,30.69,30.69,30.59,30.59,1267
2020-11-18 12:02:00-05:00,30.63,30.63,30.59,30.61,811
2020-11-18 12:04:00-05:00,30.55,30.57,30.52,30.52,1017
2020-11-18 12:06:00-05:00,30.55,30.57,30.52,30.53,768
2020-11-18 12:08:00-05:00,30.5,30.525,30.46,30.51,659
2020-11-18 12:10:00-05:00,30.48,30.58,30.48,30.58,1934
2020-11-18 12:12:00-05:00,30.58,30.58,30.55,30.55,526
2020-11-18 12:14:00-05:00,30.56,30.575,30.55,30.55,1510
2020-11-18 12:16:00-05:00,30.54,30.54,30.54,30.54,392
2020-11-18 12:20:00-05:00,30.59,30.62,30.59,30.62,1483
2020-11-18 12:22:00-05:00,30.63,30.63,30.62,30.62,758
2020-11-18 12:24:00-05:00,30.58,30.58,30.58,30.58,230
2020-11-18 12:26:00-05:00,30.59,30.59,30.54,30.54,629
2020-11-18 12:28:00-05:00,30.57,30.59,30.57,30.59,206
2020-11-18 12:30:00-05:00,30.52,30.54,30.5,30.53,5643
2020-11-18 12:32:00-05:00,30.54,30.56,30.54,30.55,1260
2020-11-18 12:34:00-05:00,30.5419,30.5419,30.5419,30.5419,334
2020-11-18 12:36:00-05:00,30.57,30.61,30.57,30.61,838
2020-11-18 12:38:00-05:00,30.62,30.6395,30.62,30.62,708
2020-11-18 12:40:00-05:00,30.66,30.68,30.64,30.64,1128
2020-11-18 12:42:00-05:00,30.69,30.7,30.69,30.7,599
2020-11-18 12:44:00-05:00,30.7,30.7,30.68,30.68,1152
2020-11-18 12:48:00-05:00,30.68,30.68,30.68,30.68,218
2020-11-18 12:50:00-05:00,30.64,30.64,30.64,30.64,147
2020-11-18 12:52:00-05:00,30.66,30.66,30.66,30.66,108
2020-11-18 12:54:00-05:00,30.68,30.69,30.68,30.69,707
2020-11-18 12:56:00-05:00,30.67,30.67,30.66,30.66,415
2020-11-18 12:58:00-05:00,30.68,30.69,30.67,30.67,748
2020-11-18 13:02:00-05:00,30.67,30.67,30.67,30.67,120
2020-11-18 13:04:00-05:00,30.69,30.69,30.685,30.685,946
2020-11-18 13:06:00-05:00,30.7,30.71,30.69,30.71,728
2020-11-18 13:10:00-05:00,30.71,30.74,30.71,30.74,771
2020-11-18 13:12:00-05:00,30.75,30.78,30.75,30.78,818
2020-11-18 13:14:00-05:00,30.78,30.8,30.76,30.76,1967
2020-11-18 13:16:00-05:00,30.76,30.76,30.76,30.76,493
2020-11-18 13:18:00-05:00,30.73,30.73,30.71,30.71,712
2020-11-18 13:20:00-05:00,30.73,30.73,30.73,30.73,277
2020-11-18 13:22:00-05:00,30.72,30.72,30.69,30.69,829
2020-11-18 13:24:00-05:00,30.7,30.71,30.68,30.68,320
2020-11-18 13:26:00-05:00,30.7,30.7,30.67,30.67,492
2020-11-18 13:28:00-05:00,30.665,30.665,30.64,30.64,271
2020-11-18 13:30:00-05:00,30.66,30.66,30.66,30.66,119
2020-11-18 13:32:00-05:00,30.66,30.66,30.66,30.66,305
2020-11-18 13:34:00-05:00,30.64,30.65,30.64,30.65,1425
2020-11-18 13:36:00-05:00,30.66,30.68,30.66,30.68,1647
2020-11-18 13:38:00-05:00,30.69,30.69,30.69,30.69,530
2020-11-18 13:40:00-05:00,30.676,30.69,30.676,30.68,1302
2020-11-18 13:42:00-05:00,30.61,30.61,30.61,30.61,242
2020-11-18 13:44:00-05:00,30.59,30.61,30.59,30.61,1276
2020-11-18 13:46:00-05:00,30.59,30.5901,30.56,30.56,2932
2020-11-18 13:48:00-05:00,30.57,30.57,30.55,30.57,1396
2020-11-18 13:50:00-05:00,30.56,30.56,30.56,30.56,125
2020-11-18 13:52:00-05:00,30.58,30.58,30.565,30.57,1026
2020-11-18 13:54:00-05:00,30.56,30.56,30.56,30.56,282
2020-11-18 13:56:00-05:00,30.55,30.56,30.53,30.53,2563
2020-11-18 13:58:00-05:00,30.54,30.57,30.54,30.56,1891
2020-11-18 14:00:00-05:00,30.59,30.63,30.59,30.63,1222
2020-11-18 14:02:00-05:00,30.66,30.66,30.66,30.66,676
2020-11-18 14:06:00-05:00,30.63,30.645,30.63,30.64,473
2020-11-18 14:08:00-05:00,30.62,30.62,30.62,30.62,197
2020-11-18 14:10:00-05:00,30.59,30.59,30.58,30.59,784
2020-11-18 14:14:00-05:00,30.55,30.55,30.55,30.55,211
2020-11-18 14:16:00-05:00,30.55,30.55,30.54,30.54,986
2020-11-18 14:18:00-05:00,30.53,30.53,30.5,30.52,13848
2020-11-18 14:20:00-05:00,30.53,30.57,30.53,30.555,2507
2020-11-18 14:22:00-05:00,30.55,30.57,30.54,30.57,1108
2020-11-18 14:24:00-05:00,30.53,30.535,30.5,30.535,8916
2020-11-18 14:26:00-05:00,30.515,30.52,30.51,30.51,1360
2020-11-18 14:28:00-05:00,30.53,30.55,30.53,30.55,908
2020-11-18 14:30:00-05:00,30.55,30.56,30.54,30.5468,7120
2020-11-18 14:32:00-05:00,30.56,30.59,30.55,30.59,3030
2020-11-18 14:34:00-05:00,30.585,30.62,30.585,30.62,1239
2020-11-18 14:36:00-05:00,30.6225,30.6225,30.6225,30.6225,295
2020-11-18 14:38:00-05:00,30.62,30.62,30.61,30.61,436
2020-11-18 14:40:00-05:00,30.62,30.66,30.62,30.64,2310
2020-11-18 14:42:00-05:00,30.66,30.67,30.64,30.67,991
2020-11-18 14:44:00-05:00,30.69,30.7,30.66,30.66,2376
2020-11-18 14:46:00-05:00,30.64,30.64,30.6,30.6,1007
2020-11-18 14:48:00-05:00,30.58,30.58,30.58,30.58,107
2020-11-18 14:50:00-05:00,30.58,30.65,30.58,30.65,1697
2020-11-18 14:52:00-05:00,30.65,30.65,30.62,30.62,894
2020-11-18 14:54:00-05:00,30.61,30.61,30.6,30.6,237
2020-11-18 14:56:00-05:00,30.61,30.63,30.61,30.63,614
2020-11-18 14:58:00-05:00,30.59,30.59,30.56,30.56,2435
2020-11-18 15:00:00-05:00,30.55,30.58,30.55,30.57,12060
2020-11-18 15:02:00-05:00,30.57,30.57,30.55,30.56,10807
2020-11-18 15:04:00-05:00,30.555,30.57,30.49,30.5,12748
2020-11-18 15:06:00-05:00,30.5,30.54,30.5,30.54,2225
2020-11-18 15:08:00-05:00,30.55,30.56,30.55,30.56,1052
2020-11-18 15:10:00-05:00,30.6,30.6,30.59,30.59,348
2020-11-18 15:12:00-05:00,30.6,30.6005,30.6,30.6005,615
2020-11-18 15:14:00-05:00,30.584,30.59,30.584,30.59,1362
2020-11-18 15:16:00-05:00,30.545,30.57,30.52,30.546,2190
2020-11-18 15:18:00-05:00,30.52,30.52,30.4763,30.4763,1269
2020-11-18 15:20:00-05:00,30.46,30.46,30.43,30.45,652
2020-11-18 15:22:00-05:00,30.44,30.48,30.44,30.48,3970
2020-11-18 15:24:00-05:00,30.45,30.465,30.43,30.43,945
2020-11-18 15:26:00-05:00,30.45,30.45,30.4,30.42,1524
2020-11-18 15:28:00-05:00,30.43,30.43,30.38,30.39,1119
2020-11-18 15:30:00-05:00,30.37,30.38,30.36,30.36,962
