date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,3.76,3.79,3.7501,3.7501,24866
2020-11-18 09:32:00-05:00,3.77,3.782,3.77,3.7776,3041
2020-11-18 09:34:00-05:00,3.7622,3.79,3.7622,3.77,3549
2020-11-18 09:36:00-05:00,3.7701,3.7701,3.77,3.77,5410
2020-11-18 09:38:00-05:00,3.767,3.767,3.76,3.76,362
2020-11-18 09:40:00-05:00,3.77,3.77,3.754,3.7601,10769
2020-11-18 09:42:00-05:00,3.7551,3.76,3.74,3.7402,6499
2020-11-18 09:44:00-05:00,3.745,3.7489,3.745,3.7489,200
2020-11-18 09:46:00-05:00,3.75,3.76,3.75,3.76,969
2020-11-18 09:50:00-05:00,3.7533,3.7533,3.75,3.75,358
2020-11-18 09:54:00-05:00,3.74,3.74,3.73,3.73,3634
2020-11-18 09:56:00-05:00,3.73,3.73,3.72,3.7202,2908
2020-11-18 09:58:00-05:00,3.72,3.7201,3.7,3.715,11938
2020-11-18 10:00:00-05:00,3.715,3.73,3.71,3.71,14791
2020-11-18 10:02:00-05:00,3.71,3.715,3.71,3.7101,3994
2020-11-18 10:04:00-05:00,3.7176,3.74,3.71,3.73,4621
2020-11-18 10:06:00-05:00,3.7241,3.74,3.7241,3.74,425
2020-11-18 10:08:00-05:00,3.73,3.75,3.73,3.745,5808
2020-11-18 10:10:00-05:00,3.75,3.755,3.72,3.73,8896
2020-11-18 10:12:00-05:00,3.7373,3.7373,3.72,3.725,2675
2020-11-18 10:14:00-05:00,3.72,3.72,3.71,3.717,3816
2020-11-18 10:16:00-05:00,3.71,3.71,3.71,3.71,1295
2020-11-18 10:18:00-05:00,3.71,3.72,3.71,3.72,796
2020-11-18 10:20:00-05:00,3.7157,3.723,3.7157,3.72,878
2020-11-18 10:22:00-05:00,3.72,3.7215,3.7104,3.7104,1415
2020-11-18 10:24:00-05:00,3.72,3.72,3.68,3.695,25528
2020-11-18 10:26:00-05:00,3.695,3.7,3.69,3.7,3696
2020-11-18 10:28:00-05:00,3.7083,3.7141,3.7083,3.7122,1966
2020-11-18 10:30:00-05:00,3.7104,3.7104,3.71,3.71,630
2020-11-18 10:32:00-05:00,3.7178,3.7178,3.7071,3.71,711
2020-11-18 10:34:00-05:00,3.7111,3.7111,3.71,3.71,942
2020-11-18 10:36:00-05:00,3.72,3.72,3.71,3.71,729
2020-11-18 10:38:00-05:00,3.71,3.71,3.71,3.71,2591
2020-11-18 10:40:00-05:00,3.71,3.71,3.7,3.7,3139
2020-11-18 10:44:00-05:00,3.71,3.73,3.71,3.73,1167
2020-11-18 10:46:00-05:00,3.725,3.731,3.724,3.724,3379
2020-11-18 10:48:00-05:00,3.72,3.72,3.72,3.72,655
2020-11-18 10:52:00-05:00,3.72,3.72,3.71,3.71,1946
2020-11-18 10:56:00-05:00,3.71,3.71,3.71,3.71,100
2020-11-18 10:58:00-05:00,3.7164,3.7164,3.705,3.705,2030
2020-11-18 11:00:00-05:00,3.705,3.705,3.705,3.705,510
2020-11-18 11:02:00-05:00,3.71,3.73,3.71,3.7189,5639
2020-11-18 11:06:00-05:00,3.71,3.71,3.7,3.705,2480
2020-11-18 11:08:00-05:00,3.7033,3.705,3.7033,3.705,261
2020-11-18 11:10:00-05:00,3.705,3.7053,3.7,3.705,850
2020-11-18 11:12:00-05:00,3.705,3.715,3.7,3.7,4753
2020-11-18 11:14:00-05:00,3.705,3.7099,3.705,3.707,356
2020-11-18 11:16:00-05:00,3.7002,3.71,3.69,3.695,8750
2020-11-18 11:18:00-05:00,3.69,3.69,3.68,3.685,7107
2020-11-18 11:20:00-05:00,3.6899,3.6899,3.68,3.685,3688
2020-11-18 11:22:00-05:00,3.685,3.695,3.68,3.695,4047
2020-11-18 11:24:00-05:00,3.6958,3.6963,3.69,3.69,4076
2020-11-18 11:26:00-05:00,3.6969,3.6969,3.695,3.695,1205
2020-11-18 11:28:00-05:00,3.6999,3.7,3.695,3.7,971
2020-11-18 11:32:00-05:00,3.71,3.72,3.71,3.72,1130
2020-11-18 11:34:00-05:00,3.7165,3.73,3.7165,3.7233,2252
2020-11-18 11:36:00-05:00,3.73,3.73,3.715,3.715,1211
2020-11-18 11:40:00-05:00,3.715,3.715,3.715,3.715,236
