date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,5.53,5.65,5.51,5.63,298287
2020-11-18 09:32:00-05:00,5.65,5.7142,5.57,5.6,163283
2020-11-18 09:34:00-05:00,5.6159,5.67,5.57,5.575,85930
2020-11-18 09:36:00-05:00,5.575,5.595,5.45,5.49,195264
2020-11-18 09:38:00-05:00,5.48,5.52,5.41,5.49,146977
2020-11-18 09:40:00-05:00,5.495,5.51,5.47,5.4911,86486
2020-11-18 09:42:00-05:00,5.5,5.54,5.4911,5.53,76330
2020-11-18 09:44:00-05:00,5.53,5.57,5.5,5.555,97625
2020-11-18 09:46:00-05:00,5.5689,5.61,5.5689,5.57,124415
2020-11-18 09:48:00-05:00,5.5769,5.595,5.57,5.57,32402
2020-11-18 09:50:00-05:00,5.5793,5.61,5.55,5.565,59662
2020-11-18 09:52:00-05:00,5.5603,5.57,5.525,5.55,50425
2020-11-18 09:54:00-05:00,5.5501,5.5695,5.52,5.54,29751
2020-11-18 09:56:00-05:00,5.53,5.569,5.53,5.565,34721
2020-11-18 09:58:00-05:00,5.5689,5.57,5.55,5.57,25371
2020-11-18 10:00:00-05:00,5.5711,5.58,5.5312,5.5511,30470
2020-11-18 10:02:00-05:00,5.56,5.59,5.55,5.5866,69408
2020-11-18 10:04:00-05:00,5.5821,5.61,5.5799,5.58,29438
2020-11-18 10:06:00-05:00,5.57,5.59,5.5511,5.57,34549
2020-11-18 10:08:00-05:00,5.55,5.58,5.55,5.58,31990
2020-11-18 10:10:00-05:00,5.58,5.6054,5.57,5.6,36751
2020-11-18 10:12:00-05:00,5.5972,5.6399,5.5972,5.617,47224
2020-11-18 10:14:00-05:00,5.6113,5.66,5.61,5.65,110295
2020-11-18 10:16:00-05:00,5.64,5.65,5.62,5.6273,32714
2020-11-18 10:18:00-05:00,5.6231,5.66,5.62,5.645,72663
2020-11-18 10:20:00-05:00,5.649,5.72,5.649,5.699,104936
2020-11-18 10:22:00-05:00,5.6939,5.695,5.65,5.6843,78986
2020-11-18 10:24:00-05:00,5.6889,5.72,5.68,5.68,70357
2020-11-18 10:26:00-05:00,5.675,5.72,5.675,5.7111,35066
