date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,37.0,37.0,36.88,36.88,175
2020-11-18 09:32:00-05:00,36.89,37.0,36.7132,36.865,29705
2020-11-18 09:34:00-05:00,36.765,37.06,36.765,37.015,2805
2020-11-18 09:38:00-05:00,37.0967,37.29,37.07,37.29,3301
2020-11-18 09:40:00-05:00,37.3521,37.43,37.12,37.2442,2717
2020-11-18 09:42:00-05:00,37.2475,37.2475,37.0,37.0,345
2020-11-18 09:44:00-05:00,36.9,36.93,36.86,36.86,1972
2020-11-18 09:46:00-05:00,36.66,36.66,36.44,36.44,1704
2020-11-18 09:50:00-05:00,36.55,36.55,36.55,36.55,446
2020-11-18 09:52:00-05:00,36.35,36.35,36.35,36.35,264
2020-11-18 09:54:00-05:00,36.2,36.22,36.2,36.2,665
2020-11-18 09:56:00-05:00,36.2603,36.2603,36.13,36.13,1142
2020-11-18 09:58:00-05:00,36.2,36.32,36.2,36.27,1914
2020-11-18 10:00:00-05:00,36.24,36.25,35.82,35.9258,5553
2020-11-18 10:02:00-05:00,35.86,35.9225,35.78,35.8,830
2020-11-18 10:04:00-05:00,35.8,35.99,35.8,35.99,2734
2020-11-18 10:06:00-05:00,35.99,35.99,35.77,35.9582,3167
2020-11-18 10:08:00-05:00,35.929,36.055,35.89,36.0,3369
2020-11-18 10:10:00-05:00,36.0,36.0,35.935,35.935,221
2020-11-18 10:12:00-05:00,35.84,36.0036,35.84,36.0036,2127
2020-11-18 10:16:00-05:00,36.0,36.1,36.0,36.1,1792
2020-11-18 10:18:00-05:00,36.25,36.42,36.23,36.39,1024
2020-11-18 10:22:00-05:00,36.25,36.25,36.25,36.25,205
2020-11-18 10:24:00-05:00,36.195,36.34,36.195,36.34,1410
2020-11-18 10:26:00-05:00,36.34,36.54,36.34,36.485,2270
2020-11-18 10:28:00-05:00,36.485,36.485,36.485,36.485,147
2020-11-18 10:30:00-05:00,36.51,36.5146,36.51,36.5146,324
2020-11-18 10:32:00-05:00,36.565,36.61,36.4324,36.56,1156
2020-11-18 10:34:00-05:00,36.53,36.53,36.53,36.53,100
2020-11-18 10:36:00-05:00,36.53,36.71,36.53,36.61,2210
2020-11-18 10:38:00-05:00,36.87,36.87,36.675,36.675,4118
2020-11-18 10:40:00-05:00,36.675,36.76,36.65,36.68,2015
2020-11-18 10:42:00-05:00,36.65,36.66,36.6,36.605,1040
