date,open,high,low,close,volume
2020-11-18 09:30:00-05:00,40.5,41.0,40.45,40.95,35041
2020-11-18 09:32:00-05:00,40.91,41.1,40.79,40.79,19015
2020-11-18 09:34:00-05:00,40.85,41.08,40.72,41.0,11880
2020-11-18 09:36:00-05:00,41.0326,41.09,40.76,40.76,7225
2020-11-18 09:38:00-05:00,40.71,41.1499,40.59,40.66,21590
2020-11-18 09:40:00-05:00,40.9613,40.9613,40.56,40.56,7871
2020-11-18 09:42:00-05:00,40.755,40.82,40.7,40.7,1253
2020-11-18 09:44:00-05:00,40.835,40.835,40.42,40.4348,8295
2020-11-18 09:46:00-05:00,40.485,40.58,40.4,40.425,8541
2020-11-18 09:48:00-05:00,40.46,40.46,40.08,40.1,15279
2020-11-18 09:50:00-05:00,40.23,40.3099,39.76,40.3099,42039
2020-11-18 09:52:00-05:00,40.14,40.145,39.9,39.9,2652
2020-11-18 09:54:00-05:00,39.9,39.93,39.71,39.87,11353
2020-11-18 09:56:00-05:00,39.8,39.9899,39.71,39.905,10888
2020-11-18 09:58:00-05:00,39.89,40.03,39.82,40.03,5230
2020-11-18 10:00:00-05:00,39.9477,40.092,39.31,39.485,31399
2020-11-18 10:02:00-05:00,39.52,39.98,39.36,39.98,9971
2020-11-18 10:04:00-05:00,40.06,40.07,39.95,39.95,3229
2020-11-18 10:06:00-05:00,39.81,39.905,39.64,39.64,4274
2020-11-18 10:08:00-05:00,39.64,39.7742,39.58,39.58,7918
2020-11-18 10:10:00-05:00,39.6934,39.79,39.53,39.53,5267
2020-11-18 10:12:00-05:00,39.6,39.6,39.38,39.5,13650
2020-11-18 10:14:00-05:00,39.6176,39.71,39.44,39.71,14129
2020-11-18 10:16:00-05:00,39.6452,39.6452,39.46,39.55,4365
2020-11-18 10:18:00-05:00,39.59,39.64,39.43,39.55,7054
2020-11-18 10:20:00-05:00,39.6055,39.8,39.51,39.7,8563
2020-11-18 10:22:00-05:00,39.71,39.78,39.61,39.78,5663
2020-11-18 10:24:00-05:00,39.75,39.78,39.75,39.77,1467
2020-11-18 10:26:00-05:00,39.75,39.77,39.66,39.7325,4748
2020-11-18 10:28:00-05:00,39.735,39.735,39.53,39.7,5854
2020-11-18 10:30:00-05:00,39.72,39.72,39.6,39.6,1194
2020-11-18 10:32:00-05:00,39.62,39.72,39.6,39.6,2557
2020-11-18 10:34:00-05:00,39.6,39.75,39.59,39.675,2845
2020-11-18 10:36:00-05:00,39.69,39.74,39.69,39.735,1686
2020-11-18 10:38:00-05:00,39.735,39.735,39.6,39.6698,2302
2020-11-18 10:40:00-05:00,39.6,39.75,39.6,39.65,2001
2020-11-18 10:42:00-05:00,39.61,39.8999,39.61,39.86,8619
2020-11-18 10:44:00-05:00,39.86,40.06,39.86,39.975,6097
2020-11-18 10:46:00-05:00,40.0,40.0947,39.97,40.02,2672
2020-11-18 10:48:00-05:00,40.02,40.06,39.87,40.04,5686
2020-11-18 10:50:00-05:00,39.88,40.042,39.88,39.92,2094
2020-11-18 10:52:00-05:00,39.92,39.9208,39.87,39.9208,1035
2020-11-18 10:54:00-05:00,39.925,39.96,39.87,39.905,4057
2020-11-18 10:56:00-05:00,39.905,40.09,39.87,40.04,4212
2020-11-18 10:58:00-05:00,40.045,40.0814,39.98,39.98,3817
2020-11-18 11:00:00-05:00,40.0,40.0,39.95,40.0,1490
2020-11-18 11:02:00-05:00,40.0054,40.09,39.97,40.09,5541
2020-11-18 11:04:00-05:00,40.11,40.13,40.03,40.03,3593
2020-11-18 11:06:00-05:00,40.045,40.045,39.95,39.95,2375
2020-11-18 11:08:00-05:00,39.95,40.09,39.95,40.04,6641
2020-11-18 11:10:00-05:00,40.0696,40.0696,39.86,39.86,6979
2020-11-18 11:12:00-05:00,39.8,39.96,39.8,39.96,4846
2020-11-18 11:14:00-05:00,39.9,40.0495,39.88,40.0,11566
2020-11-18 11:16:00-05:00,40.02,40.1,40.02,40.1,4723
2020-11-18 11:18:00-05:00,40.11,40.11,39.99,40.0344,8649
2020-11-18 11:20:00-05:00,40.0,40.0,39.81,39.81,4306
2020-11-18 11:22:00-05:00,39.82,39.97,39.82,39.9,10622
2020-11-18 11:24:00-05:00,39.9,39.9,39.7,39.7,9215
2020-11-18 11:26:00-05:00,39.785,39.785,39.64,39.7,2595
2020-11-18 11:28:00-05:00,39.715,39.83,39.6745,39.7,7813
2020-11-18 11:30:00-05:00,39.64,39.895,39.64,39.82,11497
2020-11-18 11:32:00-05:00,39.8,39.87,39.68,39.86,2192
2020-11-18 11:34:00-05:00,39.9,39.9,39.74,39.74,7586
2020-11-18 11:36:00-05:00,39.75,39.89,39.7,39.7768,5013
2020-11-18 11:38:00-05:00,39.84,39.95,39.75,39.95,6712
2020-11-18 11:40:00-05:00,39.828,39.89,39.75,39.81,6909
2020-11-18 11:42:00-05:00,39.81,39.8195,39.78,39.81,1441
2020-11-18 11:44:00-05:00,39.81,39.86,39.76,39.79,5807
2020-11-18 11:46:00-05:00,39.81,39.81,39.7,39.7632,3363
2020-11-18 11:48:00-05:00,39.755,39.84,39.75,39.75,3368
2020-11-18 11:50:00-05:00,39.74,39.75,39.73,39.73,2010
2020-11-18 11:52:00-05:00,39.72,39.725,39.67,39.67,4162
2020-11-18 11:54:00-05:00,39.67,39.735,39.6,39.73,2856
2020-11-18 11:56:00-05:00,39.63,39.73,39.62,39.62,2944
2020-11-18 11:58:00-05:00,39.6,39.7,39.56,39.675,5533
2020-11-18 12:02:00-05:00,39.7707,39.7736,39.73,39.73,1897
2020-11-18 12:04:00-05:00,39.73,39.79,39.73,39.73,870
2020-11-18 12:06:00-05:00,39.73,39.7589,39.66,39.74,2445
2020-11-18 12:08:00-05:00,39.7325,39.7325,39.61,39.61,1271
2020-11-18 12:10:00-05:00,39.64,39.7,39.59,39.59,1806
2020-11-18 12:12:00-05:00,39.58,39.69,39.58,39.67,2571
2020-11-18 12:14:00-05:00,39.6823,39.73,39.66,39.7226,3553
2020-11-18 12:16:00-05:00,39.74,39.76,39.74,39.76,1445
2020-11-18 12:18:00-05:00,39.76,39.76,39.72,39.72,3547
2020-11-18 12:22:00-05:00,39.77,39.85,39.77,39.79,5684
2020-11-18 12:24:00-05:00,39.79,39.9873,39.79,39.9289,8417
2020-11-18 12:26:00-05:00,39.95,39.95,39.885,39.885,4353
2020-11-18 12:28:00-05:00,39.81,39.885,39.81,39.82,1107
2020-11-18 12:30:00-05:00,39.81,39.9103,39.81,39.885,701
2020-11-18 12:32:00-05:00,39.885,39.98,39.86,39.955,4544
2020-11-18 12:34:00-05:00,39.965,40.33,39.965,40.28,21068
2020-11-18 12:36:00-05:00,40.27,40.3,40.17,40.21,2410
2020-11-18 12:38:00-05:00,40.13,40.31,40.11,40.28,13595
2020-11-18 12:40:00-05:00,40.28,40.45,40.28,40.35,8246
2020-11-18 12:42:00-05:00,40.3502,40.375,40.27,40.305,2264
2020-11-18 12:44:00-05:00,40.34,40.42,40.22,40.29,13918
2020-11-18 12:46:00-05:00,40.1699,40.1699,40.12,40.12,413
2020-11-18 12:48:00-05:00,40.11,40.12,39.95,40.0,9207
2020-11-18 12:50:00-05:00,40.05,40.05,39.9,40.01,2754
2020-11-18 12:52:00-05:00,39.965,40.1,39.93,39.98,8264
2020-11-18 12:54:00-05:00,39.965,40.03,39.87,39.95,9926
2020-11-18 12:56:00-05:00,39.9,39.96,39.83,39.8707,4049
2020-11-18 12:58:00-05:00,39.885,39.93,39.7,39.7665,15802
2020-11-18 13:00:00-05:00,39.82,40.0,39.82,39.865,62414
2020-11-18 13:02:00-05:00,39.825,39.95,39.79,39.89,3022
2020-11-18 13:04:00-05:00,39.96,40.0,39.89,39.98,7822
2020-11-18 13:06:00-05:00,39.905,39.97,39.76,39.76,4290
2020-11-18 13:08:00-05:00,39.84,39.93,39.8,39.92,6172
2020-11-18 13:10:00-05:00,39.87,39.905,39.87,39.885,1436
2020-11-18 13:12:00-05:00,39.88,39.89,39.7001,39.7001,6046
2020-11-18 13:14:00-05:00,39.84,39.86,39.73,39.73,4700
2020-11-18 13:16:00-05:00,39.68,39.7,39.43,39.52,20069
2020-11-18 13:18:00-05:00,39.49,39.5499,39.44,39.49,2116
2020-11-18 13:20:00-05:00,39.44,39.46,39.31,39.46,10261
2020-11-18 13:22:00-05:00,39.4982,39.65,39.42,39.46,5177
2020-11-18 13:24:00-05:00,39.42,39.495,39.34,39.455,5797
2020-11-18 13:26:00-05:00,39.49,39.49,39.41,39.4537,1801
2020-11-18 13:28:00-05:00,39.48,39.505,39.44,39.44,2652
2020-11-18 13:30:00-05:00,39.465,39.5199,39.4,39.46,2333
2020-11-18 13:32:00-05:00,39.5,39.52,39.375,39.375,4175
2020-11-18 13:34:00-05:00,39.35,39.433,39.345,39.345,3352
2020-11-18 13:36:00-05:00,39.4117,39.515,39.4117,39.46,101313
2020-11-18 13:38:00-05:00,39.52,39.632,39.47,39.62,4759
2020-11-18 13:40:00-05:00,39.645,39.7,39.54,39.58,2250
2020-11-18 13:42:00-05:00,39.54,39.5678,39.48,39.48,2001
2020-11-18 13:44:00-05:00,39.46,39.49,39.46,39.475,1810
2020-11-18 13:46:00-05:00,39.49,39.5368,39.39,39.425,3060
2020-11-18 13:48:00-05:00,39.445,39.445,39.295,39.3,7556
2020-11-18 13:50:00-05:00,39.292,39.2993,39.175,39.2993,8431
2020-11-18 13:52:00-05:00,39.31,39.38,39.3,39.34,3447
2020-11-18 13:54:00-05:00,39.36,39.38,39.34,39.37,909
2020-11-18 13:56:00-05:00,39.38,39.39,39.35,39.36,1638
2020-11-18 13:58:00-05:00,39.36,39.48,39.34,39.48,4390
2020-11-18 14:00:00-05:00,39.4735,39.55,39.43,39.46,3457
2020-11-18 14:02:00-05:00,39.47,39.5,39.4123,39.4123,3274
2020-11-18 14:04:00-05:00,39.4,39.452,39.4,39.452,1788
2020-11-18 14:06:00-05:00,39.4364,39.45,39.3901,39.45,3015
2020-11-18 14:08:00-05:00,39.5,39.5499,39.39,39.39,12370
2020-11-18 14:10:00-05:00,39.35,39.37,39.29,39.29,3320
2020-11-18 14:12:00-05:00,39.25,39.25,39.13,39.17,11492
2020-11-18 14:14:00-05:00,39.18,39.31,39.18,39.31,5169
2020-11-18 14:16:00-05:00,39.34,39.42,39.23,39.23,3331
2020-11-18 14:18:00-05:00,39.23,39.3999,39.23,39.28,2103
2020-11-18 14:20:00-05:00,39.21,39.38,39.21,39.38,2879
2020-11-18 14:22:00-05:00,39.36,39.36,39.32,39.335,3400
2020-11-18 14:24:00-05:00,39.335,39.34,39.26,39.305,4352
2020-11-18 14:26:00-05:00,39.26,39.33,39.26,39.305,2658
2020-11-18 14:28:00-05:00,39.35,39.46,39.35,39.355,8414
2020-11-18 14:30:00-05:00,39.435,39.55,39.42,39.51,8176
2020-11-18 14:32:00-05:00,39.5,39.51,39.425,39.48,2056
2020-11-18 14:34:00-05:00,39.373,39.6031,39.373,39.4213,6242
2020-11-18 14:36:00-05:00,39.44,39.45,39.33,39.44,2470
2020-11-18 14:38:00-05:00,39.45,39.57,39.45,39.51,3975
2020-11-18 14:40:00-05:00,39.51,39.53,39.43,39.44,5558
2020-11-18 14:42:00-05:00,39.48,39.5,39.44,39.45,2206
2020-11-18 14:44:00-05:00,39.49,39.65,39.465,39.545,13435
2020-11-18 14:46:00-05:00,39.4977,39.4977,39.37,39.45,4741
2020-11-18 14:48:00-05:00,39.445,39.51,39.435,39.49,2032
2020-11-18 14:50:00-05:00,39.5,39.55,39.49,39.505,2666
2020-11-18 14:52:00-05:00,39.505,39.56,39.45,39.45,4210
2020-11-18 14:54:00-05:00,39.49,39.58,39.46,39.58,2307
2020-11-18 14:56:00-05:00,39.54,39.58,39.475,39.54,7773
2020-11-18 14:58:00-05:00,39.525,39.525,39.46,39.49,4882
2020-11-18 15:00:00-05:00,39.475,39.515,39.45,39.5,2113
2020-11-18 15:02:00-05:00,39.5,39.52,39.47,39.495,1015
2020-11-18 15:04:00-05:00,39.495,39.52,39.43,39.43,3807
2020-11-18 15:06:00-05:00,39.46,39.49,39.46,39.46,1668
2020-11-18 15:08:00-05:00,39.4583,39.5,39.4583,39.47,1768
2020-11-18 15:10:00-05:00,39.42,39.51,39.42,39.47,3051
2020-11-18 15:12:00-05:00,39.5,39.6,39.5,39.6,14977
2020-11-18 15:14:00-05:00,39.58,39.61,39.52,39.57,3076
2020-11-18 15:16:00-05:00,39.57,39.6263,39.54,39.54,4410
2020-11-18 15:18:00-05:00,39.55,39.58,39.51,39.51,1832
2020-11-18 15:20:00-05:00,39.52,39.605,39.51,39.56,4380
2020-11-18 15:22:00-05:00,39.59,39.6,39.53,39.6,3175
2020-11-18 15:24:00-05:00,39.555,39.615,39.555,39.588,4003
2020-11-18 15:26:00-05:00,39.585,39.585,39.49,39.57,4782
2020-11-18 15:28:00-05:00,39.555,39.585,39.555,39.585,3343
2020-11-18 15:30:00-05:00,39.56,39.585,39.51,39.51,5558
2020-11-18 15:32:00-05:00,39.54,39.555,39.5,39.555,1259
2020-11-18 15:34:00-05:00,39.6,39.65,39.5101,39.5995,5044
2020-11-18 15:36:00-05:00,39.65,39.65,39.56,39.5725,2535
2020-11-18 15:38:00-05:00,39.585,39.5899,39.54,39.555,1839
2020-11-18 15:40:00-05:00,39.555,39.56,39.44,39.4708,10511
2020-11-18 15:42:00-05:00,39.47,39.55,39.47,39.52,3411
2020-11-18 15:44:00-05:00,39.52,39.55,39.47,39.475,6842
2020-11-18 15:46:00-05:00,39.475,39.4999,39.22,39.29,21517
2020-11-18 15:48:00-05:00,39.34,39.38,39.25,39.35,12750
2020-11-18 15:50:00-05:00,39.32,39.45,39.32,39.3673,8635
2020-11-18 15:52:00-05:00,39.37,39.43,39.34,39.35,15360
2020-11-18 15:54:00-05:00,39.37,39.68,39.37,39.57,36915
2020-11-18 15:56:00-05:00,39.54,39.6099,39.49,39.54,13298
2020-11-18 15:58:00-05:00,39.535,39.6,39.5101,39.59,36280
2020-11-19 09:30:00-05:00,40.05,40.79,39.9,40.72,132917
2020-11-19 09:32:00-05:00,40.735,41.25,40.67,40.79,63697
2020-11-19 09:34:00-05:00,40.82,41.07,40.785,40.81,35269
2020-11-19 09:36:00-05:00,40.82,41.5,40.82,41.5,62511
2020-11-19 09:38:00-05:00,41.45,42.13,41.45,41.88,70388
2020-11-19 09:40:00-05:00,41.88,42.15,41.55,41.9571,33951
2020-11-19 09:42:00-05:00,41.9999,42.1346,41.88,41.98,35044
2020-11-19 09:44:00-05:00,42.09,42.37,42.0001,42.12,24482
2020-11-19 09:46:00-05:00,42.14,42.2222,41.89,42.09,14518
2020-11-19 09:48:00-05:00,42.09,42.13,41.66,41.86,19867
2020-11-19 09:50:00-05:00,41.95,42.0,41.89,41.99,9679
2020-11-19 09:52:00-05:00,42.0,42.2,41.81,42.04,21992
2020-11-19 09:54:00-05:00,42.07,42.42,42.0,42.25,17196
2020-11-19 09:56:00-05:00,42.17,42.52,42.17,42.308,46643
2020-11-19 09:58:00-05:00,42.335,42.57,42.335,42.445,24115
2020-11-19 10:00:00-05:00,42.445,42.55,42.18,42.18,12726
2020-11-19 10:02:00-05:00,42.17,42.185,41.84,41.9999,19133
2020-11-19 10:04:00-05:00,41.91,42.1,41.89,42.1,16764
2020-11-19 10:06:00-05:00,42.1225,42.15,41.97,41.97,8400
2020-11-19 10:08:00-05:00,41.9664,41.97,41.81,41.88,7300
